Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
902,-10516;-11904;-3008,1144;-480;-1110,0.1250471;0.5501238;1.306683,-0.09713655;0.7326463;0.9663747,-0.1047977;0.6735623;1.015123,-0.1167412;0.4816198;1.195529,-0.03423184;0.357469;1.385179,0.1105739;0.3576186;1.398254,0.1013761;-0.09505037;1.510526,0
934,-10692;-11844;-3096,1168;-471;-1086,0.1253913;0.546565;1.302069,-0.08973438;0.7047258;0.9364582,-0.09957536;0.6559353;0.995119,-0.1175439;0.4934277;1.204499,-0.03327992;0.3605513;1.386027,0.1107987;0.3572704;1.398037,0.1011688;-0.09429882;1.510844,0
968,-10580;-11884;-3000,1160;-520;-1083,0.1255895;0.5451246;1.29916,-0.08865105;0.7048575;0.9362408,-0.09875101;0.6582161;0.9965487,-0.118583;0.5032426;1.207878,-0.0327604;0.3622263;1.386307,0.1110155;0.3567514;1.397281,0.100994;-0.09369847;1.510685,0
1002,-10480;-11988;-2868,1263;-457;-1155,0.1252272;0.5438982;1.297401,-0.08258628;0.7258242;0.954891,-0.0944235;0.6762492;1.0125,-0.120333;0.5133721;1.213058,-0.03234294;0.3641096;1.386937,0.1111485;0.3563765;1.396777,0.1008577;-0.09293332;1.510829,0
1034,-10512;-11908;-2996,897;-393;-1147,0.1248008;0.5432684;1.296431,-0.07941841;0.7400994;0.9681119,-0.09203845;0.6889331;1.024143,-0.1213841;0.5225981;1.217337,-0.03203782;0.3654749;1.387364,0.1112268;0.3560728;1.396357,0.1007608;-0.09240392;1.51081,0
1072,-10492;-11924;-2980,1035;-373;-1049,0.1243815;0.5430987;1.296309,-0.06658436;0.7432542;0.9757202,-0.08277911;0.693137;1.031763,-0.1226342;0.529319;1.224417,-0.03192332;0.3670416;1.388011,0.1112769;0.3558443;1.395985,0.1006249;-0.09177174;1.510924,0
1102,-10552;-11948;-2980,1195;-474;-985,0.1234877;0.5427352;1.296282,-0.02572536;0.7591898;1.002202,-0.05294411;0.7075613;1.052301,-0.1229812;0.5357333;1.231197,-0.02984034;0.3827896;1.39351,0.1116998;0.3556927;1.396759,0.1002919;-0.08941565;1.511185,0
1135,-10420;-11980;-2880,1164;-458;-1005,0.1222883;0.5421324;1.296414,-0.258827;0.7712016;1.019966,-0.2280247;0.7192248;1.067546,-0.1229486;0.5442864;1.239922,-0.02979222;0.3902196;1.397101,0.11222;0.3560439;1.399198,0.09972673;-0.08701364;1.512744,0
1168,-10536;-11972;-3044,1041;-479;-1057,0.1165098;0.5423344;1.29831,-0.2556055;0.781637;1.02946,-0.2253519;0.7281142;1.075643,-0.1218581;0.5473468;1.243654,-0.03063954;0.3890606;1.396222,0.1120208;0.3559669;1.398878,0.09952112;-0.0867551;1.512804,0
1203,-10532;-11984;-2832,1073;-409;-971,0.1115823;0.5423167;1.298696,-0.2525735;0.7891698;1.035121,-0.2227718;0.7347527;1.080534,-0.1209161;0.5510783;1.245753,-0.03096239;0.3899068;1.396169,0.1116569;0.3558303;1.398464,0.09899213;-0.08607558;1.512752,0
