Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
966,16192;1140;2364,-2587;-3215;4840,-0.01787237;0.2674289;1.213136,-0.04021875;0.04933789;1.306503,0.134469;0.0206154;1.321147,0.2474658;-0.1936519;1.290943,0.2452185;-0.3739414;1.135764,0.2400359;-0.4115452;1.077279,-0.03222884;-0.4401661;1.434072,0
1000,16024;-236;1284,809;-2051;4116,-0.0179059;0.2674586;1.213138,-0.04021603;0.0493786;1.306493,0.1341663;0.02110486;1.321093,0.2489461;-0.191387;1.290066,0.2461274;-0.3682679;1.133144,0.2400813;-0.4037673;1.072176,-0.03212975;-0.4399243;1.434125,0
1032,16052;-532;1152,-764;-2483;3561,-0.01804382;0.2676102;1.213319,-0.04020939;0.04943321;1.30654,0.1342511;0.02118091;1.321018,0.2498327;-0.1875149;1.289553,0.2471548;-0.3639475;1.129555,0.2377172;-0.4170906;1.065118,-0.03208458;-0.4398758;1.434122,0
1064,16372;-872;2136,-19;-1399;2723,-0.01819649;0.26775;1.213587,-0.04409433;0.05118247;1.30986,0.1339606;0.02168337;1.321134,0.2602999;-0.1801826;1.293864,0.2486918;-0.3602302;1.117696,0.2418615;-0.4003401;1.05255,-0.0319364;-0.4399539;1.434155,0
1098,16704;-836;1632,2410;-1574;2319,-0.01833019;0.2678521;1.213812,-0.04563117;0.05190051;1.311368,0.1338087;0.02199683;1.321257,0.2753937;-0.180228;1.291761,0.2493338;-0.3579774;1.116312,0.242332;-0.3920338;1.046298,-0.03154759;-0.4399091;1.434389,0
1132,16728;-340;1656,1305;-983;2115,-0.01845187;0.2680455;1.21403,-0.04659827;0.0523916;1.312278,0.1337132;0.0221708;1.32131,0.2773802;-0.1788108;1.292028,0.2509869;-0.3501064;1.11489,0.2429287;-0.3889249;1.040255,-0.03135215;-0.4398501;1.434445,0
1165,17040;-592;1416,2036;-481;1444,-0.01854353;0.2681085;1.214036,-0.04490323;0.05215095;1.310702,0.1334905;0.02257066;1.321149,0.2753331;-0.1755116;1.291504,0.2523003;-0.3397912;1.106186,0.2417438;-0.3824099;1.027973,-0.03112816;-0.4397664;1.434215,0
1202,17196;-396;1948,1880;-488;1344,-0.01863125;0.2681945;1.214091,-0.04431424;0.05203138;1.310032,0.1332833;0.02293849;1.321058,0.2742038;-0.1731779;1.290498,0.2528467;-0.3368981;1.102936,0.2422883;-0.375755;1.020599,-0.03098781;-0.4397004;1.433967,0
1232,16964;-592;1548,2171;-123;1306,-0.01895234;0.2686419;1.215033,-0.04587279;0.05287432;1.311788,0.1330703;0.02347694;1.321279,0.2822948;-0.1749514;1.287006,0.2554699;-0.3293403;1.09515,0.2429289;-0.370196;1.017483,-0.03086619;-0.4395756;1.434254,0
1264,17184;-1380;1304,1634;774;600,-0.01912448;0.2688217;1.215344,-0.04670231;0.05326639;1.312462,0.1329441;0.02386491;1.321352,0.2830574;-0.1738572;1.286357,0.354343;-0.2946642;1.082176,0.2431594;-0.3637082;1.008584,-0.03086248;-0.4395416;1.43426,0
1300,17232;-1016;1964,2623;72;1207,-0.01926582;0.2689648;1.2156,-0.04745456;0.05357353;1.313141,0.1326828;0.02428378;1.321378,0.28729;-0.1756879;1.284753,0.3527506;-0.2951237;1.078134,0.242124;-0.3569936;1.001409,-0.03092399;-0.4394468;1.434278,0
1331,16952;-1952;1724,1875;-152;856,-0.01932147;0.2690039;1.2156,-0.0478061;0.05370406;1.313403,0.1324948;0.02460227;1.321397,0.2873413;-0.1735003;1.284007,0.3549163;-0.2917946;1.075101,0.2422085;-0.3470597;0.9908779,-0.03089423;-0.4393959;1.434292,0
