Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
1561,6724;4756;12220,8232;15789;10697,-0.02973728;0.3292671;1.301093,-0.04046969;0.1059138;1.367719,0.1344678;0.08984537;1.340494,0.2381026;0.2083114;1.14941,0.2305933;0.3769273;0.9521659,0.2294066;0.433706;0.9109113,-0.006158025;-0.3693878;1.433374,0
1593,6092;4588;14088,6602;13969;8682,-0.0302123;0.3294535;1.301558,-0.04077475;0.1068887;1.368652,0.1344383;0.09173782;1.341448,0.2361054;0.2199365;1.158425,0.2290478;0.4015499;0.9736019,0.2286465;0.4509235;0.9352685,-0.007784986;-0.3675834;1.434316,0
1627,7008;3816;14328,5653;10686;5728,-0.03032331;0.3293782;1.301252,-0.0408004;0.1071956;1.368474,0.1342864;0.09359922;1.341507,0.2330765;0.2297106;1.161927,0.2272554;0.4144136;0.9803594,0.2245103;0.4592078;0.951161,-0.008285802;-0.3666838;1.433718,0
1661,5860;6004;15532,3210;8480;3978,-0.03042576;0.3294046;1.301569,-0.04068145;0.1077388;1.369073,0.1333086;0.1142952;1.345693,0.2293909;0.2457907;1.170262,0.2241306;0.433265;1.00633,0.2226393;0.4799925;0.9775223,-0.008721442;-0.3647662;1.434197,0
1694,5472;5696;15568,2703;5046;3237,-0.03038001;0.3293855;1.301901,-0.04094885;0.1073634;1.369533,0.1329815;0.1203824;1.34719,0.2266337;0.2583747;1.176236,0.2225762;0.4473661;1.020597,0.220284;0.4951657;0.9957683,-0.009584888;-0.3620078;1.435403,0
1729,3860;5180;14508,2273;1805;1290,-0.03025493;0.3293592;1.301867,-0.04076517;0.1076553;1.36963,0.1329087;0.1236616;1.3474,0.2237123;0.2673949;1.178116,0.2200642;0.4548024;1.035672,0.2153924;0.5052666;1.017032,-0.01043629;-0.3595108;1.435708,0
1760,4676;5348;13304,3584;26;-603,-0.02999437;0.3292601;1.301702,-0.04088594;0.107379;1.369614,0.1332683;0.1266474;1.347311,0.2193405;0.2829814;1.181129,0.2156721;0.4624894;1.053629,0.2115728;0.5150698;1.037758,-0.01058666;-0.3575817;1.435913,0
1793,7692;6876;13560,3258;2827;-2590,-0.02952852;0.3291202;1.301752,-0.04104287;0.1070323;1.369765,0.1333999;0.1281869;1.34778,0.217067;0.2904154;1.185815,0.2109885;0.4696404;1.06821,0.2050166;0.5212826;1.052821,-0.0107519;-0.3563578;1.43627,0
1826,9376;10292;20252,9013;3558;-6146,-0.029029;0.3289325;1.301547,-0.04111458;0.1067979;1.369764,0.1338209;0.1299328;1.34782,0.2153041;0.294222;1.187738,0.2051116;0.4805458;1.078586,0.1990387;0.5308678;1.065564,-0.01036375;-0.3555212;1.436238,0
1860,2224;8180;12856,6281;-5289;-1357,-0.02851018;0.3285455;1.30123,-0.04119085;0.106629;1.36974,0.1338134;0.1306269;1.348078,0.214144;0.2993283;1.189866,0.2015592;0.4837159;1.085405,0.1938821;0.5332358;1.073274,-0.01060258;-0.3546538;1.436239,0
1894,6308;8500;10308,4234;-2326;-3857,-0.02826672;0.3284957;1.301163,-0.04124999;0.1064912;1.36972,0.1338629;0.1313297;1.348577,0.2130239;0.3037683;1.191803,0.1988668;0.4866693;1.089383,0.1893194;0.5369676;1.07896,-0.01035849;-0.354178;1.436237,0
1929,4928;10284;12704,2696;-1486;-2095,-0.02777636;0.3282856;1.300856,-0.04135695;0.1063206;1.369611,0.1338536;0.1316853;1.348741,0.2124067;0.3039955;1.192749,0.1965364;0.4883606;1.092956,0.1858137;0.5368887;1.078766,-0.01015221;-0.3536709;1.435842,0
