Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
4365,320,0;0;0,0;0;0,-0.01139772;-0.1384641;1.716012,0.1401417;-0.170279;1.642614,0.2282539;-0.3808172;1.513976,0.1086713;-0.443479;1.289559,0.09296615;-0.4814209;1.266423,0.01166869;-0.5778247;1.698645,2
4399,320,0;0;0,0;0;0,-0.01138075;-0.138428;1.715898,0.138894;-0.1700307;1.641523,0.2532338;-0.3327577;1.584513,0.1882185;-0.4079396;1.416248,0.1023743;-0.4205819;1.268921,0.01166826;-0.5778101;1.69858,2
4434,319,0;0;0,0;0;0,-0.01139336;-0.1384323;1.715906,0.1380427;-0.1698923;1.641045,0.2287289;-0.378839;1.511501,0.1499974;-0.4269717;1.338924,0.1001314;-0.4194912;1.26895,0.01168729;-0.5778034;1.698561,2
4464,320,0;0;0,0;0;0,-0.01139492;-0.1384078;1.715921,0.1413281;-0.1705193;1.642749,0.2288672;-0.379578;1.511048,0.1146889;-0.3772608;1.275016,0.09656563;-0.3984021;1.256462,0.01168602;-0.5777987;1.698569,2
4498,320,0;0;0,0;0;0,-0.01139498;-0.1383641;1.715435,0.1428767;-0.1707293;1.642524,0.2279736;-0.3800199;1.509467,0.1028046;-0.4682186;1.297324,0.09361531;-0.4336208;1.273789,0.01165849;-0.5777281;1.698409,2
4532,320,0;0;0,0;0;0,-0.01139449;-0.1383647;1.715436,0.1409281;-0.1704213;1.641716,0.2274149;-0.3796457;1.509524,0.1222731;-0.4115804;1.280802,0.09218775;-0.4145576;1.268785,0.01165296;-0.5777116;1.698411,2
4565,320,0;0;0,0;0;0,-0.0113238;-0.138512;1.715637,0.1398002;-0.1702478;1.641386,0.2549532;-0.3347193;1.591345,0.1496288;-0.3987334;1.360183,0.088824;-0.4144622;1.272457,0.01163191;-0.577761;1.698438,2
4598,319,0;0;0,0;0;0,-0.01133577;-0.1385237;1.715536,0.1387881;-0.17006;1.640722,0.2233182;-0.376795;1.502904,0.1114948;-0.4217117;1.283707,0.0842175;-0.4165224;1.272687,0.01162665;-0.5777686;1.698138,2
4633,319,0;0;0,0;0;0,-0.01142181;-0.1385852;1.716118,0.1429039;-0.1706617;1.645007,0.2566846;-0.3337148;1.594277,0.1476604;-0.404842;1.367018,0.08018797;-0.4180301;1.279315,0.01157505;-0.5777704;1.698206,2
4665,319,0;0;0,0;0;0,-0.01147426;-0.1386098;1.715731,0.1400762;-0.1702321;1.642423,0.2217845;-0.3759935;1.501186,0.1213081;-0.4149234;1.310128,0.07689536;-0.4147387;1.275233,0.011414;-0.5778313;1.697954,2
4698,319,0;0;0,0;0;0,-0.01142005;-0.1386493;1.715635,0.1421054;-0.1704561;1.643024,0.2547132;-0.3337364;1.588416,0.144;-0.4127011;1.371712,0.07520574;-0.4214179;1.282498,0.01126434;-0.5778288;1.697914,2
4731,319,0;0;0,0;0;0,-0.01142151;-0.1386595;1.715632,0.1402974;-0.1702325;1.642027,0.223137;-0.3780982;1.504964,0.1206712;-0.4151088;1.325774,0.06977303;-0.4163211;1.282585,0.01110094;-0.5778714;1.697865,2
4764,319,0;0;0,0;0;0,-0.01141673;-0.1386821;1.715894,0.1429611;-0.1706459;1.644172,0.2229591;-0.3780403;1.504511,0.1153985;-0.4119162;1.330246,0.06597365;-0.4175275;1.286321,0.01087052;-0.5778236;1.698055,2
4798,319,0;0;0,0;0;0,-0.01138263;-0.1387478;1.716246,0.1447068;-0.170735;1.645679,0.2232579;-0.3781982;1.505241,0.1126901;-0.410992;1.334184,0.06464918;-0.4199922;1.289599,0.01069667;-0.5778701;1.698171,2
4833,319,0;0;0,0;0;0,-0.01137404;-0.1387853;1.716222,0.1452385;-0.1707828;1.645747,0.2228377;-0.3783007;1.504818,0.1104138;-0.4102312;1.334231,0.06390715;-0.4208841;1.2888,0.01052816;-0.5779081;1.698121,2
4865,319,0;0;0,0;0;0,-0.01136948;-0.138785;1.716224,0.1458143;-0.1708275;1.645811,0.2229462;-0.3784867;1.504831,0.1098609;-0.4096614;1.335392,0.06323244;-0.4074003;1.279703,0.01038581;-0.577922;1.698104,2
4897,319,0;0;0,0;0;0,-0.0113395;-0.1388401;1.715237,0.146299;-0.1709764;1.645117,0.2211134;-0.3780036;1.501763,0.1105123;-0.4153144;1.322556,0.06565262;-0.4221854;1.282796,0.0102354;-0.5779523;1.697897,2
4932,319,0;0;0,0;0;0,-0.01131256;-0.1388807;1.715001,0.1422217;-0.1703755;1.642481,0.2204875;-0.3777142;1.501636,0.1099239;-0.4128768;1.324364,0.06788996;-0.4208289;1.281448,0.01011424;-0.5779921;1.697768,2
4964,319,0;0;0,0;0;0,-0.01128107;-0.1388938;1.714991,0.1404442;-0.1700636;1.641715,0.21951;-0.3774056;1.501354,0.1093348;-0.4123103;1.324287,0.06866734;-0.4228785;1.279207,0.01010992;-0.5779827;1.697762,2
4997,319,0;0;0,0;0;0,-0.01132638;-0.1388545;1.715289,0.1427122;-0.1707825;1.644199,0.2192139;-0.3777207;1.501664,0.108985;-0.4116355;1.324253,0.07058009;-0.422012;1.276556,0.01016174;-0.5780618;1.69772,2
5031,319,0;0;0,0;0;0,-0.01133903;-0.1388559;1.715294,0.1436181;-0.1708766;1.64464,0.218995;-0.3778822;1.50156,0.1092968;-0.4113888;1.324257,0.07462182;-0.4217691;1.273569,0.01019008;-0.5780255;1.697754,2
5067,319,0;0;0,0;0;0,-0.01133868;-0.1388562;1.715295,0.1409599;-0.1705785;1.643152,0.2183162;-0.3777524;1.501488,0.1125098;-0.4097199;1.326102,0.0788254;-0.4210805;1.271879,0.0101974;-0.5780386;1.697743,2
5099,319,0;0;0,0;0;0,-0.01135293;-0.1389149;1.715331,0.1395526;-0.1703266;1.642427,0.2178449;-0.3776479;1.501556,0.1156043;-0.4089234;1.3266,0.08205188;-0.418237;1.269371,0.01023288;-0.5780808;1.69772,2
5131,319,0;0;0,0;0;0,-0.01138841;-0.1389745;1.715431,0.1386021;-0.1702132;1.642016,0.2187526;-0.3785578;1.503977,0.1174055;-0.4080727;1.326617,0.08539515;-0.4186659;1.26776,0.01028893;-0.5780827;1.697764,2
5165,319,0;0;0,0;0;0,-0.01145718;-0.1389384;1.715276,0.1375108;-0.1700098;1.641209,0.2232726;-0.3796351;1.509169,0.120465;-0.4069261;1.32675,0.08899779;-0.4176238;1.265205,0.01038962;-0.5780808;1.697706,2
5200,319,0;0;0,0;0;0,-0.01147397;-0.1389734;1.71545,0.1369168;-0.1699232;1.641082,0.2233593;-0.3796299;1.509675,0.1246442;-0.4063171;1.328079,0.09288377;-0.4172991;1.266617,0.01057499;-0.5780869;1.697767,2
5232,319,0;0;0,0;0;0,-0.01152289;-0.1390066;1.715491,0.1366084;-0.1698856;1.640913,0.2233589;-0.3796744;1.509875,0.1001709;-0.4693069;1.297183,0.09354056;-0.4417144;1.273442,0.01063894;-0.5780705;1.697828,2
5266,319,0;0;0,0;0;0,-0.01153322;-0.1390155;1.715493,0.1401293;-0.1706067;1.642714,0.2238653;-0.3804508;1.509646,0.1107005;-0.4290591;1.278381,0.08946875;-0.4249866;1.238577,0.01066565;-0.5780541;1.697846,2
5299,319,0;0;0,0;0;0,-0.01157151;-0.1390661;1.715459,0.1388113;-0.1704526;1.641905,0.2236845;-0.3803878;1.509787,0.1200442;-0.421074;1.27252,0.1000448;-0.417753;1.264341,0.01071871;-0.57806;1.697826,2
5332,319,0;0;0,0;0;0,-0.01157619;-0.1390626;1.715461,0.1412996;-0.1711373;1.643194,0.2535918;-0.3354718;1.589391,0.1389776;-0.4312058;1.374554,0.1018047;-0.4307096;1.273929,0.01074241;-0.5780481;1.697854,2
5364,319,0;0;0,0;0;0,-0.01157818;-0.1390659;1.715461,0.1425175;-0.1714897;1.643542,0.2319316;-0.3840273;1.519711,0.1214452;-0.4193282;1.284686,0.09924546;-0.4151108;1.240416,0.01079592;-0.578011;1.697859,2
5398,319,0;0;0,0;0;0,-0.01160129;-0.1391042;1.715305,0.1399104;-0.1709398;1.641812,0.2524852;-0.3339962;1.585488,0.1912538;-0.4148666;1.41856,0.1056937;-0.4276792;1.269526,0.01082409;-0.5780125;1.697781,2
5431,319,0;0;0,0;0;0,-0.0116518;-0.1391114;1.715401,0.1419273;-0.1712659;1.643,0.2284226;-0.3821403;1.513785,0.1232998;-0.4202468;1.276738,0.1015275;-0.4029551;1.228713,0.01080475;-0.5780331;1.697818,2
5464,319,0;0;0,0;0;0,-0.011644;-0.1391519;1.715477,0.1435562;-0.1716285;1.643624,0.2533463;-0.3349787;1.588416,0.1924393;-0.4149044;1.420893,0.1081073;-0.4245342;1.271451,0.01082252;-0.5780621;1.697818,2
5499,319,0;0;0,0;0;0,-0.01166227;-0.1391869;1.715558,0.1445418;-0.1717705;1.644177,0.2300974;-0.3823189;1.513712,0.1302175;-0.3999141;1.309794,0.1083726;-0.4086904;1.259037,0.01088261;-0.5780687;1.697874,2
5532,319,0;0;0,0;0;0,-0.01167273;-0.1392026;1.71558,0.1451803;-0.171915;1.644561,0.2534662;-0.3332336;1.590376,0.1929395;-0.4147099;1.423498,0.1097104;-0.4246402;1.27168,0.01092529;-0.5780662;1.697902,2
5565,319,0;0;0,0;0;0,-0.01168176;-0.1391968;1.715595,0.1455417;-0.1719938;1.64463,0.23174;-0.3837791;1.516906,0.1152263;-0.5188462;1.326444,0.101301;-0.4630535;1.274098,0.010968;-0.5780654;1.6979,2
5598,319,0;0;0,0;0;0,-0.0116882;-0.1391855;1.715657,0.1458981;-0.1720015;1.644879,0.2533445;-0.3334854;1.589398,0.192663;-0.4113476;1.420774,0.1096814;-0.4247863;1.271547,0.01098666;-0.5780813;1.697918,2
5632,319,0;0;0,0;0;0,-0.01169381;-0.1391693;1.715582,0.1461682;-0.1720853;1.644766,0.2356704;-0.383231;1.518427,0.1292913;-0.423297;1.282285,0.1040353;-0.4282053;1.243101,0.0110123;-0.578075;1.697904,2
5664,319,0;0;0,0;0;0,-0.01168372;-0.1391692;1.71558,0.1465282;-0.1721597;1.644817,0.2528524;-0.3344858;1.587441,0.1914792;-0.4137426;1.419761,0.1079776;-0.4252084;1.269833,0.01102733;-0.5780721;1.697894,2
5699,319,0;0;0,0;0;0,-0.01152724;-0.1390569;1.716216,0.1472527;-0.1722433;1.645825,0.2341684;-0.3863197;1.523032,0.1366774;-0.3981234;1.321844,0.1065048;-0.4071446;1.264665,0.01108291;-0.5780436;1.698161,2
5732,319,0;0;0,0;0;0,-0.01154562;-0.1390841;1.716248,0.1427634;-0.1714316;1.6437,0.2326817;-0.3838584;1.520084,0.1351522;-0.3986084;1.317706,0.1052447;-0.4082561;1.261658,0.01108157;-0.5780805;1.698168,2
5765,319,0;0;0,0;0;0,-0.01154013;-0.1390823;1.71625,0.1441182;-0.171753;1.644147,0.2309248;-0.3834793;1.516767,0.1044466;-0.4998464;1.320071,0.09939931;-0.4526675;1.272289,0.01109358;-0.5780649;1.698168,2
5797,319,0;0;0,0;0;0,-0.01150917;-0.1390108;1.716707,0.1451989;-0.1719024;1.645446,0.2306353;-0.3834008;1.516631,0.1268079;-0.4180132;1.278467,0.1025134;-0.4153257;1.270221,0.01116163;-0.5780358;1.698309,2
5831,319,0;0;0,0;0;0,-0.01143725;-0.1390107;1.716697,0.1419204;-0.1712238;1.643708,0.2291141;-0.3825297;1.515825,0.1056227;-0.4689999;1.30198,0.09746306;-0.435255;1.275694,0.01118688;-0.5780342;1.698311,2
5864,320,0;0;0,0;0;0,-0.01143441;-0.1390153;1.716707,0.1402651;-0.1708468;1.642805,0.2534632;-0.3339751;1.591352,0.1898737;-0.4089645;1.422455,0.1001222;-0.4213495;1.272556,0.01119624;-0.5780326;1.698317,2
5899,320,0;0;0,0;0;0,-0.01148786;-0.1390189;1.716761,0.1391437;-0.1706281;1.64221,0.2239569;-0.380071;1.509212,0.1213721;-0.415506;1.270625,0.09729537;-0.4163969;1.269678,0.01120086;-0.5780622;1.698312,2
5933,321,0;0;0,0;0;0,-0.01142829;-0.1390178;1.716562,0.1383615;-0.1704396;1.641456,0.2549635;-0.3349813;1.587433,0.1471995;-0.3943481;1.356141,0.09557035;-0.4156496;1.268623,0.01120844;-0.5780414;1.698257,2
5965,322,0;0;0,0;0;0,-0.01144472;-0.1389086;1.716824,0.1377332;-0.1703079;1.641295,0.2239724;-0.3812852;1.512042,0.1215149;-0.4211806;1.285296,0.09232571;-0.418597;1.272259,0.01122699;-0.5780232;1.698312,2
5997,323,0;0;0,0;0;0,-0.01144439;-0.1388954;1.716814,0.1372964;-0.1701839;1.641017,0.2534712;-0.333737;1.588419,0.1446891;-0.3947455;1.35805,0.09137974;-0.4163497;1.270026,0.01124232;-0.5780079;1.698285,2
6032,323,0;0;0,0;0;0,-0.01145322;-0.1388905;1.717179,0.1418257;-0.1706133;1.644853,0.230432;-0.3826566;1.519438,0.1204908;-0.4186119;1.294601,0.08913164;-0.4178044;1.272467,0.01121569;-0.5778818;1.6985,2
6064,323,0;0;0,0;0;0,-0.01142346;-0.1388943;1.717181,0.1400863;-0.1703108;1.643546,0.2260405;-0.3809302;1.513461,0.1203084;-0.4190601;1.293968,0.08900227;-0.4201075;1.270458,0.01122346;-0.5778643;1.698497,2
6098,323,0;0;0,0;0;0,-0.01136949;-0.1387912;1.716588,0.138643;-0.1700125;1.642029,0.2235659;-0.3797598;1.509629,0.1216718;-0.4108568;1.30583,0.08736494;-0.4166939;1.264845,0.01128132;-0.5778065;1.698279,2
6133,322,0;0;0,0;0;0,-0.01135702;-0.1387944;1.716805,0.1380597;-0.1699102;1.641808,0.2235055;-0.3797632;1.509963,0.1238104;-0.4075463;1.316978,0.08631971;-0.416054;1.268298,0.011304;-0.5778113;1.698285,2
6166,322,0;0;0,0;0;0,-0.01131664;-0.1387731;1.716858,0.1375231;-0.1698131;1.641504,0.2234202;-0.379689;1.510021,0.1248995;-0.407009;1.32067,0.08609494;-0.4163177;1.266957,0.0113278;-0.5777895;1.698304,2
6199,321,0;0;0,0;0;0,-0.01127953;-0.1387688;1.7169,0.1371428;-0.1697063;1.641324,0.2235107;-0.3795477;1.510119,0.1257478;-0.4065211;1.323212,0.0865375;-0.4164854;1.266974,0.0113379;-0.5777819;1.6983,2
6231,320,0;0;0,0;0;0,-0.01126568;-0.1387547;1.716906,0.136737;-0.1696299;1.641107,0.223767;-0.3794373;1.510326,0.1189214;-0.4169973;1.290019,0.08719216;-0.4192974;1.269547,0.01136867;-0.5777864;1.698282,2
6264,320,0;0;0,0;0;0,-0.01124765;-0.1386877;1.716532,0.1363195;-0.1695587;1.640506,0.2237907;-0.3793365;1.509994,0.1262009;-0.4064971;1.317801,0.08808265;-0.4165856;1.266496,0.0114328;-0.5777532;1.698074,2
6299,319,0;0;0,0;0;0,-0.01126104;-0.1387025;1.716587,0.1361431;-0.1695382;1.640448,0.2237068;-0.3791096;1.509636,0.1218977;-0.4154203;1.299743,0.08796737;-0.4190306;1.269168,0.01146142;-0.5777493;1.698079,2
6332,318,0;0;0,0;0;0,-0.01126641;-0.1387011;1.716555,0.1358829;-0.169477;1.640151,0.2234628;-0.3788978;1.50908,0.1239039;-0.4089825;1.312621,0.08769163;-0.4168439;1.266656,0.01150204;-0.5777321;1.698014,2
6365,317,0;0;0,0;0;0,-0.01126226;-0.1386809;1.716548,0.1357473;-0.1694463;1.640025,0.2235345;-0.3788999;1.509165,0.127511;-0.4060768;1.323061,0.08830938;-0.4169501;1.267323,0.01153022;-0.5777042;1.697962,2
6400,317,0;0;0,0;0;0,-0.01124773;-0.1386808;1.716521,0.1356527;-0.1694178;1.639922,0.223424;-0.3788974;1.509095,0.127551;-0.405872;1.323772,0.08830966;-0.4160666;1.267077,0.01154169;-0.5776911;1.697948,2
6433,316,0;0;0,0;0;0,-0.01125075;-0.1386792;1.716533,0.1355209;-0.1693909;1.639876,0.2235891;-0.3789496;1.509411,0.128769;-0.4055622;1.326783,0.08799105;-0.4152249;1.268639,0.01155467;-0.5776824;1.697954,2
6464,316,0;0;0,0;0;0,-0.01123819;-0.1386479;1.716555,0.1354089;-0.1693705;1.639837,0.2232747;-0.3788529;1.509083,0.09434759;-0.471333;1.301169,0.08733195;-0.4363369;1.274236,0.01156065;-0.5776703;1.697965,2
6498,315,0;0;0,0;0;0,-0.01126116;-0.1386468;1.717119,0.1415788;-0.1702866;1.644728,0.2238168;-0.3794397;1.50947,0.1312755;-0.4058073;1.338912,0.08770556;-0.4166658;1.270687,0.01160098;-0.5776218;1.69813,2
6532,314,0;0;0,0;0;0,-0.01124189;-0.1386673;1.716528,0.1394971;-0.1700006;1.64265,0.2234473;-0.3792337;1.508678,0.1279995;-0.4031375;1.327142,0.08909918;-0.4161806;1.265585,0.01158996;-0.5777093;1.697855,2
6565,313,0;0;0,0;0;0,-0.01123994;-0.1387036;1.717105,0.1426196;-0.1702687;1.645391,0.2237888;-0.3797899;1.510054,0.128236;-0.4034986;1.327947,0.08746187;-0.4164553;1.269412,0.01160934;-0.5776079;1.698073,2
6600,312,0;0;0,0;0;0,-0.01123914;-0.1387017;1.717105,0.1404883;-0.1700329;1.643966,0.2234074;-0.3794392;1.509593,0.1282479;-0.4036129;1.328194,0.08811459;-0.4158321;1.267854,0.01166565;-0.577608;1.698012,2
6634,312,0;0;0,0;0;0,-0.01123935;-0.1386913;1.71713,0.142891;-0.1703589;1.645193,0.2241062;-0.3799666;1.510035,0.1287007;-0.4039396;1.32969,0.08833063;-0.4169459;1.26939,0.01171062;-0.5775625;1.698034,2
6666,311,0;0;0,0;0;0,-0.01125403;-0.138699;1.717132,0.1408377;-0.1700661;1.643839,0.2244823;-0.3798901;1.510692,0.1290942;-0.4041195;1.330646,0.08855154;-0.4176677;1.268855,0.01171554;-0.5775625;1.698035,2
