Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
1732,1220;-11252;-13376,1910;-910;-1062,-0.2757222;-0.08540418;1.071501,-0.2796498;0.01997524;1.27884,-0.1672319;0.1973642;1.2189,-0.008789448;0.1961535;1.217193,-0.02243233;-0.1969386;1.385145,0
1765,1012;-11864;-12996,7701;-2243;-42,-0.2757128;-0.08539283;1.071514,-0.2796771;0.01992424;1.278939,-0.1672693;0.1973666;1.219106,-0.008797495;0.1961634;1.217203,-0.02241823;-0.196903;1.385298,0
1802,1056;-11936;-12852,13779;-3247;1284,-0.2756872;-0.08538842;1.071574,-0.2798207;0.02005228;1.279696,-0.1674006;0.1973688;1.219608,-0.008804031;0.1961754;1.217322,-0.02230108;-0.1969288;1.385599,0
1834,708;-11972;-12296,13189;-2788;2086,-0.2754785;-0.08516988;1.071797,-0.2798391;0.02003245;1.279711,-0.1674224;0.1973659;1.219657,-0.008802289;0.1961806;1.217335,-0.02227552;-0.1969065;1.385644,0
1866,224;-12388;-11332,7760;-1795;2972,-0.2748274;-0.08484744;1.071731,-0.2796983;0.02000981;1.279528,-0.1675094;0.197607;1.219725,-0.008826709;0.1961716;1.217241,-0.02230447;-0.1969599;1.385209,0
1900,204;-13480;-10496,7022;-1044;1550,-0.2745887;-0.0845491;1.071501,-0.2796918;0.01999654;1.27953,-0.1675128;0.1975944;1.219714,-0.008828793;0.1961714;1.217238,-0.02229724;-0.1969775;1.385185,0
1933,-840;-15148;-9024,10363;-1604;2406,-0.2739293;-0.08415236;1.070925,-0.2796572;0.01985046;1.278943,-0.1675661;0.1977783;1.219739,-0.008812626;0.1961383;1.21712,-0.02231415;-0.196962;1.38493,0
1966,-908;-15628;-7988,16194;-3221;3025,-0.273858;-0.08406425;1.07099,-0.2796096;0.01983186;1.278653,-0.1676128;0.1979911;1.21983,-0.008821911;0.1961304;1.217048,-0.02231901;-0.1970286;1.384644,0
2002,-1740;-16188;-6356,17946;-4014;2135,-0.273276;-0.08386961;1.069976,-0.2795487;0.01989141;1.278571,-0.1676654;0.1981837;1.219879,-0.008815384;0.1961192;1.21701,-0.02235666;-0.1970637;1.384447,0
2033,-2048;-16008;-4984,17335;-4083;2031,-0.2731921;-0.0838194;1.070102,-0.2795429;0.01988189;1.278568,-0.1676578;0.1981669;1.219863,-0.00881458;0.1961186;1.21701,-0.02230995;-0.1970702;1.384456,0
2068,-2272;-15584;-3656,13702;-3636;999,-0.273008;-0.08380078;1.069778,-0.2795566;0.01986424;1.278573,-0.1676597;0.1981076;1.21979,-0.008809219;0.196119;1.217014,-0.02228086;-0.1970634;1.384463,0
2099,-2640;-15492;-2144,6685;-2400;635,-0.2725706;-0.08375225;1.069092,-0.2795409;0.01978393;1.278475,-0.1676625;0.1980134;1.219634,-0.008809973;0.1961117;1.21699,-0.02226681;-0.197063;1.384437,0
2133,-2920;-16292;-1404,7659;-2970;1098,-0.2724011;-0.08372402;1.068778,-0.2795393;0.01972871;1.278392,-0.167643;0.1979205;1.219493,-0.00881334;0.1961113;1.21698,-0.02225023;-0.197059;1.384393,0
2165,-3024;-16640;-424,13078;-3654;1804,-0.2721573;-0.08366536;1.068586,-0.2795351;0.01974446;1.27845,-0.1676377;0.1979144;1.219503,-0.008818383;0.1961119;1.217003,-0.02226914;-0.1970494;1.384489,0
2198,-2996;-16416;408,15126;-4045;1978,-0.2718088;-0.08356874;1.068274,-0.2795689;0.01972505;1.278435,-0.1676394;0.1978761;1.219493,-0.008817755;0.1961081;1.217002,-0.02225152;-0.1970578;1.384476,0
2233,-3148;-15672;1632,12045;-2722;1417,-0.2719305;-0.08027621;1.074859,-0.2795512;0.01973428;1.278483,-0.167633;0.1978696;1.219488,-0.008820416;0.1961063;1.217003,-0.02227619;-0.1971014;1.384395,0
2266,-3316;-15932;2940,9560;-1858;862,-0.2715116;-0.07979075;1.074535,-0.2794906;0.01973906;1.278598,-0.1675689;0.1978154;1.219475,-0.008815073;0.1961023;1.217008,-0.02225534;-0.1971195;1.384413,0
2298,-3504;-15828;4004,8379;-343;756,-0.2715144;-0.08000747;1.074124,-0.2795792;0.01983028;1.27905,-0.1675584;0.1977568;1.219738,-0.008825377;0.1961002;1.217162,-0.02235195;-0.1970848;1.385088,0
2333,-3640;-15368;3580,9739;348;623,-0.2710721;-0.07961859;1.074763,-0.2795732;0.01975514;1.278669,-0.1674496;0.1975889;1.219297,-0.008808276;0.1960769;1.217117,-0.02233655;-0.1971208;1.384911,0
2366,-3976;-15072;5108,7877;237;191,-0.2707956;-0.07987762;1.073749,-0.2795861;0.01973669;1.278646,-0.1674287;0.1975565;1.219294,-0.008799756;0.1960702;1.217115,-0.02232802;-0.1971368;1.384913,0
2399,-4000;-14740;6396,10464;-595;740,-0.2698338;-0.08064136;1.072038,-0.2795993;0.01973152;1.278652,-0.1674313;0.1975406;1.219291,-0.008798272;0.1960629;1.217117,-0.02231725;-0.1971763;1.38487,0
2433,-4108;-13644;6864,9862;-1187;684,-0.2689143;-0.08132915;1.06995,-0.2795834;0.01971944;1.278624,-0.1674146;0.1975271;1.219261,-0.008796883;0.1960623;1.217115,-0.02231389;-0.1971787;1.384857,0
2467,-4388;-13392;8240,12117;-2316;1574,-0.2683541;-0.08176716;1.068923,-0.2795866;0.01971781;1.278625,-0.1673822;0.1975127;1.219287,-0.008797185;0.1960598;1.217123,-0.0223095;-0.1971902;1.384841,0
2499,-4588;-12372;8980,15104;-3691;2255,-0.2679109;-0.08212122;1.068173,-0.279588;0.01971688;1.278602,-0.1673508;0.1974845;1.21925,-0.00879622;0.1960575;1.217113,-0.02230624;-0.1971966;1.38482,0
2532,-4344;-10728;9612,15072;-3688;2069,-0.2676163;-0.0823809;1.067208,-0.2795604;0.01966509;1.2783,-0.167275;0.1974481;1.219052,-0.008793865;0.1960511;1.217076,-0.02234236;-0.1972298;1.384649,0
2566,-4516;-10300;10164,2973;-281;-294,-0.2685602;-0.08020273;1.073224,-0.279486;0.01973351;1.278574,-0.1672758;0.1974558;1.219076,-0.008800945;0.196052;1.217108,-0.02238402;-0.1972446;1.384676,0
2600,-4884;-11508;11052,1112;-78;-717,-0.2684591;-0.08070768;1.07241,-0.27954;0.01992177;1.279269,-0.167308;0.1974611;1.219396,-0.008816685;0.1960716;1.217246,-0.02241973;-0.197136;1.385189,0
2633,-4604;-11088;10704,1446;-593;-1087,-0.2680366;-0.08137178;1.06991,-0.2795278;0.01993418;1.27921,-0.1672506;0.1974204;1.219283,-0.008811316;0.1960624;1.217238,-0.02244038;-0.1971787;1.385082,0
2668,-4656;-11092;10832,755;-435;-1104,-0.2678659;-0.08152998;1.069599,-0.279517;0.01993698;1.279261,-0.1672411;0.1974095;1.219301,-0.008815519;0.196059;1.21725,-0.02244535;-0.1971931;1.385107,0
2699,-4492;-11088;10876,746;-553;-1304,-0.2675183;-0.08181884;1.068743,-0.2795322;0.01993914;1.279272,-0.1672287;0.197387;1.219298,-0.008818917;0.1960582;1.217248,-0.02242143;-0.197188;1.385121,0
2732,-4328;-10900;10528,593;-524;-1329,-0.2674277;-0.08203812;1.068316,-0.2795999;0.01992678;1.279404,-0.167233;0.1973442;1.219459,-0.008818843;0.1960465;1.217317,-0.02240493;-0.1971894;1.385303,0
2765,-4672;-11288;10656,774;-502;-1217,-0.2672858;-0.08224043;1.067792,-0.2796248;0.01995813;1.279471,-0.1672137;0.197342;1.219516,-0.0088105;0.1960333;1.217359,-0.02242056;-0.1971495;1.385517,0
2798,-4412;-11168;10444,445;-306;-1342,-0.2670253;-0.08246804;1.067323,-0.2796505;0.01996255;1.279479,-0.1672003;0.19734;1.219569,-0.00880271;0.1960321;1.217418,-0.02236718;-0.1971403;1.38564,0
2832,-4392;-11048;10388,1506;-566;-1090,-0.2666438;-0.08261064;1.066555,-0.2796854;0.01992708;1.279351,-0.1671875;0.1973264;1.219561,-0.008802489;0.1960305;1.217418,-0.02231273;-0.1971476;1.385614,0
