Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
1835,-516;12524;9440,524;628;-211,0.007316526;0.2267821;1.275331,0.1545407;0.2018501;1.27307,0.2819481;0.04393663;1.311841,0.1961684;-0.06221557;1.105576,0.01560734;-0.1662679;1.429285,1
1871,-756;12684;9436,83;652;-677,0.007146108;0.2268168;1.275099,0.1549694;0.2018593;1.273193,0.2816715;0.04404289;1.311674,0.1960989;-0.06224734;1.105394,0.01561554;-0.1665528;1.428572,1
1902,-656;12456;9484,-1082;-392;-338,0.007073756;0.2268717;1.275021,0.1554527;0.2018935;1.273416,0.2812875;0.04407073;1.311769,0.1959479;-0.06230118;1.105435,0.01565159;-0.1666343;1.428465,1
1937,-544;12116;9828,-553;-355;-1140,0.007009353;0.2269303;1.274918,0.1558241;0.2019564;1.273643,0.2811309;0.04404612;1.311825,0.1959266;-0.06231253;1.105428,0.01567999;-0.1667491;1.428331,1
1967,-604;12248;9804,1197;-349;-1092,0.006853474;0.2270031;1.274645,0.1561175;0.2019466;1.273626,0.2806661;0.04426187;1.310768,0.1956184;-0.06236519;1.104445,0.01559623;-0.1666355;1.428299,1
2001,-592;12516;10024,954;-196;-1293,0.00681144;0.2270793;1.274654,0.1564421;0.2020047;1.273928,0.2804984;0.04427212;1.310895,0.1955422;-0.06245152;1.104584,0.01577464;-0.1665944;1.428463,1
2035,-648;12492;9896,1194;-278;-977,0.006751214;0.2271858;1.274668,0.1545248;0.2021295;1.273933,0.2804901;0.04435958;1.310933,0.1952771;-0.06247864;1.104788,0.01582184;-0.1665788;1.428635,1
2067,-560;12316;9976,1529;-468;-696,0.006769076;0.2271416;1.274962,0.1533084;0.2021749;1.273469,0.2803361;0.04451582;1.311061,0.1950378;-0.06242588;1.105005,0.0156954;-0.1668241;1.428352,1
2104,-592;12584;9756,1153;-666;-953,0.006712093;0.227223;1.274893,0.1539903;0.2021847;1.273695,0.2802702;0.0447014;1.310979,0.1946168;-0.06214966;1.105024,0.01570028;-0.1668404;1.428312,1
2135,-392;12124;9540,1065;-539;-1014,0.006632243;0.2273681;1.274967,0.153033;0.2023594;1.274155,0.2801231;0.04482599;1.311097,0.1945116;-0.06213383;1.105181,0.01573216;-0.1668789;1.428442,1
2167,-612;12560;9680,1459;-472;-884,0.006496894;0.2274999;1.274901,0.1520575;0.2024556;1.273851,0.2800651;0.0449497;1.311026,0.1944022;-0.06203509;1.105145,0.01480656;-0.1662819;1.428654,1
2200,-580;12456;9660,1253;-550;-776,0.006451008;0.2275664;1.274909,0.1514117;0.2025632;1.273973,0.2800319;0.04513;1.311137,0.1942846;-0.06190026;1.105315,0.01480228;-0.1663385;1.428674,1
2235,-468;12236;9568,1159;-294;-988,0.00638312;0.227623;1.27489,0.1526131;0.2025736;1.274427,0.2800091;0.04517494;1.311126,0.1941887;-0.06184599;1.105329,0.01475176;-0.1664297;1.428625,1
2294,-492;12452;9732,1316;-442;-975,0.006318828;0.2277175;1.274946,0.1518775;0.2027078;1.274734,0.2797871;0.0451679;1.311583,0.194054;-0.06167526;1.105657,0.01479239;-0.1663906;1.429046,1
2319,-592;12472;9768,1211;-394;-1069,0.006312195;0.227676;1.274967,0.1529003;0.2026537;1.274755,0.2795187;0.04515259;1.311353,0.1937994;-0.06163007;1.10539,0.01483292;-0.1666157;1.428317,1
2335,-624;12588;9748,1305;-607;-803,0.006172409;0.2277464;1.274585,0.1536483;0.2025991;1.274653,0.2795263;0.0453625;1.310727,0.1935391;-0.06166386;1.105003,0.01485722;-0.1667895;1.427428,1
2368,-500;12364;9640,1306;-442;-907,0.00612189;0.2278119;1.274573,0.1542088;0.2026362;1.274781,0.279399;0.04525585;1.310948,0.1932863;-0.06149406;1.105133,0.01491182;-0.1667178;1.427546,1
2401,-496;12560;9664,1060;-581;-975,0.006052289;0.2278605;1.274427,0.1546342;0.2026309;1.274746,0.2792865;0.04532596;1.310727,0.1931236;-0.06142604;1.104933,0.01499222;-0.1668664;1.426894,1
2435,-680;12496;9604,1318;-458;-998,0.006076114;0.2278035;1.274617,0.1550315;0.2026426;1.274801,0.2793402;0.04540379;1.310628,0.1931028;-0.06132782;1.104854,0.01504767;-0.1669781;1.426688,1
2468,-560;12560;9612,1217;-499;-865,0.006032476;0.2278413;1.274585,0.1553308;0.2026468;1.274884,0.2792718;0.04546041;1.310679,0.1930565;-0.06119872;1.104856,0.01508421;-0.1670187;1.426621,1
2502,-448;12496;9660,1243;-335;-962,0.005983171;0.2278925;1.27454,0.1556617;0.202656;1.275005,0.2793446;0.04560602;1.310684,0.1930508;-0.06109116;1.104912,0.01508157;-0.16703;1.426619,1
2538,-608;12580;9852,1180;-375;-1025,0.005937496;0.2279312;1.274534,0.1559427;0.2026976;1.275108,0.2792194;0.04567897;1.310812,0.1930744;-0.06102326;1.104977,0.01506751;-0.1670659;1.426622,1
2569,-576;12472;9612,1241;-542;-902,0.00593169;0.2278871;1.274789,0.1561262;0.202709;1.275124,0.2790119;0.04563514;1.310746,0.1929178;-0.06101825;1.104863,0.01514166;-0.1669646;1.426775,1
2601,-448;12384;9600,1233;-604;-872,0.005881467;0.2279668;1.274798,0.15631;0.2027238;1.275201,0.2789984;0.04571772;1.310938,0.192841;-0.060938;1.10508,0.01514762;-0.166641;1.427373,1
2635,-572;12492;9552,1409;-418;-1097,0.005829988;0.2279541;1.274842,0.1545058;0.2026876;1.273921,0.2790077;0.04588014;1.310408,0.1926084;-0.0607489;1.104637,0.01434674;-0.1661708;1.42721,1
2668,-680;12844;9676,1174;-332;-949,0.005765666;0.2279118;1.274989,0.1549094;0.2027002;1.274007,0.2790124;0.04602335;1.310238,0.1924753;-0.06061119;1.104529,0.0143697;-0.1663339;1.426922,1
2744,-520;12520;9588,1155;-258;-879,0.005707788;0.2279579;1.275067,0.1537722;0.2028916;1.273574,0.2789389;0.04612617;1.310222,0.1922125;-0.05994649;1.1043,0.01456415;-0.1664361;1.426848,1
2796,-524;12672;9660,1472;-238;-836,0.00565649;0.2280264;1.274997,0.154507;0.2028987;1.273857,0.2789099;0.04613695;1.310237,0.1920787;-0.05970288;1.104238,0.01456911;-0.1664426;1.426852,1
2807,-592;12720;9452,1075;-520;-843,0.005623654;0.2280612;1.275601,0.1533987;0.2031042;1.27387,0.2789069;0.04613979;1.310284,0.1913439;-0.0586599;1.10406,0.01465463;-0.1665089;1.426895,1
2834,-464;12636;9580,1431;-500;-748,0.005611945;0.2280482;1.275709,0.1524662;0.2031884;1.27331,0.278632;0.04609326;1.310487,0.1914018;-0.05688593;1.1032,0.01484565;-0.1664309;1.426952,1
2868,-464;12556;9476,1116;-392;-807,0.005620043;0.2280464;1.275818,0.1532774;0.2031823;1.273576,0.2789861;0.0461088;1.309977,0.1915162;-0.05650308;1.102607,0.01496588;-0.1663632;1.427055,1
2900,-432;12512;9508,1366;-379;-814,0.005590281;0.2281045;1.275815,0.1523818;0.2033816;1.273757,0.2793054;0.04605883;1.310125,0.1920024;-0.05574339;1.102284,0.01502268;-0.1663758;1.427372,1
2936,-556;12492;9696,1238;-441;-870,0.005560261;0.2281532;1.275727,0.1515256;0.2036119;1.273381,0.2797192;0.04607179;1.310004,0.1922666;-0.05352926;1.101154,0.01515109;-0.1663136;1.427515,1
2970,-500;12400;9656,1358;-591;-860,0.005535189;0.228201;1.275618,0.1509568;0.2036468;1.273119,0.2802272;0.04599697;1.309776,0.1931708;-0.05216354;1.100074,0.0153155;-0.1662736;1.427706,1
3001,-448;12500;9500,2151;-530;-863,0.005575471;0.2281786;1.275754,0.1504302;0.2037437;1.272895,0.280234;0.04599679;1.309776,0.1944113;-0.05035558;1.098724,0.01550324;-0.1662057;1.42784,1
3034,-528;12380;9432,3631;-148;-843,0.005556652;0.2282136;1.275678,0.1501217;0.2037776;1.272824,0.2778356;0.02566097;1.297653,0.1964208;-0.05070302;1.095779,0.01567014;-0.1661022;1.427991,1
3068,-404;12448;9124,5944;379;-969,0.005559102;0.2281486;1.275891,0.1497331;0.2038607;1.272658,0.2772052;0.02405389;1.296481,0.1964854;-0.0498534;1.096142,0.01585256;-0.1660997;1.428027,1
3102,-652;12740;8492,9585;1165;-851,0.005620006;0.2281936;1.276464,0.1495961;0.2038914;1.272729,0.2768968;0.02329461;1.296348,0.199143;-0.04835729;1.099883,0.01621294;-0.1658365;1.428769,1
3135,-580;13636;7796,12593;1645;-1532,0.005716484;0.2282669;1.276916,0.1494199;0.2039396;1.272804,0.2765028;0.02281197;1.297227,0.2011402;-0.04532855;1.104355,0.01658668;-0.1656993;1.42924,1
3169,-920;14596;6720,12943;1815;-2401,0.005728387;0.2282432;1.276972,0.151301;0.2037717;1.273305,0.275532;0.02110977;1.294743,0.1988655;-0.04727691;1.100334,0.01669944;-0.1657933;1.428955,1
3202,-1196;15104;5768,9975;953;-1616,0.005765731;0.2281893;1.276967,0.1507918;0.2037614;1.272799,0.2749806;0.02041898;1.294093,0.1962191;-0.04931816;1.095777,0.01673891;-0.1658539;1.428761,1
3233,-1140;14940;4872,8561;293;-1488,0.005703502;0.2282393;1.276721,0.1506413;0.2037424;1.272808,0.2725171;0.0113824;1.278899,0.1944286;-0.05119836;1.093713,0.01674849;-0.1658944;1.428689,1
3268,-1140;14832;4068,11161;974;-1088,0.005707009;0.2281973;1.27679,0.1504356;0.2037535;1.272818,0.27155;0.007557378;1.271526,0.1935932;-0.052465;1.092977,0.01670842;-0.1661091;1.428378,1
3302,-1236;15140;3020,14584;1946;-1553,0.005709053;0.2281663;1.276792,0.1502389;0.2037737;1.272696,0.2709545;0.007583336;1.272184,0.1934531;-0.05368247;1.092766,0.01647444;-0.1661664;1.428229,1
3381,-1448;15388;1612,14663;1637;-2145,0.0057469;0.2280983;1.276911,0.1498857;0.2036952;1.272523,0.2701577;0.00721964;1.273087,0.1929631;-0.05816239;1.091784,0.01620969;-0.166779;1.427293,1
3403,-1864;15948;220,13788;1011;-2665,0.005877795;0.2282712;1.277637,0.1497161;0.2036515;1.272792,0.26956;0.005415883;1.272066,0.1933613;-0.06024593;1.093579,0.01619545;-0.1666296;1.427912,1
3448,-2004;15604;-876,12192;278;-2928,0.005901547;0.2282082;1.277625,0.1495733;0.2035831;1.272682,0.2690376;0.005032634;1.272674,0.1930419;-0.06169261;1.092875,0.01619399;-0.1668049;1.427395,1
3489,-2148;15836;-2040,11781;337;-1700,0.005884555;0.2283056;1.277593,0.1495409;0.2035758;1.273217,0.2685335;0.004564991;1.273797,0.1925406;-0.06311986;1.093344,0.01611884;-0.1666131;1.428135,1
3532,-1888;15400;-3060,10822;384;-1669,0.005821111;0.2283508;1.276844,0.1517022;0.2032277;1.273359,0.2682725;0.004431171;1.273981,0.191597;-0.06430224;1.092266,0.01582759;-0.166807;1.427024,1
3616,-1884;15320;-4392,12035;808;-1486,0.006106161;0.2283036;1.277696,0.1510389;0.2032026;1.273829,0.2675952;0.005020773;1.279837,0.1901929;-0.06545931;1.093834,0.01567894;-0.1670026;1.427325,1
3634,-1972;15348;-5304,12023;1023;-1652,0.006107714;0.228265;1.277704,0.1507885;0.2031728;1.273768,0.2775423;0.04350151;1.310704,0.1934673;-0.06088887;1.102822,0.01509831;-0.1675829;1.426413,1
3668,-2176;15452;-6704,10326;201;-1717,0.006132799;0.228229;1.277724,0.1506846;0.2031108;1.273777,0.2774093;0.04348381;1.310827,0.1934283;-0.06096814;1.102938,0.01511408;-0.1676583;1.426324,1
3701,-1912;15124;-7516,5308;-551;-269,0.006286816;0.2282566;1.278203,0.1524832;0.2030387;1.274674,0.2775555;0.04365161;1.311339,0.1935177;-0.06093613;1.103542,0.01512384;-0.1675519;1.426652,1
3735,-1884;14360;-7580,4106;-355;230,0.006305372;0.2282476;1.278212,0.1535065;0.2029714;1.274914,0.2773367;0.04368084;1.311762,0.1935837;-0.06090886;1.103852,0.01512386;-0.1675402;1.426652,1
3767,-1512;13912;-7692,5586;351;-51,0.006323462;0.2281609;1.278235,0.1530567;0.2029528;1.274724,0.2773702;0.0437298;1.311853,0.1936242;-0.06084923;1.103935,0.01515597;-0.1675382;1.426672,1
3803,-1432;13280;-8240,9439;1480;-701,0.006229389;0.2281725;1.27753,0.1539334;0.2028706;1.274745,0.2773232;0.04372905;1.311851,0.1937685;-0.06079475;1.103827,0.01519621;-0.1675395;1.426531,1
3837,-1072;12336;-8976,13715;2955;-1500,0.006173851;0.2281793;1.277236,0.1546406;0.2027752;1.274877,0.2773783;0.04373488;1.311935,0.193811;-0.06079425;1.103919,0.01520786;-0.1675672;1.42648,2
3869,-1180;11664;-10440,20360;3942;-1501,0.006145536;0.228229;1.276833,0.1551157;0.2027679;1.274925,0.2773339;0.04374527;1.312009,0.1939499;-0.0608153;1.103935,0.01541688;-0.1674165;1.426562,2
3901,-1808;12136;-11668,19614;2526;-2030,0.006106501;0.2282576;1.276574,0.1555217;0.2027559;1.275009,0.277294;0.04378877;1.312285,0.1940417;-0.06073901;1.104141,0.01550554;-0.1672985;1.426657,2
3935,-1980;11932;-13440,10956;-306;-866,0.006085771;0.2282802;1.276408,0.1558322;0.2027515;1.275037,0.2772945;0.04382565;1.312518,0.1941039;-0.06068054;1.104339,0.01559749;-0.1672351;1.426744,2
3966,-1760;10832;-13988,950;-2397;839,0.006024021;0.2282779;1.276066,0.1561395;0.2027373;1.275101,0.2772473;0.0438317;1.312622,0.1941304;-0.06067526;1.104412,0.01550673;-0.1673208;1.426556,2
4015,-1368;10180;-14176,-1208;-1801;435,0.005963834;0.2282646;1.275589,0.1563758;0.2027132;1.275018,0.2772562;0.04401526;1.312139,0.1940306;-0.0607936;1.104123,0.01551558;-0.1673547;1.426127,2
4036,-1080;9916;-13600,-1716;-938;-677,0.005911503;0.2282631;1.275434,0.156582;0.202704;1.275072,0.2770599;0.04405438;1.312771,0.1942012;-0.06059948;1.104527,0.015505;-0.1673622;1.426102,2
4072,-1352;10660;-13140,-2416;-1238;-570,0.005871637;0.2282647;1.275173,0.1547692;0.2023902;1.274052,0.277016;0.04403742;1.312683,0.1941685;-0.06062941;1.104441,0.01549026;-0.1674102;1.425975,2
4100,-1112;10404;-12960,-5027;-1742;-597,0.00584745;0.2282726;1.275098,0.1553002;0.202429;1.274242,0.2770874;0.04417562;1.312687,0.1941527;-0.06061545;1.104542,0.01548425;-0.1674154;1.425953,2
4135,-1532;11708;-12560,-5223;-1533;-140,0.005976996;0.2281536;1.275426,0.1557538;0.2023991;1.27445,0.2770983;0.04417046;1.312711,0.1941711;-0.06061482;1.104561,0.01546858;-0.167263;1.426165,2
4168,-1164;12052;-11680,-6665;-1797;-150,0.005946899;0.2281474;1.275103,0.1560668;0.2023836;1.274446,0.2770973;0.04416937;1.312637,0.1941454;-0.0604901;1.104433,0.01547505;-0.167264;1.426038,2
4200,-1956;13036;-11120,-9861;-2656;377,0.0060605;0.2280994;1.275563,0.1548416;0.2025028;1.274369,0.2771257;0.0442085;1.312828,0.1941651;-0.06050645;1.104656,0.01546524;-0.1671914;1.426266,2
4234,-1356;13124;-10028,-14099;-3616;1381,0.006235517;0.2280546;1.276388,0.1554468;0.2025324;1.274782,0.2772169;0.0443103;1.313308,0.1943053;-0.06034754;1.105087,0.01551333;-0.1669384;1.427058,2
