Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
376,6860;6136;13376,1128;-504;-944,0.01399532;0.2255702;1.26656,0.1664392;0.1964764;1.270927,0.2760382;0.01653358;1.310768,0.204539;-0.1046977;1.107193,0.0184194;-0.1672167;1.427695,0
409,6748;6056;13228,1217;-465;-938,0.01398136;0.2255725;1.266776,0.1665248;0.1967095;1.271234,0.276099;0.01652784;1.310863,0.2046926;-0.1042673;1.10699,0.01848347;-0.167168;1.42798,0
441,6960;6348;13612,1120;-382;-849,0.01398777;0.2255638;1.266815,0.1660688;0.1962692;1.270333,0.2761305;0.01659827;1.310673,0.2050275;-0.1035556;1.106306,0.01846191;-0.1671783;1.427982,0
476,6692;5884;13520,989;-480;-966,0.01399586;0.225582;1.266979,0.1661817;0.1964515;1.270712,0.2762575;0.01665189;1.31068,0.2105918;-0.1003838;1.113175,0.01846045;-0.1671751;1.428059,0
512,6900;6032;13440,1084;-514;-945,0.0139977;0.2255957;1.267133,0.165909;0.1962648;1.270573,0.2762808;0.0165835;1.310726,0.2107266;-0.1002701;1.114364,0.01842352;-0.167193;1.428199,0
543,6876;6016;13368,1022;-611;-875,0.01403407;0.2256762;1.267291,0.1659768;0.1963568;1.270716,0.2763224;0.01632914;1.310884,0.2138538;-0.09966253;1.125443,0.01854246;-0.1655799;1.430374,0
576,6924;6012;13496,1124;-494;-957,0.01404149;0.2256754;1.267311,0.1656548;0.1959934;1.270161,0.2761991;0.0161144;1.31112,0.2270743;-0.08963319;1.144248,0.01868488;-0.1656873;1.43029,0
612,6824;6076;13480,1034;-571;-917,0.01407979;0.2256991;1.267394,0.1658226;0.1961823;1.270507,0.276187;0.01587064;1.311444,0.2184789;-0.1005343;1.112649,0.01878029;-0.1657068;1.430273,0
644,6880;6052;13504,1065;-466;-930,0.01408195;0.2256871;1.267377,0.165866;0.1962151;1.270541,0.2761392;0.01556083;1.311472,0.2184848;-0.1006303;1.112443,0.01891459;-0.1658634;1.429835,0
676,6872;6016;13416,1051;-501;-920,0.01410493;0.2256873;1.267429,0.1659649;0.1963484;1.270752,0.2763588;0.01516493;1.311957,0.2337864;-0.08423188;1.152045,0.01895636;-0.1658645;1.429864,0
712,6884;5976;13460,1062;-472;-943,0.01410151;0.2256886;1.26746,0.1660712;0.1964403;1.270984,0.2765539;0.01460809;1.312275,0.2065638;-0.1112148;1.110982,0.01897663;-0.1659214;1.429829,0
742,6908;6044;13556,1062;-476;-940,0.01410799;0.2256842;1.267493,0.1661905;0.1965745;1.271204,0.2767699;0.01412498;1.312539,0.2157933;-0.1058181;1.123267,0.01902758;-0.1659386;1.42981,0
776,6888;6028;13580,1072;-453;-943,0.01409653;0.2256848;1.267558,0.1659387;0.1963473;1.271017,0.2767769;0.01294232;1.312725,0.2162887;-0.105727;1.124303,0.01903377;-0.1659974;1.429827,0
811,6832;5932;13480,1116;-471;-962,0.01409756;0.2256747;1.267593,0.1658399;0.1961492;1.270876,0.2766768;0.01204697;1.313142,0.207541;-0.1112005;1.109953,0.01890745;-0.1662611;1.429581,0
842,6852;5884;13544,1077;-437;-960,0.01408835;0.2256801;1.267635,0.1657303;0.1960383;1.270764,0.2765328;0.01148727;1.313104,0.2124667;-0.1148702;1.112186,0.01889562;-0.1663508;1.429522,0
877,6860;6092;13532,1104;-416;-963,0.01408229;0.2256884;1.267635,0.1658011;0.1961436;1.270894,0.2765428;0.0114622;1.313162,0.2119087;-0.1132708;1.109403,0.01887549;-0.1663309;1.429434,0
913,6892;5960;13604,1089;-424;-954,0.01409342;0.2257122;1.267689,0.165995;0.196347;1.271285,0.2766199;0.01122087;1.313622,0.213592;-0.1127784;1.108908,0.01880212;-0.1665059;1.429178,0
945,6884;5996;13420,1121;-437;-971,0.01409983;0.2257266;1.26771,0.1660939;0.1964786;1.271469,0.2764412;0.01056866;1.313525,0.2143432;-0.1127352;1.108103,0.01865297;-0.1667412;1.428773,0
976,6852;6044;13604,1156;-396;-981,0.01409857;0.2257471;1.267741,0.166217;0.1966155;1.27169,0.2764506;0.01067753;1.313882,0.2144007;-0.1125918;1.108425,0.01863169;-0.1667837;1.428694,0
1009,6896;5980;13600,1114;-395;-973,0.01409942;0.2257652;1.267817,0.1663779;0.1967291;1.271946,0.2765018;0.01058245;1.313876,0.2143312;-0.1126051;1.108406,0.01866448;-0.1668518;1.428584,0
1043,6812;5976;13380,1115;-391;-973,0.01411155;0.2257788;1.267864,0.1661971;0.1964987;1.271693,0.2764286;0.01057864;1.313872,0.215691;-0.1121893;1.107719,0.01871078;-0.1669133;1.428509,0
1076,6856;6064;13456,1115;-364;-978,0.01411499;0.2257948;1.267894,0.1660419;0.1962198;1.271461,0.27635;0.01058315;1.313825,0.182919;-0.1217647;1.126875,0.01873308;-0.1669268;1.428502,0
1111,6856;5988;13304,1149;-400;-998,0.01411731;0.2258083;1.267915,0.1659171;0.1960403;1.271174,0.276338;0.01054725;1.313737,0.1828512;-0.1219636;1.126932,0.01891853;-0.1669641;1.428396,0
1144,6988;6044;13584,1133;-408;-993,0.01409311;0.2259559;1.268231,0.1657536;0.1960278;1.271285,0.2765273;0.01050617;1.313963,0.2212863;-0.09538631;1.15307,0.0190481;-0.1669454;1.428774,0
1180,6948;6032;13568,1118;-435;-983,0.01410704;0.2260224;1.268407,0.1659766;0.1963783;1.271901,0.2766832;0.01067149;1.314444,0.2217314;-0.09517002;1.152972,0.01911644;-0.166928;1.428912,0
1211,6888;6008;13540,1139;-401;-972,0.014109;0.2260505;1.26846,0.1660376;0.1965115;1.272025,0.2767286;0.01067482;1.314377,0.2215629;-0.09492651;1.150686,0.01917345;-0.1669151;1.428905,0
1242,6848;6068;13532,1118;-433;-961,0.01410654;0.2260505;1.268461,0.16564;0.1961549;1.271395,0.2771078;0.01110616;1.314413,0.2147468;-0.1109839;1.10834,0.01914988;-0.1671522;1.428552,0
1277,6848;5980;13468,1086;-470;-957,0.0141068;0.2260714;1.26851,0.1654917;0.1960844;1.271238,0.2773722;0.01158399;1.314658,0.2154423;-0.1107363;1.108593,0.01922347;-0.1671751;1.428569,0
1311,6824;6040;13436,1098;-477;-936,0.01411589;0.2261068;1.268599,0.1652691;0.1960159;1.271155,0.2775958;0.01245219;1.314797,0.2155374;-0.1116933;1.109876,0.01942425;-0.1672282;1.428674,0
1344,6932;6072;13324,1059;-542;-908,0.01414442;0.2262062;1.268817,0.1655097;0.1964013;1.271719,0.2778391;0.01385307;1.314947,0.2160049;-0.1118;1.110889,0.019666;-0.1670199;1.429122,0
1378,6920;6168;13448,1113;-468;-959,0.01414998;0.2263446;1.269113,0.1657532;0.1967852;1.272359,0.2780885;0.01530193;1.315243,0.2167015;-0.1032887;1.111896,0.01987356;-0.1669886;1.429352,0
1411,6856;6104;13452,1100;-515;-951,0.01414128;0.2263527;1.269107,0.1658454;0.1969584;1.272499,0.2780085;0.0163209;1.314552,0.2184048;-0.09847376;1.112878,0.01991986;-0.1670138;1.429164,0
1443,6808;6000;13700,1091;-471;-938,0.01412686;0.2263592;1.269102,0.1659471;0.1971258;1.272628,0.2781141;0.01701981;1.314066,0.2180657;-0.09639806;1.109243,0.01955115;-0.1673576;1.428327,0
1476,6832;6100;13680,1083;-491;-946,0.01411093;0.2263625;1.269104,0.1660127;0.1972969;1.272783,0.2781685;0.0171721;1.313815,0.2181899;-0.0955077;1.108813,0.01956947;-0.1673863;1.428266,0
1511,6800;6024;13556,1095;-438;-958,0.01407041;0.2263613;1.269068,0.1660557;0.1974141;1.272841,0.2784919;0.01794679;1.312647,0.2183535;-0.09459004;1.106833,0.01929047;-0.1675791;1.427709,0
1543,6840;6000;13472,1058;-452;-954,0.01405435;0.2263655;1.269074,0.1661113;0.1975435;1.27293,0.2785732;0.01792064;1.312185,0.21756;-0.09469479;1.104123,0.01910843;-0.1677478;1.42744,0
1579,6900;5900;13452,1077;-457;-960,0.01402278;0.2263968;1.269176,0.1661657;0.1977181;1.273151,0.2787871;0.01890095;1.312551,0.2163825;-0.09540099;1.104142,0.01910951;-0.1677108;1.427494,0
1610,6824;6056;13564,1080;-428;-951,0.01399792;0.2264083;1.269227,0.1661957;0.1978563;1.27329,0.2788523;0.01967202;1.312456,0.215142;-0.09614002;1.103125,0.01907056;-0.1677005;1.427503,0
1642,6920;6032;13584,1096;-422;-974,0.0139754;0.2264226;1.269246,0.1661991;0.1979385;1.273365,0.2788924;0.0200486;1.312398,0.2148946;-0.09652476;1.103579,0.01909399;-0.1677191;1.42744,0
1676,6844;6028;13492,1135;-417;-980,0.01395684;0.226437;1.269266,0.1662026;0.1980364;1.27344,0.2788077;0.02110617;1.312593,0.2147279;-0.09675539;1.104528,0.01909697;-0.1676993;1.427408,0
1710,6864;5996;13592,1124;-389;-1014,0.0139334;0.226467;1.269341,0.1662274;0.1981858;1.2736,0.278834;0.02160599;1.312932,0.2143018;-0.09797379;1.105998,0.01909433;-0.1676961;1.427412,0
1744,6992;5888;13620,1135;-362;-985,0.01390258;0.2264825;1.269357,0.1662533;0.1982625;1.273722,0.2787883;0.02199747;1.312917,0.2133454;-0.09994397;1.107667,0.01905562;-0.1677397;1.427314,0
1778,6852;5964;13476,1160;-393;-972,0.01385732;0.2264867;1.26932,0.166262;0.1982962;1.273727,0.2786534;0.02216055;1.312541,0.2133639;-0.100272;1.107534,0.01903059;-0.1678265;1.426817,0
1811,6856;6036;13552,1199;-411;-978,0.013839;0.2265151;1.269342,0.1662499;0.1983331;1.273765,0.2785963;0.02238713;1.312489,0.2166113;-0.1042955;1.109068,0.0190781;-0.1677822;1.426808,0
1844,6828;6036;13628,1208;-393;-1004,0.01380951;0.2265204;1.269303,0.166254;0.1983696;1.273755,0.2784391;0.02236846;1.312305,0.2169241;-0.1046339;1.10894,0.01905423;-0.1677418;1.426665,0
1877,6800;5992;13520,1187;-404;-965,0.01378241;0.2265459;1.26933,0.1656882;0.1982411;1.273443,0.2783832;0.02238991;1.312364,0.2171726;-0.1049564;1.109122,0.01909523;-0.1677394;1.426694,0
1911,6872;6064;13408,1168;-430;-974,0.01365978;0.2266611;1.269564,0.1651208;0.1982397;1.2736,0.2782924;0.02242902;1.3125,0.2146612;-0.1063808;1.110942,0.01897663;-0.1675895;1.427209,0
1944,6828;6072;13448,1160;-429;-971,0.01364299;0.2266665;1.269513,0.1651472;0.198269;1.273581,0.2779349;0.02241007;1.311985,0.2146247;-0.1064199;1.110336,0.01898971;-0.1674557;1.426919,0
1976,6828;6032;13444,1145;-488;-967,0.01359729;0.2267112;1.26959,0.1652324;0.1983823;1.273771,0.2779034;0.02256265;1.312292,0.2186747;-0.1060173;1.10924,0.01897345;-0.1674331;1.427012,0
2011,6988;6156;13432,1138;-474;-926,0.01356283;0.2267495;1.269556,0.1652666;0.1984165;1.27381,0.2778751;0.02265621;1.31222,0.2201844;-0.1056427;1.108543,0.01899107;-0.1673582;1.426915,0
2045,6852;6164;13600,1120;-513;-944,0.01348426;0.2268431;1.269747,0.1648924;0.1983762;1.273998,0.277899;0.02316983;1.313153,0.2181108;-0.1058229;1.110528,0.01900429;-0.1672913;1.427337,0
2077,6868;5992;13388,1083;-510;-947,0.01346313;0.2268489;1.269717,0.1649354;0.1984232;1.273978,0.2778347;0.02332609;1.312893,0.2178195;-0.1055604;1.110263,0.01904312;-0.1672085;1.427215,0
2111,6872;5956;13420,1082;-511;-927,0.01342242;0.2268759;1.269779,0.1650194;0.1985056;1.274226,0.2778312;0.02362772;1.31326,0.2181132;-0.105495;1.110693,0.01896826;-0.1672061;1.427326,0
2143,6812;6140;13388,1071;-515;-928,0.01334675;0.2268634;1.269664,0.1650374;0.1985187;1.274207,0.2777035;0.0235273;1.312437,0.2177907;-0.1058676;1.110101,0.01849382;-0.1672371;1.426917,0
2176,6972;6112;13520,1063;-525;-917,0.01333701;0.2268671;1.269667,0.1650917;0.1985299;1.274277,0.2777898;0.02380808;1.312539,0.2177731;-0.1057442;1.110335,0.01847367;-0.1671949;1.426964,0
2211,6872;6036;13652,1063;-521;-941,0.01329494;0.226855;1.269602,0.1651064;0.198536;1.27427,0.2777349;0.02381309;1.312384,0.217683;-0.1056713;1.110145,0.01830961;-0.1672657;1.426703,0
2243,6988;5936;13572,1067;-514;-948,0.0132531;0.2268433;1.269535,0.1651342;0.198543;1.274248,0.2776628;0.02369113;1.311769,0.2170237;-0.1057448;1.109672,0.01789014;-0.1673539;1.426283,0
2276,6900;6060;13500,1054;-506;-938,0.01320353;0.2268507;1.269478,0.1651667;0.1985617;1.274252,0.2776497;0.02368836;1.311747,0.2192743;-0.1057967;1.109013,0.01758481;-0.1673943;1.426096,0
2310,6872;5952;13440,1052;-487;-932,0.01318063;0.2268569;1.269492,0.1647712;0.1982809;1.2739,0.2777078;0.02383979;1.311875,0.2174747;-0.1058195;1.109798,0.01725246;-0.1666878;1.427395,0
2343,6904;6020;13452,1101;-489;-951,0.01316433;0.2268543;1.269503,0.1648418;0.198344;1.273944,0.2777665;0.02392501;1.311974,0.21719;-0.1061073;1.110242,0.01724431;-0.1667107;1.42736,1
2376,6688;5984;13440,1103;-461;-961,0.01316017;0.2268546;1.269503,0.1649086;0.1983865;1.274009,0.277815;0.02397803;1.312057,0.2191983;-0.106018;1.10972,0.01726033;-0.1666607;1.427403,1
2410,6920;6028;13528,1131;-408;-969,0.01313705;0.2268491;1.269504,0.1649702;0.1984111;1.274065,0.2778244;0.02391245;1.312083,0.2174978;-0.1063909;1.110451,0.01722883;-0.1667043;1.427323,1
2443,6848;5952;13572,1100;-422;-958,0.01312522;0.2268374;1.269512,0.1650378;0.1984496;1.274122,0.2778421;0.02385313;1.312108,0.2169874;-0.1064063;1.110604,0.01719906;-0.166825;1.427205,1
2478,7000;5912;13552,1070;-426;-949,0.01312511;0.2268296;1.269521,0.1651158;0.1984813;1.274207,0.2778667;0.02384866;1.312246,0.2164656;-0.106357;1.110873,0.0171719;-0.1668584;1.427192,1
2510,6912;6000;13632,1064;-438;-945,0.01311653;0.226863;1.2697,0.1652192;0.1986316;1.274449,0.2780284;0.02418657;1.313128,0.2166289;-0.1061895;1.111865,0.01742172;-0.1667158;1.427727,1
2544,6848;6056;13532,1080;-458;-952,0.01310201;0.2268109;1.269593,0.165257;0.1986471;1.274417,0.2780152;0.02416833;1.31291,0.2165525;-0.1060699;1.111575,0.01747225;-0.1668376;1.427257,1
2577,6848;6076;13448,1104;-456;-947,0.01309876;0.2268054;1.26962,0.1649932;0.1985728;1.274217,0.27804;0.0242303;1.312994,0.2163997;-0.1060792;1.111757,0.0175308;-0.1668722;1.427302,1
2611,6960;6020;13584,1077;-455;-967,0.01310098;0.2268032;1.269621,0.1650729;0.1986177;1.274246,0.2780403;0.02422946;1.313005,0.2161708;-0.1061905;1.11191,0.01756705;-0.1668856;1.427294,1
2642,6880;5976;13352,1078;-463;-930,0.01309829;0.2268038;1.269631,0.1651371;0.1986786;1.274273,0.2780842;0.02435691;1.313103,0.216223;-0.106016;1.111973,0.0176264;-0.1668698;1.427333,1
2679,6848;5932;13548,1089;-465;-956,0.01306768;0.2268077;1.26972,0.1649999;0.1986052;1.274254,0.278113;0.02425385;1.313264,0.2162859;-0.1059876;1.112036,0.01755667;-0.1668711;1.427415,1
2709,6788;5996;13436,1110;-466;-960,0.01306443;0.2268081;1.269718,0.1650799;0.1986226;1.27433,0.278127;0.02426757;1.31331,0.2162678;-0.1059706;1.112088,0.01755309;-0.1669426;1.427306,1
2747,6892;6024;13572,1103;-442;-960,0.01306487;0.2268045;1.269721,0.1651288;0.1986599;1.27435,0.2781323;0.02426833;1.313315,0.2161523;-0.1060093;1.112155,0.01754798;-0.1669891;1.427248,1
2777,6920;5984;13588,1103;-421;-963,0.01306255;0.2268039;1.269727,0.1651828;0.1986977;1.274414,0.2781388;0.02431574;1.313368,0.2161164;-0.106019;1.112257,0.01756439;-0.1669935;1.42726,1
2810,6952;6060;13444,1111;-418;-985,0.01303727;0.2267802;1.269621,0.1652108;0.1987134;1.274385,0.2781083;0.02410132;1.312918,0.2159072;-0.1062538;1.111874,0.01754555;-0.1670398;1.426865,1
2842,6852;5976;13464,1133;-390;-979,0.01305162;0.2268016;1.269745,0.165031;0.198666;1.274481,0.2781495;0.02412892;1.313369,0.2159354;-0.1061575;1.112282,0.0176934;-0.1669344;1.427472,1
2877,6800;5896;13720,1147;-428;-972,0.01305248;0.2267998;1.26974,0.1650683;0.1986859;1.274479,0.2781305;0.02404586;1.313219,0.215848;-0.1061886;1.112118,0.01770332;-0.1669267;1.42746,1
2912,6836;6020;13452,1129;-419;-948,0.01305336;0.2267994;1.269741,0.1651114;0.1987132;1.274509,0.2781551;0.02413658;1.313364,0.215856;-0.1060932;1.112264,0.01778102;-0.1669151;1.427503,1
2944,6876;6016;13628,1162;-410;-997,0.01304047;0.2267818;1.269711,0.1651283;0.1987249;1.274507,0.278154;0.02413666;1.313357,0.2157583;-0.1060703;1.11227,0.01785312;-0.1669598;1.427375,1
2977,6860;6076;13412,1187;-400;-978,0.01301194;0.2268095;1.26986,0.1648955;0.1986468;1.274535,0.2781683;0.02420166;1.313916,0.2152569;-0.1061401;1.113078,0.01792509;-0.1669879;1.427694,1
3010,6800;5968;13480,1174;-388;-992,0.0130087;0.2268066;1.26985,0.164955;0.1986697;1.274531,0.2781771;0.02408406;1.313793,0.2147719;-0.1060486;1.112971,0.01801873;-0.1669704;1.427615,1
3042,6936;6036;13564,1155;-403;-981,0.01300581;0.2268079;1.269856,0.1647183;0.1985638;1.274325,0.2781234;0.02403768;1.313884,0.2148149;-0.105861;1.112877,0.01804104;-0.166965;1.427655,1
3077,6872;6028;13676,1140;-402;-982,0.01300128;0.2268111;1.269874,0.1648237;0.1986084;1.274439,0.2782134;0.02407193;1.31406,0.2148278;-0.1056515;1.112961,0.01802662;-0.1669475;1.42768,1
3112,6776;5996;13636,1175;-411;-995,0.01300243;0.226811;1.269873,0.1646065;0.1983941;1.27423,0.2781234;0.02394951;1.313914,0.2147173;-0.1057292;1.11279,0.01803994;-0.1669683;1.427664,1
3142,6872;6052;13672,1175;-432;-966,0.01297625;0.2267898;1.26982,0.1641482;0.197941;1.273311,0.2781346;0.02395926;1.313884,0.2169565;-0.1047462;1.111437,0.01782595;-0.1671969;1.42718,1
3177,6876;6112;13464,1163;-430;-970,0.01296986;0.2267882;1.269826,0.164055;0.1978868;1.273245,0.2781329;0.02398613;1.313881,0.2152251;-0.10455;1.111855,0.01779886;-0.1671931;1.427198,1
3209,6808;5984;13476,1151;-417;-984,0.01295445;0.2267902;1.269867,0.1642897;0.1980406;1.27358,0.2781172;0.02391265;1.313968,0.2147834;-0.1048515;1.112221,0.01764808;-0.1671959;1.427287,1
3243,6844;6084;13580,1187;-431;-964,0.01295294;0.2267629;1.269811,0.1644279;0.1980772;1.273597,0.2781315;0.02381206;1.313749,0.2143948;-0.1047804;1.112016,0.01748143;-0.1673788;1.426742,1
3277,6852;5996;13600,1149;-439;-970,0.01294906;0.2267507;1.269803,0.1645284;0.1981406;1.273637,0.2779866;0.0236157;1.313383,0.2142789;-0.1048675;1.111569,0.01749699;-0.1675154;1.42654,1
3311,6816;6028;13512,1114;-461;-971,0.01295202;0.2267569;1.269852,0.1644184;0.1980837;1.273545,0.2780346;0.02358034;1.313752,0.2144065;-0.1054753;1.112281,0.01771104;-0.1675036;1.426825,1
3343,6792;6008;13604,1134;-437;-974,0.01295266;0.2267547;1.269855,0.164539;0.1981712;1.273622,0.2780251;0.02362774;1.313665,0.2142684;-0.1055866;1.112335,0.01771976;-0.1674797;1.426845,1
3377,6836;6116;13472,1124;-460;-962,0.01294616;0.2267402;1.269857,0.1642883;0.1979986;1.27328,0.2780323;0.02362182;1.313666,0.2138606;-0.1059936;1.112728,0.01767364;-0.1675838;1.42676,1
3410,6912;6020;13504,1112;-477;-957,0.01294585;0.2267366;1.269875,0.1644705;0.1981055;1.273474,0.2780018;0.02367847;1.313856,0.2137539;-0.105979;1.112968,0.01767703;-0.1675612;1.426844,1
3442,6832;5980;13436,1118;-476;-952,0.01292563;0.2267443;1.269956,0.1643839;0.1980897;1.273493,0.278024;0.02366151;1.314146,0.213858;-0.106021;1.113246,0.01770846;-0.1674887;1.427121,1
3477,6836;6008;13448,1131;-458;-947,0.01291492;0.2267305;1.269944,0.1645101;0.1981661;1.273573,0.2780495;0.02364936;1.314101,0.2137716;-0.1058502;1.113115,0.01770967;-0.1676139;1.426902,1
3511,6796;6048;13328,1094;-494;-963,0.01292412;0.2267216;1.269964,0.1646862;0.1982697;1.273738,0.2781337;0.02363078;1.314127,0.2136622;-0.1057884;1.113149,0.01773148;-0.1675853;1.427034,1
3544,6832;6100;13388,1106;-480;-952,0.01293323;0.2267105;1.269948,0.1647902;0.1983361;1.273828,0.2781128;0.02359395;1.313903,0.2132053;-0.1055705;1.112898,0.01774207;-0.1675817;1.427015,1
3576,6900;6008;13632,1105;-461;-968,0.01293518;0.226705;1.269947,0.1645929;0.198172;1.273594,0.2779031;0.02321333;1.313585,0.2128415;-0.1055772;1.112385,0.01773261;-0.1675749;1.427032,1
3610,6920;6068;13720,1121;-461;-956,0.0129395;0.2266975;1.26996,0.164548;0.1981319;1.273525,0.2779792;0.02317654;1.313791,0.2122367;-0.1047902;1.11228,0.01772281;-0.1675946;1.42705,1
3642,6856;5984;13652,1103;-449;-968,0.01294295;0.2266835;1.269961,0.1644014;0.198062;1.273352,0.2779953;0.02316593;1.31379,0.2118302;-0.1000651;1.10945,0.01773888;-0.1676092;1.42703,1
3677,6924;6072;13568,1109;-432;-957,0.01294013;0.2266797;1.269959,0.1642413;0.1979492;1.273184,0.278034;0.023212;1.313696,0.2118706;-0.09922814;1.108873,0.01772971;-0.1676044;1.427038,1
3710,6980;6104;13468,1096;-456;-959,0.01294197;0.2266714;1.269929,0.1644182;0.198045;1.273263,0.2779867;0.02310775;1.313503,0.2107895;-0.09702317;1.107637,0.01770017;-0.1675465;1.427001,1
3742,6864;6064;13428,1083;-464;-959,0.01293896;0.2266565;1.269914,0.1645921;0.1981458;1.273411,0.2779671;0.02303244;1.313423,0.2098247;-0.09487291;1.106569,0.0172812;-0.1677591;1.426524,1
3778,6936;5948;13608,1124;-434;-969,0.0129348;0.2266543;1.269945,0.1645361;0.1980952;1.273431,0.2780604;0.02305129;1.313651,0.2100414;-0.09356246;1.106017,0.01708708;-0.1677596;1.426631,1
3810,6844;6068;13568,1132;-465;-927,0.01294047;0.2266466;1.269942,0.1647089;0.1981806;1.273563,0.2780951;0.02303269;1.313654,0.2103499;-0.09247414;1.105304,0.01710998;-0.1677445;1.426647,1
3842,6800;6044;13488,1118;-471;-938,0.01294341;0.2266022;1.269871,0.1645074;0.1978476;1.273054,0.2779375;0.02287855;1.313153,0.2117393;-0.09229764;1.104118,0.01712119;-0.1677916;1.426585,1
3877,6804;6132;13680,1097;-458;-949,0.01295292;0.2266101;1.269897,0.1643832;0.1977949;1.2731,0.2779143;0.02277956;1.313307,0.225313;-0.08269306;1.119942,0.01725329;-0.1677702;1.42685,1
3910,6840;5924;13668,1099;-462;-946,0.01296059;0.2266099;1.269898,0.1645609;0.1978996;1.273312,0.2778827;0.0226669;1.313381,0.2195962;-0.09328581;1.117251,0.017603;-0.1676804;1.427041,1
3943,6812;6060;13504,1101;-488;-949,0.01296602;0.2266082;1.269897,0.1643627;0.1976798;1.273208,0.2778357;0.02258336;1.313513,0.2274775;-0.0788098;1.146569,0.01780032;-0.1677575;1.427105,1
3978,6820;6052;13476,1065;-476;-945,0.01300282;0.2265715;1.269773,0.1644458;0.1977163;1.273218,0.277559;0.02195008;1.313183,0.2279593;-0.0787897;1.145899,0.01815779;-0.1677862;1.426655,1
4009,6884;5964;13560,1093;-501;-961,0.01301156;0.2265765;1.269782,0.1646706;0.1978288;1.273485,0.2773474;0.02106433;1.314257,0.2200232;-0.1076075;1.110606,0.01816921;-0.1677603;1.426731,1
4043,6920;6000;13452,1106;-475;-927,0.01301618;0.2265782;1.269779,0.1647638;0.1978807;1.273587,0.2775169;0.02012176;1.314599,0.2188918;-0.1107208;1.112725,0.01832341;-0.1676755;1.426863,1
4077,6876;5988;13544,1071;-470;-938,0.01306201;0.226536;1.269643,0.1648364;0.1979171;1.273581,0.2775807;0.01941187;1.314614,0.2192488;-0.1114252;1.112648,0.01861643;-0.1676205;1.42668,1
4109,6832;6060;13556,1072;-475;-935,0.01306723;0.2265357;1.269644,0.164929;0.1979895;1.273679,0.277923;0.01858878;1.315037,0.2210883;-0.1095471;1.110903,0.01884665;-0.1676722;1.426685,1
4143,6832;6044;13472,1095;-462;-953,0.01307133;0.2265339;1.269645,0.1650136;0.1980195;1.273763,0.2780609;0.01743948;1.31561,0.2218015;-0.1088428;1.110154,0.01900419;-0.16763;1.426749,1
4180,6768;6004;13648,1053;-506;-949,0.01308274;0.2265329;1.269639,0.1650683;0.1980416;1.273806,0.2784366;0.01605198;1.315788,0.2219784;-0.1088103;1.109513,0.01920086;-0.1676392;1.426734,1
