Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
1467,-0.0184427;0.07168571;1.341124,0.1502418;0.03936934;1.31551,0.1453331;-0.1107809;1.182225,0.0205713;0.02839944;1.147918,-0.02058186;0.09126943;1.156568,-0.01663998;-0.3828118;1.458373,0
1498,-0.01810499;0.07079307;1.340542,0.14987;0.04048047;1.314386,0.1503346;-0.1059405;1.17935,0.02244329;0.03111735;1.149371,-0.02139656;0.09180348;1.157348,-0.01669917;-0.3827722;1.458432,0
1538,-0.01761667;0.07014499;1.339804,0.1496848;0.04162096;1.313412,0.1545784;-0.09693757;1.173086,0.02032007;0.03473166;1.14936,-0.02652936;0.09498789;1.154167,-0.01499505;-0.3837106;1.457352,0
1572,-0.01698318;0.06987609;1.339601,0.1494905;0.04368028;1.313255,0.1610678;-0.09184075;1.170255,0.002613165;0.0646108;1.15206,-0.03739682;0.1228549;1.165319,-0.01395858;-0.3842756;1.457772,0
1604,-0.01666587;0.06975168;1.339088,0.148912;0.04672978;1.312861,0.1840293;-0.07637941;1.162401,0.002119977;0.06381181;1.151106,-0.04018407;0.1159221;1.159683,-0.01260556;-0.3854938;1.456635,0
1636,-0.01648139;0.07055283;1.338935,0.1485896;0.05093812;1.315181,0.2026931;-0.06395922;1.163934,0.01130109;0.06667881;1.152805,-0.03577475;0.1116535;1.163781,-0.01142144;-0.3854034;1.457572,0
1667,-0.01704967;0.07198468;1.338549,0.1461734;0.05485198;1.318186,0.2459214;-0.05330487;1.188313,0.01552388;0.05162495;1.148585,-0.03704197;0.09283804;1.150943,-0.01075154;-0.385083;1.457854,0
1698,-0.02230942;0.07820923;1.33635,0.1448549;0.07375368;1.319826,0.2502411;-0.03737884;1.197688,0.01479869;0.05119218;1.147192,-0.0334992;0.08450425;1.144493,-0.01077444;-0.3808082;1.459031,0
1731,-0.02629442;0.08183482;1.335141,0.1417001;0.07806017;1.32147,0.2664474;-0.01713831;1.203242,0.04095031;0.05792385;1.137067,-0.01481395;0.07994716;1.138026,-0.01110533;-0.3775211;1.458896,0
1768,-0.03122446;0.08637462;1.335505,0.1389536;0.0811072;1.32514,0.2836526;0.01343984;1.198637,0.04228279;0.0599588;1.136263,-0.01057194;0.07278728;1.137114,-0.0077849;-0.374157;1.456974,0
1796,-0.03337307;0.08711585;1.335593,0.1385733;0.08353088;1.327611,0.2925564;0.0307293;1.206118,0.04849263;0.06562951;1.133891,0.0001109247;0.06836352;1.135884,-0.008292856;-0.3713558;1.457154,0
1829,-0.03298758;0.08654101;1.336564,0.1392158;0.0790602;1.330141,0.2985967;0.06249534;1.214228,0.05398926;0.06657014;1.133815,0.01182683;0.0617448;1.133193,-0.008823457;-0.3707792;1.457677,0
1878,-0.03256354;0.08599398;1.338216,0.139664;0.08117618;1.333219,0.2996601;0.09102093;1.216369,0.05657729;0.06763564;1.134479,0.02407599;0.05491131;1.134661,-0.009671143;-0.3693655;1.459011,0
1897,-0.03506602;0.08665588;1.340409,0.1401061;0.08253886;1.334663,0.3057642;0.1203208;1.226075,0.07370485;0.08831412;1.144421,0.04439154;0.06466968;1.134062,-0.01015118;-0.3681463;1.459522,0
1929,-0.03664494;0.08708893;1.340732,0.1407993;0.08440866;1.335775,0.3194;0.1449968;1.242176,0.08170702;0.1010844;1.152738,0.04516381;0.08450191;1.145883,-0.01006977;-0.3661396;1.459671,0
1967,-0.03607862;0.08683369;1.341148,0.1402876;0.08840452;1.337884,0.3252102;0.1615831;1.262101,0.1298443;0.0734301;1.11741,0.1031918;0.06782902;1.122522,-0.009998684;-0.3631731;1.461167,0
2000,-0.03872497;0.08802851;1.341672,0.1269348;0.1286724;1.346414,0.3244178;0.1684655;1.268234,0.1354342;0.075184;1.118299,0.1192658;0.06955817;1.121234,-0.01002523;-0.3587201;1.461645,0
2033,-0.03987493;0.08855276;1.341363,0.1273876;0.1291773;1.346886,0.3282898;0.1907059;1.287125,0.1938061;0.1202592;1.139978,0.1574397;0.09556495;1.12987,-0.009614846;-0.3559157;1.461505,0
2067,-0.0409819;0.08903304;1.340789,0.1277175;0.1303963;1.347592,0.3545335;0.2036886;1.281053,0.1930865;0.1159955;1.137879,0.173062;0.1007055;1.134212,-0.009540117;-0.3539856;1.461074,0
2098,-0.04269237;0.08942459;1.339715,0.1289276;0.1329756;1.349213,0.3411792;0.259998;1.315546,0.2022529;0.1225594;1.145932,0.188816;0.1055947;1.138825,-0.009234338;-0.3513871;1.461017,0
2129,-0.04368645;0.08974101;1.339062,0.1316805;0.1375146;1.352202,0.3408622;0.2630509;1.319871,0.2095138;0.1200185;1.14885,0.2036888;0.1099287;1.146866,-0.009362704;-0.3497233;1.461096,0
2168,-0.04433584;0.08979769;1.337634,0.133663;0.1398089;1.35338,0.3168256;0.2288386;1.315871,0.211187;0.1139805;1.144687,0.2157497;0.1135902;1.149451,-0.009190613;-0.347898;1.460802,0
2203,-0.04445528;0.08973027;1.337421,0.1363874;0.1337674;1.354049,0.3162832;0.2284508;1.317395,0.2203589;0.1156691;1.149632,0.2257946;0.1148887;1.159016,-0.008865318;-0.3479033;1.460835,0
