Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
7698,314,-700;15840;-4368,2392;4970;-2460,0.03026485;0.07607516;1.25185,0.207967;0.02627983;1.270199,0.2614936;-0.164134;1.288484,0.2921105;-0.1456781;1.084395,0.2887097;-0.1412296;1.052211,0.0201778;-0.4362549;1.396128,1
7730,319,-1212;16344;-4556,2136;1082;-1489,0.03028221;0.07608728;1.251866,0.2079079;0.02633899;1.270177,0.2520445;-0.2190165;1.325827,0.2907393;-0.1458935;1.086892,0.2864846;-0.1392982;1.059751,0.02023193;-0.4362686;1.396145,1
7763,322,-556;16104;-5044,1380;903;-1590,0.03028615;0.07609299;1.251874,0.2078526;0.02635648;1.270139,0.2540029;-0.2081854;1.301919,0.289499;-0.1458525;1.088179,0.2847772;-0.1382353;1.061513,0.0203787;-0.4362991;1.396117,1
7795,322,-664;16312;-4216,823;-82;-943,0.03028307;0.07607549;1.251668,0.2077645;0.02643053;1.26999,0.2687638;-0.1617022;1.287749,0.2892329;-0.1450886;1.082192,0.2823122;-0.1383285;1.052084,0.02025982;-0.4362724;1.395871,1
7830,323,-544;15064;-4428,317;1239;-1181,0.03024275;0.07610278;1.251756,0.2077459;0.02643947;1.269993,0.2657061;-0.1624416;1.289077,0.2880841;-0.1448494;1.083807,0.281799;-0.1367022;1.057374,0.02017602;-0.4362538;1.396018,1
7862,323,-968;15332;-4192,1188;2231;-1379,0.03022705;0.07615952;1.251897,0.2076654;0.02654811;1.26995,0.2640572;-0.1625937;1.290218,0.2871864;-0.1439391;1.085127,0.2791157;-0.1319009;1.057182,0.0201722;-0.4362491;1.396038,1
7898,323,-1188;15276;-4444,435;1146;-1753,0.03021825;0.07616544;1.251903,0.2075848;0.02660361;1.26986,0.2625141;-0.1628572;1.290784,0.285977;-0.1426216;1.085881,0.2761648;-0.1299711;1.055732,0.02001959;-0.4363732;1.395913,1
7930,323,-928;15228;-4064,435;-336;-1775,0.03022414;0.07617224;1.251786,0.2074122;0.0266957;1.269612,0.2621868;-0.162812;1.290552,0.2848138;-0.1417572;1.085633,0.2731557;-0.1255987;1.051589,0.02003885;-0.4363856;1.395681,1
7963,323,-1004;15076;-4120,1191;567;-2259,0.03022128;0.07619244;1.251696,0.207305;0.02677546;1.26946,0.2614965;-0.1629223;1.290351,0.2829092;-0.1392229;1.085583,0.2723411;-0.1222179;1.051258,0.02000558;-0.4363557;1.395626,1
7997,323,-1248;15696;-3916,1297;698;-2009,0.03029364;0.07627593;1.252169,0.207268;0.02683483;1.269507,0.2604593;-0.1626061;1.292961,0.2813061;-0.1375667;1.088292,0.2727669;-0.1203898;1.052763,0.02023347;-0.4363835;1.396193,1
