Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
1077,-10208;-4904;8624,1289;100;-2238,-0.2329012;-0.3824234;1.400642,-0.2897751;-0.3796825;1.592152,-0.2190427;-0.172297;1.689149,-0.03977555;-0.1146789;1.67569,-0.06138794;-0.5133732;1.6043,0
1112,-10356;-4836;10080,1995;348;-1407,-0.245197;-0.4076463;1.371064,-0.2807634;-0.3953462;1.567237,-0.2183553;-0.1719669;1.689381,-0.03962877;-0.1148051;1.675706,-0.06136462;-0.5133896;1.604327,0
1143,-11148;-5360;10596,1658;-631;-506,-0.2680474;-0.3610232;1.356063,-0.279449;-0.3994591;1.569042,-0.2184328;-0.1719595;1.689519,-0.03961926;-0.1150784;1.676127,-0.0614252;-0.513407;1.604932,0
1178,-11776;-5836;9444,-220;-1116;-1016,-0.2680653;-0.3610773;1.356098,-0.2794484;-0.3996271;1.569688,-0.2184557;-0.1719781;1.689528,-0.03951375;-0.1151658;1.676166,-0.06140896;-0.5134374;1.604957,0
1211,-11792;-5376;7428,-756;-1211;-1598,-0.2681826;-0.362029;1.359434,-0.2794782;-0.3997573;1.569479,-0.2184231;-0.1719509;1.689273,-0.03945952;-0.1151859;1.676081,-0.06140856;-0.5134385;1.604966,0
1247,-11708;-5728;6752,-148;265;-1605,-0.2709343;-0.3617296;1.359784,-0.2794368;-0.3999062;1.571283,-0.2178047;-0.171644;1.68954,-0.03939033;-0.1152378;1.676116,-0.06119444;-0.5134732;1.60504,0
1277,-12372;-7268;8064,1207;987;-1872,-0.2721978;-0.3615381;1.36622,-0.2790356;-0.3996439;1.572094,-0.2179195;-0.1716726;1.689376,-0.03937972;-0.1152953;1.676073,-0.06111874;-0.5135477;1.60501,0
1311,-12508;-7668;9180,1276;573;-3395,-0.2729754;-0.361128;1.3659,-0.279193;-0.4012994;1.571365,-0.2174749;-0.1714811;1.689648,-0.03936385;-0.1153642;1.676159,-0.06101924;-0.5136119;1.605149,0
1344,-12108;-7448;8968,999;-511;-4823,-0.2773277;-0.3601708;1.362232,-0.2790661;-0.4013336;1.571301,-0.2169729;-0.1711934;1.689909,-0.03931383;-0.1153881;1.676189,-0.06090387;-0.5134724;1.605275,0
1378,-11348;-6568;8244,1006;-855;-5656,-0.2796126;-0.3597702;1.360219,-0.27912;-0.401395;1.57267,-0.2170045;-0.1711889;1.689989,-0.03928426;-0.1155716;1.676312,-0.06093737;-0.5134266;1.605486,0
1411,-10520;-5664;7760,1523;-742;-5658,-0.2793984;-0.359775;1.358563,-0.2792714;-0.4017025;1.572428,-0.2172763;-0.171363;1.689901,-0.03921463;-0.1156662;1.676295,-0.06088399;-0.5134315;1.605481,0
1445,-10108;-4872;7296,1518;-368;-4786,-0.2794316;-0.3604688;1.35914,-0.2806654;-0.3999337;1.573478,-0.2170665;-0.1712824;1.690013,-0.03924492;-0.1157583;1.676288,-0.06091127;-0.5134684;1.605534,0
1478,-10652;-5012;7876,2398;592;-2962,-0.2781804;-0.3609959;1.358431,-0.2807941;-0.4004407;1.573646,-0.2173002;-0.1714569;1.690158,-0.03918677;-0.1158679;1.676243,-0.06112321;-0.5136046;1.605698,0
1513,-10636;-5720;8812,5709;695;-952,-0.2734264;-0.3642663;1.352237,-0.2805834;-0.4003547;1.574341,-0.2177456;-0.1715988;1.689306,-0.03903976;-0.1162354;1.675598,-0.06113058;-0.514095;1.604871,0
1544,-10564;-6504;9392,5982;478;460,-0.2722113;-0.3661134;1.350881,-0.2801532;-0.4018456;1.573874,-0.217806;-0.1716541;1.689289,-0.03910179;-0.1163329;1.675622,-0.06113416;-0.5141027;1.604927,0
1579,-11160;-6916;9220,6246;-267;617,-0.2696937;-0.3694769;1.34981,-0.2813862;-0.4005341;1.57496,-0.2174298;-0.1715366;1.689399,-0.03914263;-0.1164748;1.675695,-0.06115678;-0.5141372;1.604975,0
1611,-11240;-5100;7636,4607;-265;355,-0.2352518;-0.40255;1.381315,-0.2822739;-0.3997566;1.57548,-0.2175518;-0.1715955;1.689317,-0.03911942;-0.1165383;1.675674,-0.06114243;-0.5141358;1.604983,0
1645,-11504;-4424;7028,3352;1051;1273,-0.235061;-0.4023088;1.382993,-0.2831384;-0.3992693;1.576894,-0.2180203;-0.1718685;1.68972,-0.03934142;-0.1166249;1.676078,-0.06128134;-0.5140851;1.605383,0
1680,-12476;-5672;8000,5016;1982;2585,-0.2603643;-0.3828279;1.401571,-0.2906656;-0.3483188;1.655916,-0.2182384;-0.1718532;1.690101,-0.03931926;-0.116757;1.676371,-0.06130581;-0.5140491;1.605556,0
1713,-13032;-6128;9392,7026;1778;1643,-0.2599218;-0.3827947;1.399762,-0.2907244;-0.348425;1.655857,-0.2184639;-0.1719151;1.690226,-0.03929435;-0.116859;1.67644,-0.06123935;-0.5142792;1.605589,0
1745,-13424;-5588;10060,6310;848;-1188,-0.2588582;-0.3811046;1.398796,-0.2908515;-0.3486421;1.655147,-0.2186852;-0.17211;1.689621,-0.03933938;-0.1169984;1.67619,-0.06116331;-0.5144184;1.605446,0
1779,-12976;-4688;9500,4252;-280;-3874,-0.2580753;-0.3798252;1.398504,-0.2908961;-0.348719;1.655129,-0.2187484;-0.1721865;1.689632,-0.03926572;-0.1170592;1.676282,-0.06111484;-0.5144019;1.605581,0
1812,-12396;-3764;8824,3489;-504;-5781,-0.2556101;-0.3795705;1.397747,-0.2912957;-0.3486975;1.655071,-0.2189263;-0.1722775;1.689711,-0.03922861;-0.1171026;1.676416,-0.06107043;-0.5143372;1.605669,0
1845,-11720;-3328;8392,3552;-49;-6016,-0.2484754;-0.3774653;1.385882,-0.2929642;-0.3741598;1.580641,-0.2190981;-0.1725305;1.689197,-0.03909681;-0.1171893;1.676001,-0.0607441;-0.5142627;1.605168,0
1879,-11292;-3300;8472,4912;532;-5209,-0.2464085;-0.3774719;1.393284,-0.2925128;-0.3487221;1.654276,-0.2192018;-0.1727086;1.688935,-0.03898398;-0.117245;1.675887,-0.06068155;-0.5142534;1.605101,0
1912,-10868;-3968;9128,6254;967;-4044,-0.2444302;-0.3776895;1.393523,-0.2921756;-0.3480425;1.654659,-0.2184463;-0.1722375;1.689602,-0.0389532;-0.1172955;1.676079,-0.0608727;-0.5141385;1.605401,0
1944,-10908;-3720;9260,6154;1068;-3311,-0.2672614;-0.3720459;1.389939,-0.2919757;-0.3846847;1.546005,-0.2185618;-0.1724174;1.689486,-0.03889999;-0.1173402;1.676076,-0.06086078;-0.5141329;1.605409,0
1979,-11156;-4120;8928,6035;998;-2965,-0.2237118;-0.3670504;1.358009,-0.2918057;-0.3846194;1.545053,-0.2188632;-0.1725633;1.688601,-0.0386821;-0.1172979;1.675317,-0.06070086;-0.5139507;1.604557,0
2012,-11320;-3988;8580,6025;1307;-2643,-0.2229857;-0.3667284;1.358187,-0.2917428;-0.3845992;1.544958,-0.2189769;-0.172614;1.688431,-0.03852347;-0.1173466;1.67523,-0.06067858;-0.5138461;1.604443,0
2045,-11772;-3800;8548,6632;1588;-2626,-0.2279075;-0.3668566;1.376716,-0.2975633;-0.3476948;1.618109,-0.2190021;-0.1726049;1.688479,-0.03838344;-0.1173882;1.675674,-0.06082147;-0.5136722;1.604906,0
2078,-12256;-4312;8876,7488;1803;-2424,-0.2566971;-0.3571748;1.384102,-0.2936657;-0.3472952;1.648511,-0.2190914;-0.1725582;1.688722,-0.03824356;-0.1174309;1.676373,-0.06095444;-0.5136142;1.605258,0
2113,-13456;-4976;9292,9568;909;-3028,-0.2527262;-0.358134;1.411956,-0.2935966;-0.3473473;1.648633,-0.2191285;-0.1725552;1.688759,-0.03813048;-0.1174786;1.676519,-0.0608858;-0.513625;1.605353,0
2145,-14528;-4920;9404,15271;-1970;-4472,-0.2792331;-0.3786589;1.324688,-0.2942995;-0.374537;1.531763,-0.2193398;-0.1726921;1.688258,-0.03813449;-0.117507;1.676385,-0.06068532;-0.5136592;1.605196,0
2178,-9948;1228;6468,7995;-126;-9093,-0.2265434;-0.3484133;1.384307,-0.293074;-0.3462786;1.643048,-0.2186042;-0.1723229;1.688297,-0.03791647;-0.1175324;1.676071,-0.06040515;-0.5132414;1.604619,0
2211,-9000;2872;5688,286;3717;-8215,-0.2226304;-0.3486784;1.369648,-0.3010292;-0.3476497;1.553339,-0.2186775;-0.1722535;1.688061,-0.03788065;-0.117546;1.676023,-0.06029382;-0.5131225;1.604447,0
2245,-10012;1012;7532,1759;4885;-3876,-0.2651741;-0.3685721;1.313997,-0.300338;-0.348065;1.554775,-0.2187544;-0.1722416;1.688014,-0.03782355;-0.1175331;1.676012,-0.060287;-0.5130413;1.604406,0
