Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
1532,-112;-1640;-17928,2308;1793;634,-0.005028343;-0.1192999;1.710106,0.1712294;-0.1437867;1.672065,0.2665704;-0.3488585;1.603507,0.1948696;-0.3765455;1.392131,-0.04073831;-0.5545748;1.673556,0
1565,184;-504;-17020,-344;-625;-699,-0.005021351;-0.119318;1.710174,0.1712394;-0.1437884;1.672317,0.2665945;-0.3488728;1.603501,0.1949483;-0.3766138;1.392091,-0.0406802;-0.5545899;1.673708,0
1599,604;-1400;-17248,-800;-1153;-1586,-0.005022557;-0.119319;1.710173,0.1712504;-0.1438079;1.672325,0.2666651;-0.3487411;1.603394,0.1950156;-0.3766708;1.392002,-0.04065056;-0.5546415;1.673753,0
1633,-92;784;-17856,-4106;-1708;-1498,-0.005034086;-0.1193154;1.710187,0.1712869;-0.1437959;1.672438,0.2666848;-0.3487148;1.603393,0.1949306;-0.3767576;1.391829,-0.04057542;-0.5545844;1.67381,0
1667,716;-2296;-17808,-5019;-806;-1541,-0.004966109;-0.1192877;1.709845,0.1713921;-0.1437989;1.671996,0.2664157;-0.348507;1.602832,0.1949135;-0.3765971;1.390423,-0.04044792;-0.5544881;1.673573,0
1700,-1164;4916;-17856,-7807;-2147;-1151,-0.004874023;-0.1193378;1.710328,0.1715901;-0.1438668;1.672876,0.2664609;-0.3486181;1.603281,0.1948165;-0.3769374;1.391658,-0.04035403;-0.5545534;1.67398,0
1734,1884;-1820;-17264,-9890;-764;-850,-0.004849191;-0.1193309;1.710119,0.1716505;-0.1438968;1.67267,0.2662986;-0.3485243;1.603136,0.1942576;-0.3772733;1.392257,-0.04030073;-0.5545679;1.673881,0
1766,-1756;7452;-17480,-13021;-1986;-2341,-0.004843057;-0.1193357;1.710157,0.1716645;-0.1439007;1.672693,0.2663896;-0.3481014;1.604417,0.1939843;-0.3772535;1.392331,-0.04026606;-0.5545215;1.673842,0
1799,528;4976;-17228,-20602;-1458;470,-0.004668175;-0.1194513;1.710964,0.1719352;-0.1439444;1.673939,0.2666566;-0.348245;1.605152,0.1938223;-0.3774238;1.393872,-0.04020059;-0.5544459;1.674199,0
1831,-1080;9068;-16480,-24285;-1478;-1976,-0.004644629;-0.1194789;1.710927,0.172007;-0.1439919;1.673817,0.2666847;-0.3481108;1.605045,0.1936124;-0.3772895;1.393829,-0.04016936;-0.5544406;1.67416,0
