Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
1799,-5136;21736;-6744,414;4657;2320,-0.097726;0.1283036;1.424996,-0.1080174;-0.0867868;1.446189,0.05370315;-0.1194051;1.417569,0.1350176;-0.01962777;1.202957,0.09207059;0.2102502;1.056034,0.08590487;0.2432949;1.021415,-0.08947458;-0.5208369;1.39566,0
1834,-6296;11108;-2468,513;3722;-2798,-0.09759998;0.1284058;1.425138,-0.10764;-0.08701619;1.446113,0.0537947;-0.1193814;1.417586,0.1349094;-0.02319775;1.201398,0.09270979;0.2015724;1.052767,0.08612291;0.2354552;1.015456,-0.08953537;-0.5208212;1.395624,0
1867,-6352;8820;-3328,193;-1464;-1938,-0.0975138;0.1283942;1.425213,-0.1075221;-0.08625334;1.446362,0.0538436;-0.1193964;1.417548,0.1349715;-0.02769482;1.199257,0.09308006;0.1900279;1.047681,0.08571789;0.2272065;1.005468,-0.08952885;-0.5208168;1.395628,0
1898,-5896;15028;-6744,-2053;-1441;-985,-0.09741113;0.1284267;1.425288,-0.1070446;-0.08659229;1.446062,0.05391198;-0.1193826;1.417449,0.1351858;-0.03366159;1.19692,0.09386697;0.1753862;1.040351,0.08506069;0.2149074;0.9953125,-0.08951405;-0.5208327;1.395614,0
1932,-6236;16672;-5076,-4214;749;-1099,-0.09735969;0.1284123;1.425287,-0.1069021;-0.08553622;1.445644,0.05395514;-0.1194672;1.41731,0.1311459;-0.03475152;1.201002,0.09464081;0.1603855;1.030682,0.0846256;0.202406;0.983214,-0.0895855;-0.5209179;1.395223,0
1964,-6984;13388;-2248,-620;500;-1369,-0.09726969;0.1284802;1.425392,-0.1068814;-0.08498806;1.445793,0.05392392;-0.1195058;1.417198,0.1287782;-0.04911604;1.213739,0.09541862;0.1468205;1.025678,0.08499247;0.1881739;0.9737741,-0.08959698;-0.5209539;1.395199,0
1997,-6528;13264;-2992,3161;-1286;-530,-0.0971022;0.1284682;1.425385,-0.107022;-0.08477113;1.445825,0.053849;-0.1195407;1.417041,0.1287481;-0.05676522;1.214897,0.09623325;0.1265279;1.01743,0.08528328;0.1688692;0.9658941,-0.09016684;-0.5212269;1.39404,0
2032,-5876;14328;-4308,1668;-1078;-479,-0.09692018;0.1285337;1.425505,-0.107251;-0.08476672;1.445904,0.05371471;-0.1197353;1.416797,0.1288871;-0.06562123;1.214429,0.09685564;0.1095292;1.010325,0.08463304;0.1544897;0.9568533,-0.09098866;-0.5215577;1.392833,0
2066,-6176;14136;-3796,1973;-675;-792,-0.0967318;0.1284644;1.425659,-0.1075317;-0.0848387;1.446141,0.05355266;-0.1199226;1.416625,0.1250031;-0.09637979;1.16904,0.09757063;0.09798122;1.00945,0.08478533;0.1386906;0.950033,-0.09167757;-0.5220371;1.391901,0
2098,-6196;14164;-4116,2395;-607;-1222,-0.09656869;0.1284522;1.425336,-0.1078046;-0.08509791;1.445796,0.05329194;-0.1202313;1.415932,0.1239725;-0.09820801;1.187212,0.09670248;0.06372192;1.001713,0.08338135;0.1178112;0.9377305,-0.09238072;-0.5225396;1.38898,0
