Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
1836,-3520;-16176;-1464,977;-275;-1103,0.2313996;0.251236;1.596759,-0.02688037;0.5966027;1.520874,-0.003645864;0.5223168;1.550209,0.01731525;0.2754615;1.573655,0.06764547;0.06372187;1.607597,0.2252016;0.03045256;1.553616,0.1952551;-0.4118178;1.464963,0
1898,-3624;-16088;-1244,835;-267;-1146,0.2314888;0.2512733;1.596776,-0.02695618;0.5900717;1.515331,-0.01824775;0.5121579;1.536556,-0.003755268;0.2646465;1.557186,0.06750222;0.06365484;1.607664,0.2248949;0.03034664;1.553139,0.195229;-0.4118181;1.464958,0
1912,-3744;-16280;-1380,1203;-545;-1092,0.2319241;0.2512259;1.597185,-0.02775298;0.6002408;1.508909,-0.02221054;0.5248073;1.525945,-0.008298206;0.2778801;1.555992,0.06686626;0.06719086;1.613564,0.2273793;0.03183637;1.555991,0.1951622;-0.4106596;1.465494,0
1933,-3476;-16076;-1508,810;-522;-1249,0.231921;0.2511474;1.596998,-0.02737856;0.6043094;1.499761,-0.0226687;0.5317427;1.523978,-0.009754452;0.2844656;1.548537,0.06694058;0.0660596;1.611616,0.2263157;0.03138974;1.554575,0.1958002;-0.4105824;1.464679,0
1967,-3612;-15968;-1572,1118;-467;-1003,0.2319002;0.2518287;1.598004,-0.03061895;0.6008124;1.482806,-0.02500139;0.5297029;1.510544,-0.01045747;0.2832849;1.545753,0.06716874;0.06484021;1.610222,0.2257036;0.03112986;1.553966,0.1956894;-0.4107802;1.464675,0
2002,-3440;-15852;-1432,1125;-470;-1067,0.231858;0.2521173;1.598271,-0.0328216;0.5902076;1.465892,-0.02878885;0.5230421;1.480077,-0.01206753;0.2797768;1.536935,0.06752484;0.06303873;1.608328,0.2252076;0.03074087;1.553552,0.1956283;-0.4108777;1.464524,0
2035,-3588;-15948;-1536,1089;-527;-995,0.2316946;0.2538708;1.602504,-0.03275036;0.5873336;1.448447,-0.02931575;0.5219052;1.469842,-0.0135525;0.2799751;1.533633,0.06741483;0.06261136;1.607419,0.2249346;0.03061341;1.553262,0.1959686;-0.410854;1.464131,0
2071,-3544;-16092;-1920,602;-530;-1147,0.2317597;0.2539501;1.602698,-0.02938821;0.6028298;1.414823,-0.03191428;0.5171056;1.442034,-0.01666167;0.2784019;1.519133,0.06771073;0.05710851;1.603668,0.2247015;0.03031491;1.553497,0.1988364;-0.4229116;1.488441,0
2101,-3520;-16172;-1664,685;-289;-1096,0.2318644;0.2540858;1.603365,-0.0298189;0.5835811;1.386395,-0.03345988;0.5050279;1.418816,-0.01986911;0.2708881;1.511062,0.06771792;0.05605976;1.603104,0.224519;0.03019867;1.553375,0.1966142;-0.4195849;1.476624,0
2133,-3360;-16072;-1540,887;-520;-978,0.2314156;0.2547726;1.605111,-0.02707392;0.5666262;1.357203,-0.03148574;0.4969931;1.397099,-0.02426188;0.2639326;1.493353,0.06740286;0.05512091;1.602198,0.2242145;0.0300166;1.553295,0.1955152;-0.4186079;1.474362,0
