Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,KneeLeft,SpineBase,HipRight,TrimmingId
1001,-0.09589276;-0.0997187;1.264388,0.05699102;-0.1075213;1.268306,0.1191615;-0.2943762;1.204667,0.09453258;-0.06423794;1.160307,0.09239832;-0.04024849;1.15389,-0.1783561;-0.5115189;1.034322,-0.05657233;-0.5630096;1.336363,0.01128098;-0.5416523;1.321666,0
1034,-0.09608837;-0.09968007;1.264307,0.05675178;-0.1076893;1.268385,0.1189237;-0.2947641;1.205024,0.09354481;-0.06317174;1.155596,0.09083841;-0.04103719;1.146662,-0.1782441;-0.5114276;1.034186,-0.05680305;-0.562896;1.335946,0.01111693;-0.5415849;1.321187,0
1066,-0.09619496;-0.09963477;1.264401,0.05643446;-0.1076099;1.268773,0.1182708;-0.2960055;1.206949,0.09351094;-0.06302696;1.155323,0.0898284;-0.04162776;1.15126,-0.1782651;-0.5114191;1.034195,-0.05685524;-0.5628763;1.335912,0.01101303;-0.5415264;1.321126,0
1101,-0.0964469;-0.09952607;1.264737,0.05614245;-0.1074221;1.269055,0.1218252;-0.3190458;1.193179,0.1255293;-0.09923485;1.157208,0.08676694;-0.04387183;1.155574,-0.1783124;-0.5114244;1.03457,-0.05690393;-0.5628186;1.335969,0.01096175;-0.5414667;1.321183,0
1131,-0.09658392;-0.09935527;1.264899,0.05606664;-0.10739;1.269047,0.1195244;-0.3044303;1.20602,0.0880245;-0.0545194;1.15295,0.0856488;-0.04722515;1.155064,-0.1783127;-0.5114509;1.034558,-0.05716348;-0.5625636;1.335928,0.01069595;-0.5411612;1.321081,0
1164,-0.09684692;-0.09925775;1.265066,0.05622982;-0.1071509;1.268473,0.1195344;-0.301497;1.206506,0.121038;-0.09971322;1.1568,0.0880762;-0.04810558;1.153447,-0.178299;-0.5114617;1.034559,-0.0571956;-0.5625159;1.335923,0.01063857;-0.5410702;1.321088,0
1200,-0.09705696;-0.09921066;1.265198,0.05625536;-0.1070779;1.268275,0.12533;-0.3200627;1.196298,0.1209835;-0.09983016;1.156723,0.09040382;-0.04774684;1.155048,-0.1781906;-0.5114707;1.034308,-0.05736746;-0.5624366;1.335896,0.01044619;-0.5409613;1.321069,0
1231,-0.09717946;-0.09920937;1.265142,0.05628895;-0.1072108;1.268023,0.1232773;-0.3013155;1.203686,0.09958343;-0.06572745;1.154371,0.09383324;-0.04741152;1.15564,-0.1781415;-0.5114307;1.034234,-0.05741937;-0.5624074;1.335718,0.01042324;-0.5409578;1.320928,0
1267,-0.09727214;-0.09920841;1.265184,0.05638718;-0.1074063;1.267911,0.1231052;-0.2999842;1.205701,0.1236057;-0.09753339;1.157259,0.09709722;-0.04607257;1.159366,-0.1780757;-0.5114353;1.03446,-0.05741369;-0.562425;1.335712,0.01042981;-0.5409872;1.320923,0
1300,-0.0973065;-0.0992234;1.265082,0.05637336;-0.1076188;1.267844,0.1226389;-0.28945;1.205908,0.1241463;-0.09816449;1.158471,0.09641156;-0.04614771;1.157143,-0.1778748;-0.5112078;1.033745,-0.05740234;-0.5624114;1.33526,0.01047722;-0.5410094;1.320626,0
