Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
1333,-1740;-14356;8208,10493;1667;-1171,-0.1478636;0.04807495;1.122656,-0.1241286;0.1194757;1.301331,-0.01776548;0.3065576;1.370793,0.1217062;0.3096357;1.331173,0.09624968;-0.07178032;1.514105,0
1370,-1580;-12820;8664,12521;-180;114,-0.145911;0.04518045;1.126473,-0.1220524;0.1184656;1.304355,-0.01751754;0.3067343;1.370186,0.1216828;0.3096674;1.331245,0.09624873;-0.07179356;1.514114,0
1400,-2096;-12512;9708,10770;-221;641,-0.153111;0.03920402;1.134682,-0.1204547;0.1190016;1.308224,-0.01731466;0.3068731;1.369708,0.1216628;0.3096704;1.331308,0.09625719;-0.07180969;1.514126,0
1433,-2260;-12308;10184,9275;-292;1179,-0.156926;0.03716061;1.139294,-0.1194456;0.1190827;1.310813,-0.01731414;0.3069744;1.370586,0.1216779;0.3096984;1.331459,0.0962659;-0.07184739;1.51422,0
1468,-2120;-11820;10488,9057;41;2277,-0.1598856;0.03901776;1.142518,-0.1178731;0.1199835;1.313415,-0.01732942;0.3069493;1.370873,0.1216348;0.3097074;1.331507,0.09627881;-0.07187296;1.514195,0
1498,-2220;-11304;10648,8098;1108;3554,-0.1628888;0.04495069;1.141993,-0.1172794;0.1207169;1.314359,-0.01714423;0.3070479;1.370277,0.1216359;0.3097476;1.331554,0.09629381;-0.07188863;1.514184,0
1533,-2580;-11424;11100,6979;2170;4632,-0.1630253;0.04679912;1.141596,-0.1171103;0.1212145;1.314475,-0.01689854;0.3070355;1.369085,0.1215965;0.3096498;1.331376,0.09627389;-0.07221557;1.513462,0
1568,-3328;-11184;11364,4977;1512;3018,-0.1636938;0.0473317;1.143524,-0.1170105;0.1214576;1.316315,-0.0169353;0.3071332;1.370436,0.1219193;0.3099174;1.331399,0.09630506;-0.07226072;1.513859,0
1601,-3568;-11040;11588,1442;-572;-168,-0.1645636;0.04749187;1.144107,-0.1170319;0.1213696;1.316767,-0.01680658;0.3071908;1.369943,0.1219209;0.3099272;1.33151,0.09627719;-0.07228269;1.513864,0
1633,-3356;-11552;11708,-71;-679;-753,-0.1652292;0.04719651;1.144505,-0.1170449;0.1213404;1.316859,-0.01662123;0.3071449;1.369121,0.1219074;0.3099068;1.331496,0.09622666;-0.07231455;1.513764,0
1666,-3076;-11660;11220,876;-719;-855,-0.1660989;0.04743289;1.145492,-0.1172069;0.1213329;1.317745,-0.01657178;0.3071839;1.369019,0.1219476;0.3099653;1.331875,0.09623699;-0.07235084;1.513961,0
1699,-3280;-11032;11684,1138;-522;-1188,-0.1666412;0.04755179;1.145538,-0.1172812;0.1213002;1.317719,-0.01664201;0.3071254;1.369158,0.1219548;0.3099183;1.33183,0.09647204;-0.07237627;1.513509,0
1733,-3604;-10996;11268,1100;-980;-1656,-0.1667227;0.0477819;1.146297,-0.1173323;0.1212762;1.318577,-0.01657363;0.3071807;1.36895,0.1220047;0.3099166;1.331995,0.09645742;-0.07239506;1.51353,0
1767,-3360;-10668;11460,728;-577;-1689,-0.1669487;0.04793515;1.147121,-0.1172531;0.1214731;1.319289,-0.01652459;0.3072078;1.368824,0.122036;0.3099291;1.332154,0.09642377;-0.07241672;1.513609,0
1802,-3256;-10852;11168,302;-766;-2035,-0.1694919;0.04766376;1.148231,-0.1172694;0.1214477;1.319518,-0.01647869;0.3072291;1.368663,0.1220309;0.3099201;1.332166,0.09641995;-0.07244012;1.513608,0
1833,-3388;-10820;11376,187;-846;-2041,-0.1695662;0.0482205;1.14793,-0.117294;0.1213942;1.319465,-0.01663339;0.3071605;1.369332,0.1220271;0.3098812;1.332163,0.09642193;-0.0724767;1.513624,0
1867,-3124;-10940;11080,-802;-1176;-2485,-0.1611952;0.04730458;1.135806,-0.1171233;0.1214283;1.320549,-0.01688329;0.3075244;1.370983,0.1221684;0.309843;1.332618,0.09646226;-0.07248747;1.514021,0
1899,-3172;-11572;11120,-1381;-1242;-2423,-0.1645283;0.05070535;1.146407,-0.1170711;0.1211883;1.320505,-0.01712406;0.3075084;1.371592,0.1221354;0.3098422;1.332655,0.0964499;-0.07252378;1.514029,0
1933,-2792;-11180;10520,-4111;-1370;-3297,-0.1699358;0.04693566;1.148858,-0.1169233;0.1208579;1.319827,-0.01702081;0.3074257;1.370462,0.1219775;0.309685;1.33234,0.09629424;-0.0726565;1.513743,0
1967,-2208;-10260;9164,-19259;516;-5757,-0.1565716;0.05233007;1.142604,-0.1168652;0.1205198;1.319596,-0.01707752;0.3074016;1.370553,0.1219481;0.3096709;1.332355,0.09632988;-0.07264074;1.513749,0
2001,-1780;-14792;8136,-19916;737;-6223,-0.1600918;0.04787893;1.144034,-0.1170694;0.1200144;1.318622,-0.01704005;0.3074605;1.370358,0.1219306;0.3096625;1.332507,0.09636307;-0.07262976;1.514106,0
2034,-1316;-12884;4636,-27055;1831;-5966,-0.1423987;0.05302738;1.112397,-0.1201799;0.1179699;1.310033,-0.01732744;0.3075658;1.37092,0.1218869;0.3095882;1.332484,0.09635218;-0.07265149;1.514081,0
2068,-1168;-17900;3168,-24409;1391;-5233,-0.150311;0.05948334;1.122584,-0.1213432;0.1175015;1.3053,-0.01743562;0.3075094;1.370897,0.1217396;0.3094687;1.332305,0.09635804;-0.0726874;1.5139,0
2098,-1052;-17100;-480,-25569;2033;-5002,-0.1514378;0.05638397;1.123733,-0.1212826;0.1176636;1.305168,-0.01757187;0.3073522;1.37119,0.12167;0.3094481;1.332331,0.09634715;-0.07271814;1.513916,0
2133,-560;-17272;-2716,-22227;2120;-4519,-0.1547947;0.05816907;1.123142,-0.1212491;0.1172817;1.304695,-0.01767912;0.3072194;1.371567,0.1216442;0.3094349;1.332464,0.09631625;-0.07274982;1.514024,0
2167,-380;-16116;-5296,-21626;1898;-3851,-0.1549435;0.05813609;1.122768,-0.1211793;0.1172881;1.304267,-0.01787856;0.3070504;1.372073,0.121623;0.3094153;1.332504,0.09639222;-0.07268178;1.514022,0
2199,12;-14916;-8020,-20193;1693;-3652,-0.1497509;0.0506932;1.123448,-0.1209038;0.1172414;1.303216,-0.01756294;0.3067845;1.370746,0.1215356;0.3093288;1.332411,0.09635453;-0.07275881;1.513811,0
2235,96;-14648;-8972,-16218;454;-3312,-0.1496376;0.04872003;1.122417,-0.1218457;0.1167629;1.301789,-0.01740939;0.3067485;1.370191,0.1215227;0.3093427;1.332424,0.09637497;-0.07266228;1.513861,0
2268,380;-13344;-10584,-14022;-27;-3029,-0.149317;0.04728471;1.121339,-0.1222398;0.1170412;1.300157,-0.01726626;0.3067835;1.369651,0.1215388;0.3092574;1.33241,0.09632967;-0.07267062;1.513867,0
2298,744;-12752;-11584,-7504;-1556;-2535,-0.1492339;0.04682634;1.121973,-0.1219172;0.117072;1.30056,-0.0174043;0.3068442;1.370117,0.1215322;0.3092668;1.332421,0.09635944;-0.07265843;1.513899,0
2333,752;-11636;-13044,-7212;-761;-1628,-0.1493046;0.04583493;1.121994,-0.1220924;0.1169849;1.300235,-0.01730266;0.3069003;1.369842,0.1215462;0.3092695;1.332654,0.09640911;-0.07264105;1.514087,0
