Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
3965,1932;12420;8716,4605;-1013;-1192,-0.1683407;-0.09553197;1.268821,-0.003316218;-0.09936323;1.337951,0.09624737;-0.2862585;1.369376,0.1494694;-0.3284918;1.118273,-0.1264761;-0.5520793;1.383701,1
3999,1552;14032;7728,9334;-203;-1303,-0.1683583;-0.09556312;1.268858,-0.00434507;-0.1000265;1.335714,0.09615026;-0.2862126;1.36938,0.1495271;-0.3285151;1.118319,-0.1265028;-0.5520861;1.383689,1
4032,1744;14632;7184,5993;-446;-846,-0.1683893;-0.09562033;1.268837,-0.004968568;-0.1006561;1.334024,0.09607904;-0.2861944;1.369343,0.1493837;-0.3286372;1.11829,-0.1265032;-0.5520952;1.383683,1
4066,1848;13736;6552,8502;356;-1519,-0.1683814;-0.09566774;1.268821,-0.005306185;-0.1009045;1.333214,0.0960739;-0.2862005;1.369325,0.1492216;-0.3286892;1.118246,-0.1265059;-0.5520963;1.38368,1
4099,1432;15308;6712,4676;-34;-1393,-0.1684533;-0.09567947;1.268893,-0.003605103;-0.09952969;1.337746,0.09611534;-0.2861547;1.369425,0.1489352;-0.3260282;1.117839,-0.1265039;-0.5520269;1.383874,1
4167,1684;14884;6168,2971;-841;-1213,-0.1685596;-0.09574193;1.268918,-0.004931094;-0.1010625;1.334446,0.09608025;-0.2861518;1.369377,0.1500049;-0.327925;1.118338,-0.1266048;-0.5521021;1.383862,1
4249,1508;15220;5828,1362;-741;-1019,-0.1685692;-0.09579101;1.268966,-0.005720566;-0.1014119;1.332898,0.09587301;-0.2861266;1.369179,0.1485111;-0.3245801;1.117324,-0.1266181;-0.5520877;1.38386,1
4266,1512;14796;5948,915;-249;-1204,-0.168532;-0.09585963;1.2689,-0.005978325;-0.1016132;1.332346,0.09589019;-0.2860931;1.369113,0.1491706;-0.3247477;1.117424,-0.1265854;-0.5520952;1.383857,1
4300,1508;14532;6264,581;-566;-1360,-0.1685589;-0.09584987;1.268853,-0.006146455;-0.1017418;1.331927,0.09588627;-0.2861292;1.368973,0.1493686;-0.3249592;1.117353,-0.1265655;-0.5520806;1.38385,2
4332,1612;14688;6284,782;-1023;-1007,-0.1685621;-0.09586821;1.268842,-0.00400169;-0.1001711;1.336777,0.09570227;-0.2862206;1.369069,0.1495656;-0.3255151;1.117604,-0.1265751;-0.5520583;1.383841,2
4366,1548;14912;6112,1477;-623;-1055,-0.1685731;-0.09587181;1.268833,-0.004936481;-0.1007772;1.334648,0.09551384;-0.2863029;1.36903,0.1496014;-0.3261659;1.117703,-0.1266387;-0.5520859;1.383822,2
4465,1492;14648;5732,724;-472;-1148,-0.1685947;-0.09597442;1.268609,-0.005824548;-0.1015297;1.332306,0.09534457;-0.2864256;1.368927,0.1500204;-0.3267305;1.117797,-0.126658;-0.5521122;1.383676,2
4549,1444;14492;6112,1383;-506;-1131,-0.1686737;-0.09601553;1.26864,-0.005619609;-0.1009482;1.333277,0.09509098;-0.2867865;1.369142,0.1489554;-0.327615;1.117919,-0.1267402;-0.5520673;1.383661,2
4653,1476;14968;5920,1692;-540;-1149,-0.1687261;-0.09606513;1.268625,-0.005477234;-0.1008002;1.333935,0.09527376;-0.2869581;1.369119,0.1526036;-0.3391985;1.129219,-0.1267184;-0.5520602;1.383724,2
4669,1296;14596;5852,1248;-489;-1135,-0.1687448;-0.0960561;1.268624,-0.005780225;-0.1011123;1.333497,0.09530932;-0.2869795;1.369055,0.1510724;-0.3450699;1.146844,-0.1267487;-0.5520778;1.383808,2
4698,1444;14936;6188,1560;-283;-1270,-0.1687412;-0.09607523;1.268768,-0.003826958;-0.09952357;1.338793,0.09524724;-0.2870512;1.369291,0.1509372;-0.3463202;1.150527,-0.1266961;-0.5520718;1.383994,2
4732,1300;15064;5976,786;-283;-1200,-0.1687332;-0.0960668;1.268737,-0.003044314;-0.09906229;1.340215,0.09525469;-0.2870863;1.369266,0.1509465;-0.3463209;1.150523,-0.1266575;-0.552028;1.384002,2
4766,1480;14620;6260,1571;-349;-1136,-0.1688834;-0.09617943;1.268766,-0.0045687;-0.1003242;1.3368,0.0952515;-0.2870891;1.369252,0.1554232;-0.3409497;1.132969,-0.1266546;-0.5520458;1.384004,2
4799,1356;15088;6328,1327;-290;-1122,-0.1689023;-0.09618962;1.268777,-0.005183349;-0.1006144;1.335443,0.09522029;-0.2871465;1.369359,0.1555132;-0.3424716;1.134829,-0.1266532;-0.552045;1.384005,2
4832,1336;14780;5896,1164;-474;-1067,-0.1689142;-0.09624531;1.268638,-0.005927845;-0.1013256;1.333107,0.09521484;-0.2872146;1.369184,0.1547389;-0.343502;1.141012,-0.1266464;-0.5520831;1.383756,2
4866,1352;14708;5864,1169;-487;-1002,-0.1689171;-0.09623645;1.268653,-0.006083762;-0.1014574;1.332953,0.09529623;-0.2872866;1.369408,0.160958;-0.3313212;1.121581,-0.1266674;-0.5521003;1.383827,2
4899,1352;14784;5508,1067;-336;-1146,-0.168928;-0.09624537;1.268622,-0.006384747;-0.1016435;1.332382,0.09530955;-0.2873178;1.369408,0.1615497;-0.3341794;1.122265,-0.126685;-0.5521174;1.38382,2
4932,1320;14864;5764,1635;-214;-1088,-0.1689234;-0.09626006;1.268612,-0.006502287;-0.1017291;1.33212,0.09533571;-0.2873147;1.369237,0.1612744;-0.3296391;1.121178,-0.1266421;-0.5521433;1.383703,2
4966,1168;14996;6036,1200;-466;-1018,-0.1689544;-0.09633828;1.268472,-0.006856351;-0.1019127;1.330781,0.09519304;-0.2872272;1.368926,0.1604819;-0.3286887;1.120543,-0.1266446;-0.5520964;1.383399,2
4999,1236;14808;5708,1402;-537;-941,-0.1689608;-0.09633702;1.268453,-0.006991401;-0.1019755;1.330588,0.0951971;-0.2872527;1.368878,0.158828;-0.3146435;1.118082,-0.1266346;-0.5520903;1.383409,2
5032,1288;14620;5724,1603;-457;-1110,-0.1688708;-0.09632872;1.268145,-0.007140286;-0.1020801;1.329957,0.0951088;-0.2872534;1.368744,0.1597116;-0.3209473;1.118982,-0.1265519;-0.5520895;1.383284,2
5067,1160;15048;5788,1561;-395;-1194,-0.1689052;-0.09633339;1.268146,-0.007222257;-0.102169;1.329758,0.09512172;-0.2872576;1.368739,0.1544354;-0.3473246;1.159072,-0.1265479;-0.5521049;1.383265,2
5102,1116;14948;5892,1265;-493;-1145,-0.1688682;-0.09633267;1.268077,-0.007346723;-0.1021963;1.32946,0.09514802;-0.2872579;1.368636,0.1618336;-0.3296614;1.120784,-0.1265703;-0.5520806;1.383213,2
5136,1256;14944;5872,1375;-449;-1106,-0.1688571;-0.09633816;1.267959,-0.007436299;-0.1022566;1.329209,0.09516938;-0.2872047;1.368664,0.1539466;-0.3478375;1.155158,-0.126579;-0.5520823;1.383205,2
5166,1032;14936;6336,1534;-944;-1032,-0.1690065;-0.09642103;1.268356,-0.007494219;-0.1024595;1.329681,0.09501833;-0.2871207;1.369324,0.1580266;-0.3287024;1.142611,-0.1266892;-0.5521855;1.383612,2
5199,1200;14968;5660,1148;-518;-1200,-0.1690102;-0.09645172;1.268383,-0.007509977;-0.1024806;1.329687,0.09497803;-0.2870663;1.369368,0.1561468;-0.3367292;1.152417,-0.1266922;-0.5521909;1.383633,2
5232,1164;14952;5768,1309;-535;-1030,-0.1690059;-0.09645024;1.268398,-0.007552327;-0.1025671;1.329602,0.09502028;-0.2870206;1.36937,0.1558486;-0.3380795;1.153975,-0.1266896;-0.5521986;1.383637,2
5266,1276;15408;5756,1532;-379;-889,-0.1690216;-0.09644334;1.268421,-0.007580757;-0.1025785;1.329586,0.09504151;-0.2870187;1.369551,0.1603901;-0.3277242;1.121042,-0.1266838;-0.552242;1.383694,2
5301,1124;15132;5848,1086;-510;-789,-0.1690353;-0.09641883;1.268396,-0.00758315;-0.1025891;1.329576,0.09504962;-0.2870053;1.369549,0.1602196;-0.3270888;1.120888,-0.1266801;-0.5522442;1.383694,2
5334,1220;15064;5588,1242;-604;-809,-0.1690428;-0.09641598;1.26841,-0.007633833;-0.1026009;1.329512,0.09504677;-0.2869856;1.36952,0.1599306;-0.3274254;1.120841,-0.1266801;-0.5522506;1.383691,2
5365,1180;14720;5588,1395;-606;-794,-0.169026;-0.09644475;1.268435,-0.007655984;-0.1025864;1.3295,0.09508303;-0.2869647;1.369518,0.159018;-0.324096;1.120064,-0.126681;-0.5522419;1.383708,2
5400,1108;14828;5844,1006;-677;-963,-0.1690379;-0.09642103;1.268433,-0.004496599;-0.1000734;1.336867,0.09523486;-0.2869386;1.369457,0.1564081;-0.3210655;1.118868,-0.1266477;-0.5522024;1.383708,2
5432,1276;14604;5588,1264;-659;-1083,-0.1690399;-0.09642924;1.268445,-0.005239672;-0.1006854;1.335094,0.09521471;-0.2869465;1.369481,0.1555106;-0.3228401;1.118927,-0.126654;-0.5522105;1.383695,2
5465,1228;15004;5444,918;-604;-1149,-0.1691043;-0.09636787;1.268542,-0.005539256;-0.1008341;1.334662,0.09505662;-0.2867662;1.369839,0.1633732;-0.3771106;1.145225,-0.1266386;-0.5522219;1.383821,2
5501,1280;14940;5660,796;-365;-1221,-0.1691047;-0.09633944;1.268431,-0.006130675;-0.1011085;1.33273,0.09504494;-0.2867495;1.369616,0.1500241;-0.3225973;1.117821,-0.1266281;-0.5522018;1.383581,2
