Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
3536,320,-6084;12472;7848,563;-652;-1207,-0.07701212;0.01668192;1.202212,0.0886267;-0.01373598;1.190536,0.1277752;-0.2299346;1.11377,0.1113859;-0.2906834;0.8686415,0.1148396;-0.268949;0.8028333,-0.07515807;-0.4541741;1.269148,1
3565,320,-5908;10972;8496,-148;-589;-762,-0.07697388;0.01670415;1.202215,0.0886379;-0.01375253;1.190525,0.1289794;-0.2150443;1.140141,0.1056962;-0.2290282;0.9526297,0.1061895;-0.2662193;0.8294826,-0.07529286;-0.454152;1.269142,1
3600,320,-6020;11272;8580,2032;-682;-691,-0.07696141;0.01670602;1.202219,0.08864684;-0.01377483;1.190513,0.1307156;-0.2137846;1.142578,0.1065043;-0.2288818;0.9552743,0.1021394;-0.2678274;0.83165,-0.07538516;-0.4541765;1.269198,1
3635,321,-6004;12568;7804,1461;-564;-980,-0.07686368;0.01675107;1.202433,0.08868439;-0.01376061;1.190565,0.1307715;-0.213327;1.143691,0.1023891;-0.304618;0.9094369,0.1008066;-0.2573558;0.8158293,-0.0749327;-0.4541455;1.26957,1
3666,320,-5804;11640;8132,639;-727;-990,-0.07681309;0.01674438;1.202431,0.08869301;-0.01375027;1.190564,0.131146;-0.2130016;1.144032,0.1191789;-0.2337691;0.9561103,0.09583187;-0.2512709;0.8162705,-0.07493376;-0.4541526;1.269568,1
3702,320,-5712;11828;8236,1529;-609;-849,-0.0767593;0.01671923;1.202502,0.08871863;-0.01376624;1.190574,0.1315421;-0.2128627;1.144437,0.09721167;-0.3009379;0.9097388,0.09000825;-0.2528117;0.8131868,-0.07503954;-0.4542216;1.269568,1
3736,320,-5736;12228;7896,1136;-319;-819,-0.07669265;0.01685856;1.203133,0.08875254;-0.01391052;1.190726,0.1342175;-0.2116197;1.14775,0.119667;-0.2364238;0.9605144,0.08620143;-0.2515721;0.8145062,-0.07516182;-0.454127;1.269974,1
3769,319,-5776;11832;8312,1152;-544;-780,-0.07665037;0.01685102;1.20297,0.08878067;-0.01395997;1.190654,0.1353413;-0.2099138;1.147765,0.1227612;-0.2424082;0.9307677,0.08209185;-0.2496247;0.8121887,-0.07504679;-0.4541632;1.269746,1
3800,320,-5940;11960;8244,1224;-497;-1056,-0.07663716;0.01684294;1.203,0.08879615;-0.01401631;1.190683,0.1368469;-0.2075019;1.148013,0.1148555;-0.2415388;0.9110307,0.07588055;-0.2509383;0.8133415,-0.07515565;-0.4542963;1.269763,1
3833,321,-6076;11760;8256,545;-402;-1058,-0.07663424;0.016843;1.203001,0.08880545;-0.01402979;1.190679,0.1371307;-0.2067556;1.147867,0.1131465;-0.2416765;0.9081966,0.07207422;-0.2515796;0.8161319,-0.07528993;-0.4544215;1.269674,1
3868,321,-5900;11404;8444,1108;-485;-1085,-0.07663807;0.01684768;1.202923,0.08881929;-0.01403512;1.190666,0.1375375;-0.2062395;1.147862,0.1055752;-0.2416264;0.8993697,0.06801114;-0.250715;0.815794,-0.07562947;-0.4542453;1.269239,1
3904,321,-5824;11856;8116,1374;-396;-1112,-0.07661471;0.01684384;1.203385,0.08883102;-0.01408978;1.190779,0.1373096;-0.2050046;1.149146,0.1053906;-0.2417593;0.9008449,0.06303596;-0.2520279;0.8202363,-0.07575299;-0.4542744;1.269365,1
3937,320,-5936;11992;8048,1084;-586;-997,-0.07666276;0.01685255;1.203396,0.08884224;-0.01409821;1.190793,0.1371434;-0.2043755;1.149221,0.102338;-0.2423577;0.9014909,0.06001402;-0.2519959;0.8185835,-0.07582662;-0.4542654;1.269208,1
3971,320,-5916;11804;8204,1065;-531;-991,-0.07666668;0.01683954;1.203378,0.0888399;-0.01415997;1.190782,0.1370319;-0.2038129;1.149179,0.1020319;-0.2421531;0.9015311,0.05651163;-0.2511652;0.8182112,-0.07636674;-0.4541286;1.268528,1
4002,320,-5880;11908;8272,1033;-470;-924,-0.07669753;0.01685933;1.203474,0.08884074;-0.01415107;1.190838,0.1368539;-0.20374;1.149366,0.1015234;-0.2421043;0.9017683,0.05377611;-0.2514169;0.8214153,-0.07641424;-0.454116;1.268481,1
4038,320,-5856;11708;8332,1042;-340;-1028,-0.07670796;0.01686412;1.203474,0.08884107;-0.01415044;1.190846,0.1368506;-0.2037155;1.149353,0.1012089;-0.2420675;0.9017973,0.0516708;-0.2506762;0.8201804,-0.07664946;-0.454037;1.268142,1
