Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
997,-10592;-1860;11316,-376;-1131;-1822,-0.02656948;0.4429095;1.252633,-0.1576525;-0.2159548;1.026692,-0.167453;-0.1842654;1.076089,-0.2112597;0.004394623;1.253838,-0.1680963;0.212605;1.303326,-0.03055258;0.2444741;1.322971,-0.02533168;-0.1658729;1.357369,0
1030,-9960;-1584;10908,-2315;-1829;-3040,-0.02644526;0.4433477;1.253167,-0.1401856;-0.264006;0.9629011,-0.16702;-0.1798229;1.071395,-0.2116707;0.004845698;1.253168,-0.1674529;0.2133876;1.303889,-0.03056017;0.244658;1.323185,-0.02551148;-0.1655437;1.357665,0
1066,-10304;-1860;10788,-4473;-2648;-3941,-0.02635579;0.4433773;1.253244,-0.1410877;-0.2552405;0.9602271,-0.1668241;-0.1761105;1.066801,-0.2126024;0.006779839;1.250133,-0.168408;0.2128151;1.303708,-0.03061424;0.244854;1.323475,-0.02547432;-0.1654327;1.357807,0
1099,-10548;-5048;11656,-3446;-224;-2528,-0.02611099;0.4440329;1.25423,-0.1526667;-0.2074144;0.9974408,-0.1674817;-0.1708705;1.062367,-0.2134175;0.009000152;1.248686,-0.1674865;0.213783;1.304364,-0.03065681;0.2450178;1.323635,-0.02568433;-0.1652574;1.358018,0
1129,-10560;-4708;10488,-2209;304;-2047,-0.02600658;0.4441671;1.254448,-0.1526401;-0.2015524;0.9896921,-0.1677501;-0.166321;1.05622,-0.213971;0.010814;1.24513,-0.1668866;0.2143807;1.304656,-0.03058941;0.2451683;1.323705,-0.02574404;-0.1651164;1.358083,0
1162,-10692;-5176;10416,-685;-45;-1395,-0.02588211;0.4441982;1.254387,-0.1536097;-0.1950494;0.9834142,-0.1684765;-0.1596632;1.051511,-0.2144846;0.01355159;1.244136,-0.1664196;0.214805;1.304761,-0.03057558;0.2452064;1.323679,-0.02582739;-0.165018;1.358037,0
1197,-10576;-4680;10804,458;-608;-1212,-0.02563448;0.4445501;1.254553,-0.14248;-0.2286514;0.9334246,-0.1689191;-0.1553416;1.046669,-0.2149018;0.01456473;1.242272,-0.1674792;0.2141263;1.303676,-0.03052671;0.2453216;1.323689,-0.02595782;-0.1650064;1.358058,0
1230,-10360;-4312;10888,-508;-435;-1306,-0.02548698;0.4445474;1.254511,-0.1432947;-0.2244198;0.9259329,-0.1689961;-0.1513254;1.042027,-0.2152639;0.01519439;1.240497,-0.1682168;0.2135679;1.302722,-0.03045806;0.2454245;1.323802,-0.026095;-0.1649848;1.358106,0
1263,-10436;-4320;10540,-355;-632;-1517,-0.02502951;0.4451346;1.255059,-0.143831;-0.2188383;0.9185514,-0.1723707;-0.1387123;1.030577,-0.2154087;0.01586585;1.239278,-0.168651;0.2134608;1.302119,-0.03032819;0.245632;1.323919,-0.02624208;-0.1649397;1.35805,0
1296,-10180;-4012;10468,-2788;-486;-2077,-0.02453922;0.4456589;1.25608,-0.1446272;-0.2164749;0.9129633,-0.1729276;-0.1361596;1.031421,-0.2167483;0.01979139;1.238929,-0.1688551;0.213384;1.301942,-0.03022573;0.2461511;1.32462,-0.0265539;-0.1648871;1.358241,0
