Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
3133,0.03921441;-0.003933916;1.238324,0.1826429;-0.001091588;1.230749,0.1659711;-0.08664278;1.060991,0.02098024;0.006301987;1.110098,-0.0221605;0.01295728;1.128561,0.07059428;-0.4380369;1.292904,0
3163,0.0392115;-0.004350327;1.238157,0.181857;-0.0007907026;1.231474,0.1798368;-0.07849862;1.057128,0.02753365;0.0009562695;1.107781,-0.01252166;0.00814444;1.122065,0.07067886;-0.4382014;1.293182,0
3197,0.03911036;-0.004751417;1.237914,0.1806195;0.0002787788;1.233093,0.197353;-0.06813206;1.055658,0.04282228;0.005992888;1.107723,0.008424114;0.002851681;1.114997,0.07083061;-0.4382935;1.293146,0
3233,0.03693007;-0.001521843;1.2383,0.1795599;-0.0007202524;1.234015,0.2243233;-0.05325151;1.056131,0.07164482;0.01989052;1.114003,0.0417391;0.04955233;1.140764,0.07094651;-0.438178;1.293663,0
3270,0.03664835;-0.002094324;1.238174,0.1790942;-0.001287863;1.234737,0.2559793;-0.03847452;1.064529,0.1023385;0.03034511;1.125113,0.04636364;0.0794732;1.163973,0.0710099;-0.4379559;1.294091,0
3306,0.03599956;-0.002704032;1.237842,0.1788062;-0.002357842;1.235433,0.2827615;-0.0176029;1.077294,0.1005395;-0.003680957;1.067831,0.06570293;-0.003715307;1.102205,0.07101672;-0.4379381;1.29407,0
3352,0.02864868;0.001538575;1.239735,0.1759962;-0.001813841;1.24595,0.2871746;0.002236285;1.092382,0.105786;-0.009594081;1.066082,0.06863662;-0.006516306;1.10036,0.07108337;-0.4377069;1.294211,0
3382,0.02580637;0.003601031;1.24003,0.1770584;-0.0006103356;1.251254,0.2945913;0.02453463;1.105056,0.1164896;-0.008938548;1.074165,0.09230385;-0.002492122;1.09742,0.07114264;-0.4370273;1.294524,0
3414,0.02393734;0.004393625;1.240386,0.1791455;0.00201778;1.25629,0.3008552;0.0441686;1.115963,0.127145;-0.005551323;1.081363,0.06511338;-0.01478507;1.090852,0.07139353;-0.4361202;1.294965,0
3443,0.02268938;0.004833442;1.240888,0.1830605;0.005771993;1.263047,0.3096885;0.05984459;1.127045,0.1399512;0.0002578755;1.087656,0.08705834;-0.007393441;1.089823,0.07458998;-0.4323658;1.297876,0
3475,0.0209192;0.005028099;1.24017,0.1844987;0.008030253;1.264688,0.3214017;0.07460217;1.14198,0.1495556;0.01128732;1.101669,0.09751029;-0.002507964;1.085253,0.07529119;-0.4307325;1.298556,0
3513,0.02015184;0.004960144;1.239995,0.1859614;0.01025946;1.267385,0.335516;0.08836005;1.172662,0.1611012;0.02579793;1.136952,0.1143512;0.003667243;1.088005,0.07573795;-0.4297011;1.298843,0
3569,0.01963906;0.004859579;1.24015,0.1869323;0.01225249;1.269669,0.3391929;0.09943692;1.183241,0.164072;0.03596854;1.146496,0.14463;0.0165273;1.099793,0.07616514;-0.4287446;1.299331,0
3609,0.01904041;0.004580481;1.240085,0.1867815;0.01423517;1.270469,0.3486083;0.1225546;1.20603,0.1733004;0.05922549;1.169394,0.1470222;0.01352207;1.101478,0.07652977;-0.4277353;1.299475,0
3649,0.01867681;0.004432994;1.240073,0.1864618;0.01729585;1.272038,0.3479745;0.1303079;1.211626,0.1937245;0.03295597;1.113298,0.1633843;0.01625594;1.09757,0.07715084;-0.4261921;1.300206,0
3690,0.01786381;0.004274143;1.240138,0.1838882;0.02525795;1.27664,0.3406843;0.1522296;1.232403,0.1987202;0.02261473;1.096882,0.1978704;-0.04000534;1.011864,0.07813469;-0.4236347;1.3011,0
3721,0.01776743;0.004298722;1.240016,0.1837707;0.02691192;1.277351,0.3409917;0.1551366;1.239263,0.2019222;0.02256577;1.098516,0.2010755;-0.04005207;1.013497,0.07857241;-0.4227606;1.3011,0
3760,0.0176885;0.004362212;1.239701,0.18397;0.02768558;1.277757,0.339307;0.1559682;1.239684,0.2019193;0.02268974;1.09994,0.201072;-0.03992648;1.014921,0.07893898;-0.4220873;1.30101,0
3801,0.01771508;0.004498382;1.239429,0.1843447;0.02819148;1.278068,0.338664;0.1576121;1.242328,0.2018527;0.02314188;1.102799,0.201004;-0.03947086;1.017781,0.07924265;-0.4215274;1.300993,0
