Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
8867,0.2065804;-0.2145954;1.066189,0.1752936;-0.1770228;1.076941,0.035813;-0.0118207;1.195549,-0.02097942;0.2103079;1.269049,0.110908;0.2265464;1.2476,0.1206828;-0.1305407;1.419433,2
8900,0.2098012;-0.2044955;1.054825,0.1751029;-0.1756332;1.07475,0.03574277;-0.01149743;1.19538,-0.02093198;0.2101962;1.268922,0.1108936;0.2265843;1.24763,0.1206987;-0.1304241;1.41964,2
8933,0.2114465;-0.201658;1.050521,0.1750549;-0.1733437;1.073985,0.03715198;-0.0135837;1.193753,-0.02092927;0.2101993;1.268927,0.1108683;0.2267086;1.24777,0.1207549;-0.1302227;1.419909,2
8966,0.2054077;-0.1874122;1.033051,0.1669345;-0.1480312;1.075325,0.03848547;-0.01507651;1.19312,-0.02092461;0.2102046;1.268932,0.1108192;0.2268175;1.247923,0.1207344;-0.1301135;1.420037,2
9002,0.1968481;-0.1870893;1.028193,0.1755099;-0.1691224;1.065925,0.04643457;-0.02231147;1.190125,-0.0209049;0.2102422;1.269011,0.1108025;0.2271213;1.248417,0.1208217;-0.1291569;1.422264,2
9035,0.188987;-0.1904864;1.020939,0.1746854;-0.1695331;1.056162,0.0559243;-0.03045419;1.184828,-0.02090245;0.2102481;1.269015,0.1107522;0.2272068;1.248553,0.1208002;-0.1291399;1.422601,2
9066,0.1861393;-0.1965891;1.023502,0.1745344;-0.1709227;1.054065,0.05402466;-0.02240917;1.189926,-0.02088265;0.2102475;1.268923,0.1107258;0.2271772;1.248606,0.1208197;-0.1290363;1.423028,2
9101,0.1845769;-0.203599;1.032515,0.1714344;-0.1702564;1.058402,0.05506221;-0.02010654;1.191803,-0.02087399;0.210262;1.268921,0.1106804;0.2271445;1.248792,0.120883;-0.1289661;1.423862,2
9133,0.1867151;-0.2181196;1.033846,0.1746038;-0.1857952;1.056236,0.05649856;-0.01799072;1.194361,-0.02086575;0.2102648;1.26892,0.1106362;0.2271745;1.248909,0.1209289;-0.1290334;1.42439,2
9165,0.1871386;-0.2265138;1.046329,0.17521;-0.1900656;1.058435,0.05823006;-0.01733403;1.199066,-0.02083801;0.2104136;1.269074,0.1105766;0.22727;1.249314,0.1209193;-0.129152;1.42497,2
9202,0.1870365;-0.2302592;1.05245,0.1761674;-0.1933873;1.05948,0.06124482;-0.01622945;1.199395,-0.02082414;0.2104535;1.269068,0.1105287;0.2272877;1.249374,0.1208956;-0.1292293;1.425064,2
9234,0.1883628;-0.2358917;1.061042,0.177128;-0.1961938;1.061252,0.06347124;-0.01586085;1.200479,-0.0208156;0.2105122;1.269076,0.1104914;0.2272994;1.249435,0.12087;-0.1294178;1.42529,2
9267,0.1897317;-0.2410185;1.067697,0.1783824;-0.1989398;1.064087,0.06581832;-0.01567767;1.201806,-0.02080669;0.2105594;1.269069,0.1104629;0.2273246;1.249494,0.1209064;-0.1295543;1.425503,2
9300,0.1934346;-0.2547451;1.071324,0.1935105;-0.2144386;1.061589,0.08383428;-0.02620654;1.197706,-0.02080316;0.2105899;1.269063,0.1104296;0.2273469;1.249549,0.1210164;-0.1297059;1.425684,2
9333,0.1957129;-0.257823;1.073962,0.1964951;-0.216544;1.062564,0.08742151;-0.02769516;1.198436,-0.02079154;0.2106489;1.26909,0.1103837;0.2273998;1.249723,0.1211733;-0.1297726;1.426619,2
9366,0.1956702;-0.2577353;1.072611,0.1967217;-0.2161739;1.062952,0.08788801;-0.02698347;1.198827,-0.02077692;0.2107406;1.2691,0.1103636;0.2274241;1.249781,0.1212647;-0.1298373;1.426984,2
