Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,
2965,-23608,-6808,-3051,140.7330929,147.3654043,0
2997,-21268,-7552,-1459,140.8264682,156.9463817,0
3032,-20208,-6872,-1621,141.4033971,156.9878792,0
3064,-16184,-6480,-2824,143.0288063,156.6121616,0
3100,-14844,-6060,-2366,143.9562699,156.5270632,0
3135,-10984,-5392,-499,151.1347325,156.5304326,0
3164,-10068,-3468,2696,148.8159637,156.5590862,0
3197,-6744,-2208,4125,146.9721467,156.5619816,0
3231,-6020,-1144,301,146.814136,156.6091884,0
3263,-2616,-28,2898,146.8381357,156.5834043,0
3297,-268,996,2804,146.5472097,156.7117953,0
3332,524,816,3475,146.4168215,156.6959728,0
3365,604,800,4122,146.2322765,156.7989483,0
3400,4664,1132,4261,145.7217366,157.0001295,0
3434,7972,1760,1610,145.5715394,157.1077336,0
3463,10196,2196,578,145.6907588,157.0115551,0
3496,9272,2092,-811,158.0141137,156.9229291,0
3532,8772,1496,68,144.9485803,156.9627583,0
3567,8056,1464,-2017,144.8725562,157.0912403,1
3598,6724,1564,-2523,144.9847588,157.0392866,1
3633,7252,1484,-1811,145.0942255,156.9996558,1
3667,8176,1784,-1170,145.2216433,156.9720433,1
3696,6868,820,-882,144.9610561,157.1561486,1
3731,5520,952,-1946,144.874884,157.2647233,1
3765,5776,788,-3770,144.8137246,157.349366,1
3798,5856,-900,-4550,144.9054871,157.2790882,1
3831,2740,-1100,-3072,144.8403674,157.3782758,1
3863,-3108,-264,-3480,144.9845619,157.3022218,1
3896,-8312,-1064,-866,145.0683309,157.2461717,1
3931,-12288,-2376,3626,145.1979639,157.1947631,1
3964,-13844,-3784,-3128,145.2358399,157.1644695,1
3998,-17300,-5740,-4661,145.2631791,157.150438,1
4031,-18408,-6488,-6837,149.5499981,157.1352256,1
4063,-19612,-7136,-359,146.7573364,157.110513,1
4097,-23880,-7224,-2094,146.2485953,157.0769452,1
4132,-21364,-6596,-2310,146.2505795,157.0374368,1
4164,-23916,-6652,-200,146.1899519,157.1060947,1
4197,-23352,-6604,215,143.1367744,157.0383787,1
4233,-20700,-4492,1662,145.2091926,157.1835527,1
4264,-22916,-3844,-2585,145.4005926,157.0600531,1
4297,-30012,-16092,-1862,145.3486435,157.0499533,1
4333,-14228,-4388,1737,145.3090103,157.0229828,1
4365,-8916,-2512,-1493,145.3600716,156.9998627,1
4398,-13248,-5084,942,145.5099766,156.9089218,1
4433,-16152,-6356,3597,145.5947667,156.8379283,1
4464,-14540,-3592,3905,145.6158344,156.8196579,1
4496,-13220,-2424,-1887,145.1325225,156.8109109,1
4532,-14100,-4392,-1921,145.5322717,156.7426095,1
4564,-14520,-4376,-560,151.039232,156.8983115,1
