Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
1427,-5764,-15260,-1080,158.579800534223,115.825374763892,86.6989139377608,0
1462,-5928,-15916,-1407,158.93527667491,116.266634101798,88.7557502742041,0
1496,-5744,-16616,-1406,159.118613837125,243.916269186727,91.1575690032797,0
1529,-5804,-16324,-967,159.027078854781,243.858707635439,93.0474843473184,0
1560,-5624,-15452,-457,159.044717919594,243.730759874917,95.1039063419988,0
1594,-5440,-14380,-540,159.207880290485,243.579556030397,97.3553681624887,0
1626,-5616,-15064,-2089,161.540887836873,241.829671417736,101.878839496739,0
1661,-5956,-16804,-2662,160.924638207079,241.687820332814,103.058356795706,0
1695,-6000,-16996,-1224,160.810385628784,241.604154262649,105.89630341699,0
1729,-5764,-15632,-557,160.346824266892,240.961047908269,107.225395161062,0
1762,-4980,-15112,-1048,157.965177945271,240.375820616533,109.385965489595,0
1795,-5344,-15252,-3637,159.241002373816,240.051658299613,111.210197308883,0
1829,-5448,-15232,-1278,159.27447702128,239.789690743436,113.234175817923,0
1862,-4128,-15696,-5226,159.171994834067,239.221047349586,114.787018856684,0
1895,-5820,-15712,-4764,159.009437215898,239.266731992916,118.817158174902,0
1930,-4112,-15872,-1949,159.157520078991,238.918826913131,120.878745949889,0
1963,-4232,-16184,-4901,157.753232730059,237.148635160877,121.068069351315,0
1995,-4808,-16488,-1650,157.15449669179,236.420035084649,122.234753436321,0
2028,-3120,-16520,-5253,156.786857565214,235.719065662044,123.591411400038,0
2062,-4420,-16404,-5023,156.967503783952,234.712449903068,124.878835128573,0
2095,-3692,-16968,-287,157.081487633069,234.040672714609,126.119211050705,0
2129,-3724,-16600,-1009,158.078866850769,234.215087886613,128.985249870103,0
2164,-4048,-16360,539,157.676448013537,233.129815306724,129.989363248929,0
2198,-3692,-16244,430,157.459314045154,232.447150126919,130.817542194046,0
2229,-3856,-16408,-359,157.451799494072,232.701607901308,132.13876035307,0
2262,-4436,-16212,-585,157.406798773418,232.838457317057,133.384888550849,0
2295,-3992,-16320,-121,156.881612990737,232.851782722616,134.970814232372,0
2328,-4232,-16404,-542,157.226663136038,232.77015059778,136.506726090995,0
2364,-4824,-16720,12,156.721986447141,232.631405259796,138.160426418539,0
2395,-4488,-16520,1829,156.204970070059,232.848844491484,138.756059388909,0
2427,-5216,-15584,1566,155.540105545922,232.831834146008,139.957509598914,0
2462,-6920,-16484,13787,155.484023361398,232.828529854771,140.894238813572,0
2495,-4032,-15344,8674,155.872876934756,232.89952979556,141.670774877857,0
2528,-6948,-14332,3646,155.805976569343,233.081682943415,142.332406277083,0
2562,-7188,-14348,1871,154.966832715142,233.032504370571,142.051348038205,0
2596,-8324,-13712,1145,155.233285055747,233.149262578973,142.806052021319,0
2629,-8216,-14244,411,154.783796593527,233.108846146259,142.619670693605,0
2661,-10024,-13868,4132,155.230097386442,233.168492872026,143.365029557814,0
2695,-8604,-14076,8389,155.553237070954,233.185889912504,143.826049566563,0
2728,-9144,-13248,1938,155.757796592968,233.186170725699,144.149594590497,0
2762,-9740,-12460,2803,155.968883987609,233.073924493653,144.485846996009,0
2795,-9856,-12276,850,156.057354315281,233.040939334803,144.644058148797,0
2831,-10412,-12120,1476,156.150987446309,233.018277966531,144.750573105317,0
2862,-10400,-12116,2035,156.255039238271,232.938263001347,144.915154406315,0
2895,-10408,-11944,1171,156.345150295786,232.989956359603,145.02064980591,0
2928,-10812,-11720,451,156.398457067858,232.975553196419,145.087846718035,0
2962,-11452,-11404,3522,156.480423417407,232.971220884167,145.130731799901,0
2996,-11136,-11140,3917,156.500608320202,232.950363802735,145.170003743032,0
3030,-11688,-10608,2821,156.504241060646,232.905850096083,145.207244768338,0
3062,-11904,-10192,3823,156.583613148293,232.897848122234,145.233503583112,0
3096,-12360,-9620,5784,156.680528916878,232.888959535686,145.235696300544,0
3128,-12280,-9304,5611,156.684403794074,232.85796075467,145.240922941926,0
3162,-13296,-8684,6174,156.77002157821,232.84566285574,145.213522500806,0
3195,-13180,-7648,7737,156.754963421612,232.820446858288,145.228295378602,0
3228,-13140,-6840,8245,156.752753041533,232.776171431127,145.244580095587,0
3265,-13792,-6112,5153,156.734699359903,232.738854036653,145.25241832285,0
3295,-14064,-5232,2935,156.730190678351,232.717046991418,145.275430447433,0
3328,-14084,-5112,2331,156.728401587934,232.722751217591,145.29915869845,0
3362,-14128,-4744,2009,156.728147292025,232.65026582739,145.405075571518,0
3395,-14140,-4264,1623,156.654710233138,232.631811370404,145.394108576335,0
3429,-14688,-3848,1277,156.647809335872,232.606796110504,145.410361688781,0
3464,-14272,-3888,1090,156.632096355294,232.540695389947,145.447158610944,0
3495,-14784,-3424,536,156.618093868644,232.495507082448,145.427724224629,0
3528,-14616,-3428,735,156.628272319863,232.427801012772,145.423013434965,0
3562,-14600,-3072,239,156.641017082706,232.390512296882,145.412922834472,0
3594,-14404,-2928,221,156.693027462442,232.312678743742,145.399790014671,0
3628,-14400,-2932,-1547,156.674683958185,232.211227941207,145.417191609051,0
3664,-14516,-2816,-1478,156.835637374944,232.136434852769,145.278557455571,0
3697,-14504,-2944,-923,156.835518538754,232.081420753207,145.231612855201,0
3728,-14448,-3152,-1265,157.267755629103,232.012587011967,145.191788644224,0
3762,-14336,-2948,-879,157.514405676093,231.891384939602,145.004205615262,0
3794,-14412,-3252,-1317,157.571168113791,231.802174419731,144.911620610147,0
3827,-14792,-2880,-117,157.446635210965,231.616897756555,144.789467599213,0
3862,-14188,-2388,1266,157.408468019947,231.469662980382,144.560820087244,0
3896,-14080,-2688,-612,157.222856019722,231.302764302288,143.91693053495,0
3929,-13980,-2452,-1938,156.917822646344,231.037699805214,143.705276560581,0
3962,-14480,-1912,-914,157.139975366907,230.838317231921,143.309606364265,0
3995,-14092,-2236,-597,157.216661925444,230.61454531872,142.588902145262,0
4028,-14664,-2228,-2379,157.20425811604,230.432584513801,141.889597696597,0
4061,-14384,-2572,-1830,156.89959271165,230.201423720249,140.976301426514,0
4096,-14364,-2312,-873,157.396081239232,230.186409935161,139.602632149503,0
4129,-14176,-2144,-936,156.972664454403,229.980647768448,138.956339809033,0
4161,-14808,-1932,-857,156.542069551467,229.958929812986,137.200724850804,0
4195,-14972,-2308,-1636,156.054936490124,230.166316426992,135.23580776719,0
4227,-13468,-3092,-4322,155.453129044748,230.356146271682,133.125258977075,0
4261,-12944,-4260,-14488,155.162752271144,230.751217624502,131.172493902506,0
4296,-16716,-3528,-11407,154.151383385805,231.097417301724,127.898456579154,0
4330,-20384,-2988,17972,153.9173688984,231.630318237941,124.680593026707,0
4361,-13120,-2200,25430,153.810598644051,232.321027255264,120.907990497239,0
4397,-11044,-108,5976,152.605690725944,234.113794746489,117.523588632617,0
4427,-11992,-472,-12637,152.640870520055,234.732688635456,112.159848102499,0
4460,-14576,-2332,-22136,150.79821739317,235.177248830674,107.184189132381,0
4494,-16940,-2292,-13293,149.507411709853,235.489345683647,101.680407803713,0
4528,-19728,-2500,16689,149.371742206294,123.596096480389,95.8242957464043,0
4562,-14368,-1408,29912,146.480903712055,123.139347881454,86.6875343805373,0
4594,-11900,2180,15829,144.234014659238,119.486572090846,81.2479236342337,0
4628,-12136,3276,-8007,149.335118852893,117.903288725566,78.4106131284211,0
4660,-15136,1268,-24481,148.606279485119,119.572277000438,65.7731761475747,0
4694,-17100,-956,-19464,156.518701479018,113.775603417301,66.0094510400144,0
4728,-20284,-1600,10786,160.497775344714,115.03031562935,64.841330740253,0
4761,-12260,-556,25305,160.347678074238,113.606572045691,59.5997467473832,0
4795,-10392,2184,9118,160.77946295105,118.194919505153,50.9159286949888,0
4828,-11780,3140,-11888,164.31522970271,118.960683148193,52.5364551275309,0
4860,-15356,1376,-20067,157.584087891556,119.924826699504,41.1174070563236,0
4894,-19036,600,-11405,160.991833402149,120.173121221401,40.4706695177246,0
4927,-19504,172,15401,164.183902241912,120.076186132716,40.6601901743988,0
4962,-12228,1076,21799,154.896291221779,119.045467198282,28.9642415953552,0
4997,-10472,3852,2202,163.053552057806,119.559294662706,33.6852159943994,0
5028,-13516,4164,-9686,153.451341814802,116.824796079363,22.6191495025296,0
5060,-15380,3752,-8661,156.378131736259,118.567323974128,22.5361300185262,0
5094,-18472,2504,9129,157.514033925793,119.53744782426,22.0188608437962,0
5127,-12020,2844,17552,157.843110610409,120.148484508729,20.6704689264374,0
5162,-10448,4300,-3830,157.625761624331,121.100297071496,19.6898672550241,0
5196,-13508,4108,-14028,158.322053505675,121.762777178381,18.6488778934493,0
5227,-18176,4484,-186,158.979209539554,122.208220441599,17.9240758824553,0
5260,-13580,4224,12233,159.465218639183,122.397498258758,17.1678301396133,0
5294,-11688,4864,1975,160.045304126343,122.802531898915,16.5527617144877,0
5327,-13544,5160,-4881,160.79492864214,122.843422635667,15.8445706322594,0
5359,-14448,5236,-3087,161.404732379907,122.9378024647,14.8436435302201,0
5397,-14244,4936,-425,161.292754427082,123.045563937702,14.4828935025024,0
5428,-14324,4740,-1582,162.32049898485,123.184631536931,14.1099202896826,0
5459,-14848,4408,-1395,164.613606778032,123.437982566488,13.5228177343216,0
5493,-12544,3840,-1007,163.781431667846,123.42903814817,13.2696807942921,0
