Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
1500,624;15252;-504,-4767;-1885;14889,-0.06765831;0.06177657;1.721406,-0.03936126;-0.133533;1.739893,0.1344107;-0.1204897;1.683488,0.1859894;-0.2056612;1.497689,0.1287984;-0.154254;1.305039,0.1096347;-0.1356039;1.24714,-0.01459562;-0.5696915;1.662535,0
1533,2180;14792;24,-4331;-2355;14756,-0.06825705;0.06282654;1.720299,-0.03856054;-0.1330948;1.738222,0.1354072;-0.1211852;1.680133,0.1792565;-0.1967065;1.487974,0.1224399;-0.137973;1.29734,0.1028752;-0.1148023;1.241632,-0.01397118;-0.5693614;1.662966,0
1565,3836;14104;56,-4222;-2668;14795,-0.06894189;0.06142238;1.719848,-0.0393558;-0.134201;1.738276,0.1199265;-0.1567392;1.673504,0.1758054;-0.2029642;1.475036,0.1179697;-0.1304776;1.289564,0.09598815;-0.09924819;1.237082,-0.01411006;-0.5700526;1.663463,0
1598,5528;12968;612,-4165;-2463;14346,-0.06996875;0.06015529;1.719025,-0.03982187;-0.1350106;1.738141,0.1175969;-0.1646942;1.672424,0.1730655;-0.2015204;1.471785,0.1147901;-0.1239052;1.288569,0.09370273;-0.09078529;1.238916,-0.0142061;-0.5711114;1.663448,0
1632,6740;11528;840,-4499;-2728;13906,-0.07057474;0.05865693;1.719163,-0.0402868;-0.1362681;1.738425,0.1161484;-0.1681607;1.672389,0.1714881;-0.2004729;1.470896,0.1122161;-0.118464;1.289959,0.09006812;-0.08157562;1.240171,-0.01445018;-0.5718856;1.663961,0
1665,8080;10136;1184,-5217;-2910;13336,-0.07171784;0.05656889;1.716822,-0.04057636;-0.137064;1.737976,0.1155831;-0.169615;1.671845,0.1688803;-0.1979505;1.46915,0.1100139;-0.1150463;1.288495,0.08907781;-0.08180759;1.237093,-0.01480274;-0.5725014;1.663442,0
1699,9280;8084;1268,-3699;-3098;12921,-0.07203224;0.05595569;1.71722,-0.04101315;-0.1376505;1.738492,0.1154422;-0.1705358;1.672108,0.1687736;-0.1980159;1.469298,0.1094014;-0.1141878;1.289245,0.08796557;-0.08094776;1.23906,-0.01474293;-0.5733284;1.664376,0
1733,10576;6980;1228,-3041;-2896;12309,-0.07227343;0.05532164;1.716703,-0.04137482;-0.1381158;1.738273,0.1151764;-0.1707792;1.671999,0.1685822;-0.1980021;1.469173,0.1092384;-0.1143208;1.289041,0.08861779;-0.08771221;1.235153,-0.01491732;-0.5739002;1.663933,0
1766,11816;5720;752,-2908;-2268;11289,-0.07237968;0.05543023;1.716261,-0.04183209;-0.1380425;1.738056,0.1147975;-0.1715268;1.672037,0.1685236;-0.1983637;1.469245,0.1091464;-0.1166983;1.288187,0.08949377;-0.09357949;1.231393,-0.01501439;-0.5747108;1.663504,0
1798,12604;5040;1076,-4050;-1195;9472,-0.07257709;0.05618017;1.715792,-0.04256587;-0.1374404;1.738086,0.1149009;-0.1714747;1.672265,0.1807958;-0.2100653;1.475306,0.1157586;-0.131978;1.294608,0.09433174;-0.1141187;1.233165,-0.01498837;-0.5753601;1.663206,0
1831,13892;3940;1556,-4170;-72;8567,-0.07291754;0.05660957;1.71611,-0.044134;-0.1364586;1.740069,0.1172492;-0.1682741;1.674302,0.1815655;-0.211328;1.477776,0.1169698;-0.1424539;1.293165,0.09744117;-0.1260378;1.229133,-0.01533544;-0.57599;1.663768,0
1865,13808;2804;2544,-265;-12;8884,-0.07283435;0.05704357;1.715929,-0.04309774;-0.1360536;1.739529,0.1270313;-0.1385659;1.68368,0.190958;-0.2138962;1.497491,0.1263286;-0.1609558;1.307654,0.1105492;-0.1554641;1.246534,-0.01472815;-0.5756343;1.663456,0
1898,14548;1660;2692,581;-274;8399,-0.07239214;0.05625693;1.716408,-0.04081682;-0.1361404;1.7399,0.1276888;-0.1310173;1.686523,0.1907022;-0.2125978;1.502779,0.130055;-0.1818758;1.306788,0.1158074;-0.17588;1.247047,-0.01334613;-0.5743482;1.663848,0
1933,14832;496;2900,1815;12;7708,-0.07216654;0.05627343;1.716732,-0.04008165;-0.136032;1.739767,0.1276237;-0.1300398;1.686645,0.191808;-0.2127463;1.503859,0.1324405;-0.1875055;1.306693,0.1235358;-0.1885006;1.25046,-0.01418586;-0.5727328;1.662951,0
1968,15216;204;3208,2223;235;6507,-0.0720458;0.05654236;1.7173,-0.03936166;-0.135686;1.739895,0.1270996;-0.1298201;1.686833,0.1915061;-0.2127058;1.504213,0.1423436;-0.2126359;1.30268,0.1243996;-0.211212;1.23885,-0.01483204;-0.571009;1.662695,0
2000,15436;-556;3028,1039;-90;5408,-0.07186905;0.05664444;1.717531,-0.03854215;-0.1355537;1.739598,0.1265897;-0.1300108;1.686841,0.1912811;-0.2137893;1.504756,0.1429818;-0.2157677;1.303028,0.0557559;-0.196517;1.101412,-0.01605934;-0.5702503;1.661568,0
2032,15836;-1136;2596,-7291;1191;2301,-0.07175618;0.05704667;1.71775,-0.0375037;-0.1351402;1.739318,0.1257589;-0.1315086;1.68649,0.1934682;-0.2179441;1.506894,0.1447679;-0.2229871;1.305326,0.0589473;-0.2181339;1.100301,-0.01600935;-0.5699559;1.661151,0
2065,16052;-756;2992,-7433;1210;405,-0.0718234;0.05806709;1.7168,-0.03632187;-0.1344207;1.737248,0.1247399;-0.1333376;1.685181,0.1947696;-0.2221769;1.50778,0.1477611;-0.2399807;1.306578,0.06139668;-0.2377152;1.094669,-0.01732577;-0.5695226;1.658533,0
2099,14752;-3536;3048,-9920;1745;-830,-0.07174379;0.0583349;1.717338,-0.03615354;-0.1343661;1.73733,0.1244222;-0.1344953;1.684916,0.1975627;-0.2284671;1.511695,0.1376262;-0.2458764;1.313958,0.1388315;-0.2593742;1.247167,-0.01789939;-0.5698632;1.658412,0
2132,16696;-4008;4056,-494;1200;-396,-0.07177246;0.05875484;1.717063,-0.03555365;-0.1341297;1.73658,0.1241967;-0.1355723;1.684022,0.1981491;-0.231764;1.512468,0.1690263;-0.2838553;1.319543,0.1505169;-0.2796454;1.27066,-0.01802695;-0.5703808;1.657555,0
2166,15612;-3432;3404,-3224;404;-3072,-0.07171536;0.0588572;1.717342,-0.03542832;-0.1340753;1.736667,0.1241349;-0.1363127;1.683835,0.198388;-0.2365742;1.521465,0.1693964;-0.2878821;1.333002,0.1513909;-0.2897758;1.286005,-0.01866801;-0.5700351;1.657947,0
2198,16200;-3084;3708,1357;1223;-4243,-0.07162339;0.05924941;1.71673,-0.03487914;-0.1339625;1.735408,0.1241587;-0.1372187;1.683116,0.1981359;-0.2388686;1.523301,0.1683005;-0.286312;1.378594,0.1623919;-0.297854;1.322842,-0.01981792;-0.5707642;1.656225,0
2232,14688;-1708;4316,160;1804;-5405,-0.07137022;0.0592641;1.717166,-0.03458825;-0.1340147;1.735698,0.1243;-0.137928;1.683099,0.1977351;-0.2446726;1.530326,0.1636162;-0.3023113;1.349814,0.1536863;-0.3117861;1.304095,-0.02087877;-0.5725926;1.65651,0
2265,14696;-2048;4536,1170;1938;-6816,-0.07124602;0.05934742;1.717103,-0.03440854;-0.1339989;1.735603,0.1245796;-0.1389342;1.68272,0.1978961;-0.2479408;1.532403,0.1644523;-0.3050298;1.361128,0.1565211;-0.3197035;1.311747,-0.02149833;-0.5727756;1.657585,0
2298,14216;-544;5208,2496;1960;-8269,-0.07109081;0.0592011;1.716576,-0.03418124;-0.1340525;1.735287,0.1249009;-0.1397611;1.682119,0.1978183;-0.2507851;1.533239,0.1644784;-0.3080316;1.363696,0.1569536;-0.3267978;1.313305,-0.02170352;-0.5728222;1.657723,0
2332,13624;392;5328,3153;1391;-9091,-0.07087224;0.05908846;1.716317,-0.03379169;-0.1341269;1.735138,0.1247635;-0.1488998;1.678111,0.1972878;-0.2551447;1.536321,0.1643463;-0.3242;1.352541,0.1535975;-0.3375698;1.303916,-0.02141793;-0.5733889;1.657857,0
2366,13152;1272;4776,5711;1020;-10323,-0.07069016;0.05893364;1.716167,-0.0335988;-0.1342739;1.735118,0.125025;-0.1511406;1.677221,0.1975261;-0.2595121;1.538611,0.1647119;-0.3270345;1.355704,0.1546123;-0.3446068;1.309222,-0.02092735;-0.5741056;1.658392,0
