Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
5966,14116;-8872;2212,1225;-1576;586,-0.1034077;0.09507487;1.680611,-0.2673274;-0.4096183;1.174573,-0.2901257;-0.3825151;1.353325,-0.2869901;-0.3295333;1.545597,-0.2339171;-0.1807158;1.667976,-0.06400757;-0.1098261;1.692771,-0.01193989;-0.5191357;1.609683,2
6000,14192;-8736;2120,1126;-1209;537,-0.1034056;0.09536809;1.681898,-0.2668369;-0.3981596;1.169331,-0.2691103;-0.3953718;1.224984,-0.2952083;-0.3414719;1.460907,-0.2335604;-0.1806013;1.66876,-0.06392708;-0.1097829;1.693515,-0.01210789;-0.5184758;1.610565,2
6033,13876;-9400;2428,705;-1113;935,-0.1034069;0.09535981;1.681912,-0.267163;-0.3862399;1.162702,-0.2791449;-0.368654;1.275753,-0.2933162;-0.3198755;1.538099,-0.2333804;-0.1804887;1.668883,-0.06386217;-0.1097392;1.693532,-0.01189448;-0.5184458;1.610555,2
6067,14020;-9640;2256,1340;-942;858,-0.1032441;0.09546392;1.681536,-0.2661734;-0.3748721;1.157225,-0.2770996;-0.3649896;1.259771,-0.2985875;-0.3277283;1.454794,-0.2332245;-0.1804187;1.668922,-0.06380676;-0.1096821;1.693338,-0.01183582;-0.5184647;1.610556,2
6100,13748;-9872;2524,956;-710;1132,-0.1032024;0.09538917;1.681246,-0.2653613;-0.3661733;1.15377,-0.2748764;-0.3657913;1.233774,-0.2986028;-0.3265984;1.456186,-0.2330902;-0.1803991;1.668955,-0.06373149;-0.1097027;1.693211,-0.01134336;-0.5184711;1.610223,2
6133,13628;-10064;2740,1210;-746;932,-0.1031726;0.09543669;1.681229,-0.267263;-0.3573221;1.154343,-0.2773871;-0.3392355;1.213456,-0.3034474;-0.320585;1.470584,-0.2356407;-0.1807397;1.666521,-0.06372974;-0.1096917;1.693207,-0.01125364;-0.5184537;1.610176,2
6167,13548;-9688;2556,759;-529;860,-0.1031631;0.09544893;1.681238,-0.2681477;-0.3528454;1.151767,-0.2658152;-0.409983;1.223517,-0.3042453;-0.3194579;1.471822,-0.2374393;-0.180923;1.664799,-0.06368683;-0.109659;1.693228,-0.01116658;-0.5184008;1.610157,2
6199,13352;-10216;2668,233;-298;950,-0.1031457;0.09572183;1.681346,-0.2672969;-0.3451421;1.154654,-0.2917014;-0.3764782;1.21138,-0.3045829;-0.3191572;1.47205,-0.2366792;-0.1806704;1.665482,-0.06370124;-0.1096093;1.69319,-0.01104055;-0.5183451;1.610146,2
6234,13372;-9740;2400,-831;-53;602,-0.1031493;0.09571826;1.681345,-0.265409;-0.3409199;1.151591,-0.2897643;-0.3479587;1.207363,-0.3036136;-0.3179594;1.472602,-0.2361063;-0.1806109;1.665906,-0.06370622;-0.1095933;1.693204,-0.01097991;-0.5183312;1.610133,2
6267,13512;-8644;1936,-999;-95;631,-0.1031653;0.09575435;1.68131,-0.2624718;-0.3404613;1.151234,-0.2943427;-0.3431635;1.206968,-0.3030675;-0.3173417;1.472868,-0.2355933;-0.1804604;1.666197,-0.06363875;-0.1095514;1.693103,-0.01081335;-0.5183024;1.610065,2
6299,13388;-8308;1820,-2495;597;1182,-0.1030032;0.09576004;1.680466,-0.2612627;-0.3433099;1.148636,-0.2624396;-0.4016522;1.222344,-0.3024567;-0.3164006;1.472299,-0.2350594;-0.1803067;1.666241,-0.06348304;-0.1095467;1.692435,-0.01054557;-0.5183014;1.609667,2
