Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
899,-5384;13724;-6936,1096;-381;-1097,-0.05725501;0.2330517;1.150813,-0.06971198;0.01394494;1.218784,0.09491768;-0.01427319;1.209112,0.1224853;-0.2445426;1.15503,0.1278394;-0.267457;0.9028994,0.1318579;-0.2097238;0.8029972,-0.07042047;-0.4559719;1.274912,0
933,-5424;13656;-6756,1281;-476;-913,-0.05711778;0.2331697;1.150896,-0.06968701;0.01403584;1.218722,0.09506128;-0.01408509;1.208953,0.1213858;-0.2391757;1.156191,0.1484038;-0.219381;0.9052114,0.130501;-0.1973833;0.8044364,-0.07033493;-0.4558579;1.274843,0
969,-5224;13716;-6852,1205;-445;-1025,-0.05684666;0.2333766;1.151263,-0.0696512;0.01418073;1.218818,0.09515885;-0.01386122;1.20902,0.1202781;-0.2384723;1.159801,0.1268083;-0.2256892;0.9070185,0.1296664;-0.187899;0.8093203,-0.07029641;-0.4557864;1.274911,0
1000,-5476;13640;-6708,1066;-346;-947,-0.05665273;0.2335805;1.151628,-0.06957846;0.01429108;1.218917,0.09526634;-0.01366718;1.209079,0.1193966;-0.2366976;1.162875,0.1267697;-0.2241184;0.9101061,0.128998;-0.1785311;0.8099793,-0.07011896;-0.4555619;1.275183,0
1031,-5284;13600;-6588,1278;-515;-974,-0.0564163;0.2337392;1.151944,-0.06955604;0.0143934;1.218985,0.09543853;-0.01336288;1.209148,0.1179472;-0.2314661;1.172898,0.1256515;-0.2187057;0.9201525,0.1271257;-0.1697218;0.8098478,-0.07015203;-0.4554412;1.275225,0
1067,-5368;13536;-6668,1146;-428;-1037,-0.05615477;0.2339365;1.152297,-0.06950665;0.01455569;1.219071,0.09557097;-0.01319401;1.209197,0.09630382;-0.2549469;1.178514,0.1217245;-0.2185037;0.9292607,0.1256494;-0.1621719;0.8118793,-0.07012181;-0.4553654;1.275294,0
1098,-5380;13572;-6632,1237;-358;-1001,-0.05597697;0.2341113;1.152578,-0.06948573;0.01467087;1.219208,0.09567269;-0.01340862;1.209592,0.09509635;-0.2561221;1.174713,0.1215207;-0.2125415;0.9267138,0.1246519;-0.1551581;0.8154381,-0.07004058;-0.455278;1.275438,0
1132,-5448;13676;-6932,1223;-435;-960,-0.05576726;0.234278;1.152892,-0.0694744;0.01479898;1.219279,0.09578552;-0.01310035;1.209617,0.09482384;-0.2571915;1.17398,0.1202672;-0.2059607;0.9273452,0.1226422;-0.1491343;0.8159901,-0.06995238;-0.4551036;1.275617,0
1168,-5364;13588;-6608,1133;-434;-936,-0.05564452;0.2343401;1.152931,-0.06944317;0.01487449;1.219248,0.09582466;-0.01285346;1.209406,0.09108337;-0.2513608;1.171051,0.1195075;-0.2008398;0.9245922,0.1223549;-0.1438717;0.8149104,-0.06988309;-0.4549418;1.275604,0
1201,-5296;13600;-6868,1279;-330;-979,-0.05546026;0.2344704;1.153249,-0.06939591;0.0149859;1.219385,0.09582375;-0.01304798;1.209688,0.0873726;-0.2323167;1.165714,0.1191284;-0.1921808;0.9177501,0.1211652;-0.1386615;0.8209373,-0.06993837;-0.4548153;1.275856,0
1235,-5440;13604;-6808,1279;-229;-859,-0.05529574;0.2345833;1.153462,-0.06938783;0.01506227;1.219433,0.09583966;-0.0126971;1.209626,0.08594909;-0.2299005;1.167995,0.1184429;-0.1888325;0.9202799,0.121249;-0.1345066;0.8212135,-0.06991759;-0.4546562;1.275979,0
1267,-5352;13736;-6764,1270;-497;-744,-0.05494675;0.234904;1.15453,-0.0694439;0.01544628;1.22018,0.09586753;-0.01210875;1.210146,0.08452095;-0.2338946;1.173606,0.1174213;-0.1869569;0.9269922,0.1204927;-0.131024;0.8246453,-0.06979033;-0.4543783;1.276565,0
1299,-5240;13548;-6916,1304;-434;-978,-0.05476756;0.2350523;1.154773,-0.06942569;0.0156189;1.220328,0.09585238;-0.011894;1.21013,0.08397502;-0.2303313;1.173268,0.1174344;-0.1843482;0.9265491,0.1207059;-0.1287919;0.8242255,-0.06979413;-0.4540926;1.276779,0
1332,-5416;13660;-6864,1357;-576;-771,-0.05457505;0.2351207;1.154935,-0.06939641;0.01569914;1.22034,0.09583462;-0.01169122;1.210117,0.08330014;-0.2285285;1.172894,0.1174463;-0.1821409;0.9263441,0.1213901;-0.1260466;0.8228963,-0.06975524;-0.4539137;1.276896,0
1367,-5224;13616;-6824,1139;-322;-878,-0.05443621;0.2351392;1.154893,-0.06940342;0.01573391;1.220317,0.09584042;-0.01195762;1.210172,0.08305372;-0.2307874;1.173383,0.1173065;-0.1810371;0.9275041,0.120901;-0.1242413;0.822634,-0.06979615;-0.4538572;1.276883,0
1402,-5344;13560;-6820,1387;-631;-707,-0.05426186;0.2351964;1.154906,-0.06936115;0.01578021;1.220227,0.09583957;-0.01163781;1.209878,0.08659966;-0.2337123;1.156618,0.1200875;-0.1774182;0.9120428,0.1209113;-0.1233668;0.820923,-0.06979056;-0.4537454;1.276728,0
1433,-5120;13588;-6968,1472;-200;-997,-0.05383699;0.2354383;1.155743,-0.06935326;0.01609913;1.220997,0.09589063;-0.01174202;1.210373,0.1014247;-0.2405216;1.134643,0.1230001;-0.1728578;0.8973708,0.1215833;-0.1228185;0.8254325,-0.06971645;-0.4536203;1.277348,0
1465,-5036;13568;-7072,1830;-87;-1097,-0.05365176;0.235458;1.155825,-0.06936295;0.01618464;1.221013,0.09590518;-0.01204613;1.210535,0.08448806;-0.2363694;1.175484,0.1183158;-0.1802412;0.9309241,0.1212213;-0.1230986;0.8214222,-0.06971189;-0.4535652;1.277366,0
1500,-5224;14772;-7676,902;1009;-2759,-0.05349817;0.2354953;1.155929,-0.0693424;0.01626716;1.220992,0.09591278;-0.01231874;1.210634,0.08443474;-0.2363837;1.175436,0.1184536;-0.1798173;0.9310031,0.1222044;-0.1247973;0.8201551,-0.06972166;-0.4535096;1.277374,0
1532,-5588;14804;-8852,1111;3107;-3524,-0.05326091;0.235611;1.15632,-0.06928986;0.01636868;1.221233,0.09593766;-0.01260974;1.210919,0.1064525;-0.2412089;1.13015,0.1236111;-0.1718858;0.897676,0.1228721;-0.1265805;0.8218802,-0.06980548;-0.4534013;1.277614,0
1566,-4756;16800;-8564,-238;4644;-1913,-0.05313366;0.2356319;1.156308,-0.06924657;0.01637004;1.221174,0.09595245;-0.0123829;1.210775,0.1067659;-0.2416457;1.128973,0.1238792;-0.1711464;0.8958423,0.1226117;-0.1284863;0.8161551,-0.06982477;-0.4533747;1.277622,0
1602,-5292;19628;-8796,-5068;4743;3092,-0.05296441;0.2356947;1.156556,-0.06921257;0.01649791;1.221405,0.09599916;-0.01219639;1.210916,0.08570559;-0.2444799;1.177107,0.1183934;-0.1812184;0.9341391,0.1242406;-0.1326056;0.818611,-0.0698645;-0.4532206;1.277896,0
