Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
428,268;12096;10172,1369;-447;-1189,-0.07190021;0.2388459;1.166683,-0.07496484;0.01629542;1.23056,0.08802125;-0.0128389;1.200324,0.1135195;-0.2295026;1.066654,0.1260962;-0.410902;0.9455463,0.129967;-0.448477;0.9070222,-0.07295892;-0.454429;1.273776,0
465,188;11916;9948,1590;-135;-1148,-0.07225353;0.2393441;1.167418,-0.07527358;0.01687271;1.231,0.08808021;-0.01241005;1.199508,0.1134694;-0.2273398;1.062812,0.1257251;-0.4062914;0.9422467,0.1289414;-0.4449686;0.8983694,-0.0727329;-0.4541844;1.273467,0
495,268;12176;10384,1804;-524;-982,-0.07269347;0.240025;1.168745,-0.07549186;0.01746788;1.231715,0.08813304;-0.0122224;1.199111,0.1138496;-0.2252679;1.059338,0.1272136;-0.4044798;0.9355361,0.1285227;-0.4412946;0.8915538,-0.07248691;-0.4538738;1.273488,0
529,220;12216;10512,1318;-570;-958,-0.07295085;0.2404059;1.169408,-0.07563058;0.01787106;1.232185,0.08874878;-0.01513387;1.199961,0.1157116;-0.2191163;1.046719,0.127846;-0.4014492;0.9271088,0.1315207;-0.4418103;0.8748671,-0.07229551;-0.4539178;1.273337,0
568,128;12216;10004,1435;-615;-923,-0.07345673;0.2412795;1.171585,-0.07586575;0.01858735;1.233556,0.08928395;-0.01669456;1.200629,0.1167772;-0.2142362;1.038841,0.1301988;-0.4057052;0.9072765,0.1383095;-0.429942;0.8602788,-0.07187044;-0.4539011;1.273631,0
600,148;12160;10100,1399;-634;-877,-0.07377841;0.2417966;1.172523,-0.07593289;0.01910648;1.234252,0.08965524;-0.01770588;1.200699,0.1187185;-0.2063211;1.028397,0.1438244;-0.3605379;0.829436,0.1559629;-0.393247;0.7755067,-0.07147589;-0.4538967;1.273693,0
631,152;11968;10268,1235;-549;-973,-0.07395972;0.2421495;1.17301,-0.07585538;0.0195727;1.234524,0.0900593;-0.01834619;1.200448,0.1194857;-0.1960044;1.016512,0.1493428;-0.3301261;0.8244419,0.15482;-0.3514141;0.7841026,-0.07072224;-0.4538665;1.273522,0
667,376;12064;9996,1202;-496;-982,-0.074233;0.2429142;1.174405,-0.07577774;0.02033807;1.235536,0.09036107;-0.0185996;1.200286,0.1200495;-0.187004;1.007628,0.1389599;-0.2880642;0.8491369,0.1573717;-0.3345563;0.766761,-0.07015777;-0.4536825;1.273943,0
696,324;12048;10052,1059;-515;-898,-0.07443882;0.2434712;1.175482,-0.07570181;0.02127509;1.236523,0.09255733;-0.008784122;1.18903,0.1206655;-0.1734573;0.992757,0.15447;-0.3025921;0.7772926,0.1595313;-0.3136654;0.7380062,-0.06809396;-0.4524624;1.274314,0
730,376;12376;9988,1220;-494;-1129,-0.0744675;0.2436949;1.17566,-0.07546809;0.02195678;1.236856,0.09266327;-0.01009016;1.190068,0.1111298;-0.1513026;0.9749279,0.1538035;-0.2689727;0.7751536,0.1604433;-0.2843211;0.7192487,-0.06707451;-0.4519215;1.274753,0
763,228;12328;9880,1140;-342;-1089,-0.07451832;0.2447522;1.177361,-0.075114;0.0235245;1.238858,0.09283006;-0.009038206;1.189197,0.1137768;-0.1397122;0.9676551,0.1559783;-0.2508429;0.7653891,0.1631338;-0.2630961;0.6944166,-0.06614278;-0.4509407;1.276115,0
800,192;12296;9988,1270;-350;-806,-0.07449114;0.2457093;1.17911,-0.0748328;0.02459618;1.240209,0.09284649;-0.007518943;1.188385,0.1200769;-0.1299591;0.9628317,0.1535766;-0.2210779;0.728461,0.1636479;-0.2325565;0.6707721,-0.06569333;-0.4499381;1.277898,0
832,128;12208;10188,1450;-374;-797,-0.07439495;0.2461402;1.179495,-0.07466637;0.02532533;1.240556,0.09259574;-0.005638163;1.187104,0.1230526;-0.1115072;0.9536834,0.1544224;-0.1859455;0.7132412,0.1633215;-0.1979788;0.6490451,-0.06498768;-0.449099;1.278203,0
877,244;12136;10024,1338;-307;-909,-0.0742242;0.2465264;1.179763,-0.07453485;0.02606713;1.240865,0.09226985;-0.003483331;1.18607,0.1238034;-0.09706468;0.9475968,0.1540742;-0.1555517;0.7027159,0.163776;-0.1630452;0.6314251,-0.06479576;-0.44823;1.278512,0
898,80;12160;10144,1330;-530;-813,-0.07406845;0.2467931;1.17988,-0.07443573;0.02673794;1.240872,0.0916035;-0.001408161;1.185277,0.1041903;-0.05127725;0.9744566,0.1443279;-0.1104194;0.7312274,0.1649385;-0.1289491;0.6118702,-0.06464805;-0.4476389;1.278397,0
931,164;12144;10188,1275;-446;-1005,-0.07360129;0.2477885;1.181343,-0.07446698;0.02799685;1.242185,0.0881539;0.008565357;1.185109,0.09756555;-0.07364155;0.969447,0.1456362;-0.06667507;0.7476519,0.1610358;-0.07535138;0.6441,-0.06438998;-0.4455584;1.279832,0
962,328;12020;10004,1177;-411;-1079,-0.07326143;0.2483368;1.181814,-0.07440572;0.02917452;1.242636,0.08489525;0.01269215;1.185987,0.1041437;-0.02124067;0.9901202,0.1412971;-0.05246565;0.7683356,0.1598244;-0.05532306;0.6608766,-0.0640238;-0.4446684;1.280351,0
998,184;12264;9992,1100;-463;-1069,-0.07290868;0.2490151;1.182318,-0.07257393;0.02798662;1.241231,0.08281229;0.01467742;1.186546,0.09748757;-0.02118471;0.9836574,0.1533122;-0.03936056;0.7734443,0.1647483;-0.0193289;0.6179012,-0.06370955;-0.4440691;1.28053,0
1031,204;12444;9940,1116;-459;-1034,-0.07252336;0.2495665;1.182528,-0.07346999;0.02999668;1.241895,0.06454072;0.03755669;1.197139,0.09209359;-0.0126647;0.9765257,0.1554427;-0.03081779;0.7686786,0.1647073;0.01506527;0.6186791,-0.06286135;-0.4413183;1.281614,0
1064,108;12452;9996,1163;-476;-927,-0.07216018;0.2501015;1.182708,-0.07216498;0.02901085;1.240774,0.06679047;0.03399286;1.195238,0.1130664;-0.007106476;0.944734,0.153076;0.03344499;0.6979062,0.1632644;0.05446424;0.6223791,-0.06199593;-0.4408945;1.281924,0
1097,132;12392;9828,1141;-559;-754,-0.07175515;0.2508517;1.183021,-0.07135161;0.02852295;1.240153,0.066175;0.03274898;1.195121,0.115032;-0.000859206;0.9439939,0.1543009;0.04701319;0.7349133,0.1648086;0.08764139;0.6297944,-0.06131315;-0.4402804;1.282719,0
1130,64;12252;10176,1093;-295;-724,-0.07128498;0.2512458;1.182822,-0.07052313;0.02807708;1.239308,0.06512719;0.03005151;1.194272,0.1224158;0.02800046;0.9426788,0.1565427;0.09816623;0.7023343,0.1640889;0.1257163;0.6203428,-0.06106241;-0.440008;1.282734,0
1165,248;12056;10064,1160;-850;-852,-0.07066601;0.2514922;1.182521,-0.07208285;0.03054815;1.239723,0.06468955;0.02827645;1.19335,0.1287318;0.05540301;0.9448273,0.1561186;0.1196988;0.7010801,0.1651957;0.1583177;0.6186062,-0.06118589;-0.439387;1.283074,0
1197,216;11880;10196,1419;-469;-924,-0.06993682;0.2516676;1.18266,-0.07132883;0.02981413;1.239138,0.06479284;0.02647692;1.193114,0.1292798;0.06727102;0.9465685,0.1589322;0.1577124;0.7114003,0.1628724;0.1984972;0.6317077,-0.06111003;-0.4389717;1.283727,0
1233,96;12012;9968,1080;-464;-1228,-0.06887723;0.2515211;1.182318,-0.07055174;0.02920514;1.23832,0.0652125;0.02593552;1.192127,0.1241293;0.09208025;0.9497019,0.1585375;0.1871733;0.7169981,0.1598232;0.2358232;0.6406825,-0.06112341;-0.438427;1.284058,0
1266,124;12400;10060,1103;-457;-1168,-0.06790324;0.252157;1.180634,-0.07015214;0.02877044;1.237346,0.06549777;0.02588688;1.190707,0.1218263;0.1061831;0.9519597,0.1569257;0.2156111;0.7257267,0.1549796;0.2737405;0.6490951,-0.06100649;-0.4375607;1.283977,0
1298,288;12400;10072,1100;-259;-1111,-0.06741992;0.2528408;1.180184,-0.0700332;0.02855156;1.237289,0.06591821;0.02693016;1.190159,0.1212643;0.1256903;0.9582096,0.1508245;0.2596123;0.7448139,0.1520147;0.3022016;0.6819316,-0.06070113;-0.4354959;1.285385,0
1331,56;12424;9984,986;-454;-1094,-0.06589045;0.2531554;1.178108,-0.07129475;0.03245082;1.237183,0.06723339;0.03436258;1.186299,0.1197432;0.1413343;0.9573576,0.1497734;0.2823578;0.7487388,0.1478941;0.3293521;0.6989243,-0.06062467;-0.4302737;1.285909,0
1364,396;12420;10020,1168;-451;-852,-0.06266952;0.2531545;1.175735,-0.06988911;0.03690098;1.236621,0.06776747;0.0344416;1.186116,0.118205;0.158439;0.9655118,0.1458934;0.3033372;0.7801446,0.145532;0.3512965;0.735994,-0.06262219;-0.4253866;1.286518,0
1397,132;12316;10172,1029;-417;-892,-0.06055183;0.2529964;1.174624,-0.06564844;0.0371495;1.235618,0.06881743;0.03537346;1.185854,0.1163798;0.1704066;0.9712479,0.1431001;0.3141011;0.7976802,0.143573;0.3666938;0.7690387,-0.06485799;-0.4186705;1.288163,0
1431,92;12068;9984,1243;-654;-828,-0.05904058;0.2537522;1.172876,-0.06323425;0.03274859;1.234188,0.06906927;0.0353356;1.18595,0.1142309;0.1867604;0.9822255,0.1380244;0.3344179;0.8185537,0.1416416;0.3801121;0.796418,-0.06646287;-0.416378;1.288138,0
1468,144;12208;9996,1228;-415;-923,-0.05488378;0.2556146;1.168879,-0.061542;0.03261412;1.232842,0.07194094;0.04079606;1.184424,0.115339;0.1972909;0.9842687,0.134856;0.3463269;0.8346969,0.1397826;0.3932904;0.8193408,-0.06942689;-0.40864;1.28809,0
1499,228;11984;9916,1038;-375;-930,-0.05202549;0.2578623;1.164277,-0.06003149;0.03357315;1.229834,0.07238241;0.04230653;1.184442,0.1147523;0.2075649;0.9914263,0.1305395;0.3588186;0.8515621,0.1358714;0.4053644;0.8417287,-0.07107051;-0.4047258;1.287539,0
1529,140;12088;9956,1244;-339;-1143,-0.05033502;0.2581863;1.163286,-0.05891528;0.03373492;1.229099,0.07311502;0.04684604;1.186614,0.1154518;0.2192669;1.000207,0.1254086;0.3745256;0.8738002,0.13383;0.4191315;0.8646939,-0.07212592;-0.4003507;1.288211,0
1564,84;12356;9960,1182;-384;-1078,-0.03721531;0.2702933;1.151866,-0.04916374;0.04269363;1.220259,0.07684322;0.04917602;1.187135,0.1155903;0.2271995;1.005457,0.1225563;0.414478;0.8863441,0.1324098;0.4440016;0.8793691,-0.0725555;-0.3971024;1.288344,0
1596,80;12300;10132,1203;-425;-916,-0.02025728;0.3031134;1.129532,-0.03468765;0.0702474;1.200704,0.07790484;0.05002281;1.187182,0.1148705;0.2347426;1.012209,0.1215629;0.416595;0.8891951,0.1287785;0.4507478;0.8918836,-0.07327846;-0.3922834;1.286737,0
1631,120;12140;10136,1344;-431;-988,-0.01824798;0.3089801;1.12752,-0.03261285;0.076426;1.198665,0.07998718;0.05297942;1.188029,0.1143953;0.2430186;1.018587,0.1177415;0.4670056;0.9078569,0.1240939;0.4866906;0.9024338,-0.07437807;-0.3865256;1.28726,0
1665,112;12248;10072,1000;-333;-1112,-0.0139433;0.3181554;1.12578,-0.02862034;0.08481779;1.197478,0.08064802;0.06336144;1.191806,0.1145622;0.2584296;1.028507,0.1178955;0.4764227;0.9172643,0.1245686;0.5017702;0.9271455,-0.07345967;-0.3816666;1.289756,0
1699,-100;12240;10280,1053;-432;-1070,-0.01392806;0.3182552;1.125671,-0.02852016;0.08492433;1.197314,0.0795204;0.06011774;1.191864,0.1132066;0.2600723;1.034861,0.1174979;0.4795795;0.9268228,0.1203666;0.5052567;0.9367583,-0.07262784;-0.3817591;1.289476,0
1730,68;12268;9920,1345;-548;-922,-0.01391068;0.3185332;1.125634,-0.02848375;0.08531167;1.19728,0.07931837;0.05945976;1.191995,0.1077335;0.2697596;1.048921,0.1138231;0.4829671;0.9383297,0.1200956;0.510116;0.9487165,-0.07308406;-0.3800262;1.290166,0
1762,116;12288;9752,1052;-363;-1028,-0.01347562;0.3197804;1.124972,-0.02796899;0.08666894;1.196557,0.08011528;0.06362194;1.191893,0.1077995;0.2739853;1.048822,0.1105236;0.4876953;0.9479081,0.1183624;0.5101792;0.9568612,-0.07268382;-0.3782018;1.289609,0
1796,100;12288;9864,1215;-336;-873,-0.006649688;0.3391785;1.120103,-0.02220411;0.103525;1.192736,0.08534167;0.08332273;1.192704,0.1109117;0.291858;1.046652,0.1082436;0.4924951;0.9571146,0.1146559;0.5128084;0.9670117,-0.0721866;-0.3723789;1.289939,0
1829,164;12256;9836,1313;-277;-1007,-0.007121124;0.3375582;1.12063,-0.02242093;0.1026326;1.193015,0.08422355;0.07948666;1.194077,0.1054543;0.2959966;1.060295,0.1063849;0.4967552;0.9673001,0.1138806;0.5160118;0.9754531,-0.07202815;-0.3718757;1.289954,0
1864,88;12204;9964,1139;-379;-930,-0.007242231;0.3371272;1.120802,-0.02249171;0.1024538;1.193112,0.08366656;0.07729883;1.194595,0.1049504;0.294697;1.062372,0.1055105;0.4978253;0.9697626,0.110503;0.5183368;0.9774336,-0.07241336;-0.3702243;1.290257,0
1899,-12;12316;9932,1361;-143;-1060,-0.006852699;0.3379746;1.120927,-0.02214496;0.103256;1.193264,0.08344685;0.0759253;1.195463,0.1044496;0.2944448;1.065211,0.1069352;0.476003;0.9844354,0.1081519;0.5051899;0.9892105,-0.0724109;-0.3695068;1.290621,0
1929,80;12408;10264,1169;-299;-952,-0.00442538;0.3442228;1.121645,-0.02005554;0.1088185;1.194013,0.08524731;0.07729696;1.199539,0.104306;0.2957194;1.068841,0.1070613;0.4751009;0.9859617,0.1051438;0.5038956;0.9931688,-0.07200287;-0.3669718;1.29117,0
1962,0;12292;10392,1213;-448;-949,-0.004419783;0.3442184;1.121669,-0.02001689;0.1088193;1.194037,0.08490093;0.0755707;1.200076,0.1040556;0.2942905;1.069914,0.1002337;0.5009654;0.9913543,0.1056284;0.5231397;0.9949217,-0.07093695;-0.366868;1.291096,0
1996,32;12220;10212,1148;-508;-941,-0.004412357;0.3442079;1.121717,-0.01997389;0.1088108;1.194069,0.08447661;0.07440349;1.200285,0.1040076;0.2933597;1.070602,0.09996212;0.5036002;0.9920323,0.105434;0.5275118;0.9984934,-0.06995961;-0.3669856;1.290789,0
2030,80;12304;9912,1132;-658;-973,-0.004406869;0.3442268;1.121764,-0.01992561;0.1088333;1.194099,0.08435868;0.07386128;1.200403,0.1038943;0.2930868;1.071211,0.09975175;0.5051841;0.9930362,0.1057415;0.5299601;1.000253,-0.06885941;-0.3669414;1.290423,0
2063,4;12344;9804,1124;-654;-926,-0.004368694;0.3442815;1.121799,-0.0198371;0.1088986;1.194121,0.08430128;0.07353505;1.200526,0.1039796;0.2929539;1.071715,0.09973899;0.5065653;0.9939753,0.1079506;0.5294769;0.9988813,-0.06835539;-0.3668799;1.290277,0
2101,136;12252;9812,945;-503;-912,-0.004272398;0.3443507;1.121817,-0.01966976;0.1089752;1.19412,0.08432177;0.07310925;1.200702,0.104104;0.2926189;1.072073,0.1059962;0.4843787;0.9980024,0.1073526;0.5130574;1.000513,-0.06778114;-0.3669159;1.290071,0
2130,96;12156;9856,1073;-491;-898,-0.004244674;0.3443777;1.121864,-0.01960571;0.1090024;1.19415,0.08431152;0.0724415;1.200897,0.1028726;0.2960608;1.0801,0.1048506;0.4987165;0.9970582,0.1091114;0.5138756;0.9958293,-0.06732585;-0.3669426;1.289865,0
2164,172;12348;9832,1158;-481;-941,-0.004213433;0.3443963;1.121909,-0.01957847;0.1090178;1.19417,0.08427645;0.07186677;1.201004,0.1030645;0.2954759;1.080216,0.1050192;0.5024486;0.9961541,0.112069;0.5239867;0.9944152,-0.06742006;-0.3669321;1.289764,0
2196,28;12396;9724,1032;-286;-883,-0.004194559;0.3443711;1.121978,-0.01956358;0.108994;1.194239,0.08418638;0.0714405;1.201134,0.1032348;0.2949466;1.080173,0.1103645;0.4830576;0.9954386,0.1102985;0.5083658;0.9949789,-0.06779278;-0.3670321;1.290079,0
2230,100;12264;9892,1276;-292;-792,-0.004186108;0.3443246;1.122047,-0.01956249;0.1089539;1.194303,0.08415902;0.07123516;1.201183,0.1036416;0.2944741;1.079752,0.1087563;0.4977873;0.9948079,0.1117635;0.5112904;0.9949903,-0.06822474;-0.3671175;1.290315,0
2262,44;12340;10156,971;-302;-945,-0.004142591;0.3443564;1.122192,-0.01953509;0.1090001;1.194478,0.08414761;0.07115696;1.201262,0.1042636;0.2940507;1.079248,0.1131995;0.4782248;0.9934161,0.1149457;0.5028939;0.9917576,-0.06889192;-0.3668496;1.291167,0
2298,-28;12088;9992,1312;-302;-857,-0.004154606;0.3443252;1.122371,-0.01953176;0.1089997;1.194649,0.08439818;0.07353754;1.200536,0.106237;0.2951202;1.076282,0.1119942;0.4950528;0.9899299,0.1158816;0.5067152;0.9888875,-0.06892171;-0.366609;1.291428,0
2329,48;12172;10108,1236;-513;-864,-0.004105283;0.3443136;1.122591,-0.01946256;0.1090318;1.194892,0.08557956;0.08001333;1.201202,0.1087383;0.2989594;1.072296,0.1129234;0.4970773;0.9877324,0.1241523;0.5152893;0.9799262,-0.0688307;-0.3660931;1.292024,0
2364,148;12300;10056,1204;-516;-907,-0.00416791;0.3438852;1.1227,-0.01948983;0.1087284;1.194945,0.08557519;0.08035546;1.201142,0.1123207;0.2950366;1.065359,0.1161758;0.4966529;0.9781756,0.1247396;0.5111959;0.9642406,-0.068834;-0.3661016;1.291926,0
2397,96;12248;9956,1198;-478;-934,-0.004368905;0.3431481;1.12309,-0.01958086;0.1082296;1.195179,0.08542528;0.08262437;1.200895,0.1152828;0.2938164;1.060018,0.1186269;0.4963612;0.9701729,0.1261448;0.5117585;0.9589696,-0.06868467;-0.3660432;1.291732,0
2427,52;12200;9980,1139;-486;-959,-0.004828346;0.3415712;1.123586,-0.0198011;0.1069575;1.195458,0.08540037;0.08356782;1.200633,0.1183934;0.2883556;1.050638,0.121272;0.4938172;0.959196,0.1299934;0.5076389;0.9470797,-0.06787694;-0.3665512;1.290984,0
2464,112;12196;9928,1365;-582;-892,-0.0058033;0.3387824;1.12502,-0.02047411;0.1045812;1.196547,0.08523922;0.08427142;1.200555,0.1205903;0.2851487;1.045575,0.1231838;0.4919624;0.9533899,0.1348023;0.5031027;0.936836,-0.06757999;-0.3671841;1.290778,0
2496,120;12356;9808,1068;-378;-1182,-0.009232248;0.3292442;1.130837,-0.02300544;0.09672192;1.200902,0.08515009;0.08431337;1.200506,0.120817;0.2795006;1.038048,0.1329834;0.4391314;0.9315059,0.1386736;0.4666275;0.9247063,-0.06715249;-0.3686469;1.290077,0
2531,100;12260;10000,1220;-410;-932,-0.009808609;0.3271239;1.131607,-0.02381845;0.09445605;1.201869,0.08522219;0.08243042;1.201075,0.1219005;0.273282;1.033475,0.1336484;0.4262355;0.9281698,0.1407712;0.4551554;0.9172428,-0.0688072;-0.3701285;1.291056,0
2564,56;12480;10088,1148;-590;-1007,-0.01400948;0.3169656;1.135613,-0.02751438;0.08563169;1.20497,0.08508789;0.08237506;1.200984,0.1233303;0.264875;1.024224,0.1359507;0.4154411;0.9151721,0.145465;0.4412321;0.8979089,-0.06983569;-0.3725499;1.289938,0
2595,-112;12460;9972,1380;-673;-806,-0.03341186;0.2751121;1.161783,-0.03637976;0.06888461;1.21601,0.08487345;0.081788;1.201092,0.1242905;0.2597998;1.019871,0.1388816;0.4082686;0.9079117,0.1502746;0.4385922;0.8847383,-0.07083161;-0.3757891;1.289751,0
2630,96;12436;9820,1013;-412;-975,-0.03359022;0.2750572;1.161809,-0.03753778;0.0665982;1.217287,0.08443169;0.08093782;1.200806,0.1258605;0.2503224;1.011617,0.1451251;0.3904276;0.8891078,0.1534676;0.4227412;0.8632231,-0.07106405;-0.3802036;1.289375,0
2662,168;12296;9988,1170;-354;-771,-0.04225863;0.262776;1.16943,-0.04105915;0.06221518;1.22118,0.08400279;0.07994098;1.200903,0.1276851;0.2424347;1.006064,0.1489722;0.3788659;0.8794329,0.1574422;0.4104417;0.8471093,-0.07136227;-0.3839613;1.290315,0
2696,112;12392;9884,1214;-415;-937,-0.04536647;0.2608601;1.171195,-0.05039943;0.05146648;1.230515,0.08316645;0.07861532;1.200836,0.1296889;0.2235782;0.9931892,0.1535483;0.359055;0.8638626,0.1599716;0.3947519;0.8251512,-0.07073759;-0.3878416;1.289938,0
2728,160;12216;9992,1241;-396;-961,-0.04905763;0.258998;1.174346,-0.05273738;0.04931598;1.233092,0.08235747;0.07746247;1.201191,0.1303859;0.2135572;0.9904024,0.1576801;0.3460995;0.8473353,0.1639561;0.3820554;0.7984922,-0.06980491;-0.3921068;1.290787,0
2765,188;12300;10004,1375;-504;-1011,-0.05255733;0.2581375;1.175798,-0.05591307;0.04899428;1.234443,0.08169657;0.07683312;1.201102,0.1334992;0.1988929;0.9798768,0.1605786;0.3276426;0.822318,0.1654898;0.3648608;0.7735694,-0.06685705;-0.3979902;1.290193,0
2795,44;12388;9944,1381;-509;-994,-0.05613649;0.258557;1.178002,-0.05818758;0.04848115;1.235667,0.08060737;0.07555874;1.201532,0.1349921;0.1867191;0.9751532,0.1649783;0.3167526;0.800393,0.1703895;0.3497462;0.7521698,-0.06511606;-0.4028965;1.290485,0
2829,204;12492;9924,1334;-454;-1086,-0.0583205;0.2587714;1.178542,-0.06619461;0.04644933;1.239543,0.07898974;0.07361841;1.202073,0.1358076;0.168572;0.9689519,0.170568;0.2976977;0.7654934,0.1725382;0.3287729;0.7269225,-0.06454754;-0.4057467;1.290408,0
2862,220;12396;10140,1090;-494;-1029,-0.05926054;0.2581371;1.179021,-0.06766568;0.04621812;1.239815,0.07726284;0.07026614;1.202721,0.1352906;0.1491131;0.9639347,0.1732283;0.2749387;0.7485579,0.1757809;0.3042556;0.7010947,-0.06435345;-0.4086438;1.289662,0
2897,84;12348;9940,1191;-511;-920,-0.06018397;0.2575122;1.179499,-0.06891411;0.04581761;1.240508,0.07533509;0.06534671;1.204583,0.1346144;0.1286603;0.9615164,0.1711261;0.2219136;0.7545562,0.1788408;0.2694836;0.689338,-0.06439237;-0.4120422;1.289435,0
2928,220;12284;9884,1296;-828;-869,-0.06114073;0.2570923;1.180044,-0.07415569;0.043958;1.244684,0.05679099;0.03640534;1.217358,0.1261452;0.1008549;0.9772935,0.1719539;0.2044913;0.7509552,0.1815411;0.2346553;0.6796868,-0.06520383;-0.4184187;1.289766,0
2964,72;12460;9808,1254;-679;-958,-0.06217271;0.2566195;1.1806,-0.074165;0.04391825;1.244738,0.05747056;0.03725027;1.216775,0.1265507;0.08328242;0.9724337,0.173523;0.1634499;0.7421373,0.1840772;0.1973591;0.6698553,-0.06515785;-0.419422;1.289756,0
2998,116;12556;9744,1236;-464;-915,-0.06329212;0.2561063;1.180843,-0.0756308;0.04328843;1.245708,0.05837619;0.04011302;1.215203,0.1303835;0.05477326;0.9678389,0.1733684;0.1406122;0.7381274,0.1848242;0.163826;0.6631348,-0.06482834;-0.4201649;1.289533,0
3029,144;12156;9816,1000;-491;-872,-0.06413963;0.2555437;1.180404,-0.07555819;0.04320988;1.245496,0.05867938;0.04257856;1.213509,0.1297222;0.03539779;0.9655409,0.1750559;0.09956694;0.7312191,0.1849611;0.1270289;0.6540506,-0.06407268;-0.4217554;1.287852,0
3062,176;12448;9560,1295;-301;-1040,-0.06465436;0.2553203;1.180337,-0.07553538;0.04318227;1.245447,0.05943054;0.04485747;1.212655,0.1255714;0.02279721;0.9642141,0.1701254;0.05285906;0.7611204,0.1847556;0.08838641;0.6695616,-0.06396923;-0.4223501;1.287702,0
