Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
12634,0.1339054;-0.3102778;0.896042,0.06979072;-0.2489788;0.9115226,-0.09041429;-0.09045016;0.9755963,-0.1900844;0.1201604;1.037953,-0.0248166;0.1553822;1.075101,-0.01294824;-0.3547232;1.215995,2
12668,0.1346935;-0.3082308;0.8895118,0.06971051;-0.248513;0.9101395,-0.09086441;-0.09000668;0.9757236,-0.1900651;0.1201417;1.03794,-0.02527103;0.1553863;1.074854,-0.01306795;-0.3549879;1.215811,2
12700,0.1357419;-0.3019409;0.8852909,0.06725884;-0.2445959;0.9088554,-0.09097618;-0.09020461;0.9757249,-0.1900605;0.1201382;1.037951,-0.02382307;0.1549228;1.074685,-0.01331743;-0.355191;1.215773,2
12733,0.1365939;-0.2946981;0.8809018,0.06512702;-0.2407148;0.9069108,-0.09129202;-0.09019984;0.9758042,-0.1900559;0.1201326;1.037993,-0.02283605;0.1546805;1.074613,-0.01351004;-0.3554039;1.215672,2
12767,0.1377099;-0.2867425;0.8766702,0.06365178;-0.2371662;0.9046009,-0.0914432;-0.09019003;0.9758278,-0.1900498;0.1201314;1.038063,-0.02383197;0.1550197;1.075026,-0.01333074;-0.3553694;1.215854,2
12801,0.1357247;-0.2731247;0.8687793,0.05823827;-0.2277797;0.9011375,-0.0901911;-0.0924454;0.9747872,-0.1900492;0.1201277;1.038064,-0.02274283;0.1546679;1.074893,-0.0133778;-0.3554173;1.215773,2
12833,0.1256827;-0.2608873;0.8628925,0.05555572;-0.2228911;0.8998522,-0.09083843;-0.09225947;0.9749544,-0.190049;0.1201209;1.038065,-0.02375485;0.1549549;1.074952,-0.01346249;-0.3554273;1.215741,2
12869,0.1210428;-0.2532015;0.8617131,0.05449922;-0.219311;0.8987454,-0.09110849;-0.09205484;0.9753249,-0.1900445;0.1201066;1.038067,-0.02262715;0.1546736;1.074786,-0.01349492;-0.3554648;1.215629,2
12901,0.1623482;-0.2579724;0.8336255,0.08938675;-0.2314347;0.8768064,-0.09138097;-0.09115416;0.9767516,-0.1900391;0.1200971;1.038133,-0.02371092;0.154917;1.075389,-0.01363683;-0.3555211;1.215768,2
12933,0.1560166;-0.2550443;0.8304567,0.08061649;-0.2236654;0.8816196,-0.0973957;-0.08011568;0.9820294,-0.1900323;0.1200691;1.038153,-0.02452389;0.1550924;1.075476,-0.01382547;-0.3554875;1.215892,2
12966,0.1539015;-0.2576019;0.8328636,0.07850252;-0.221696;0.8831223,-0.09864855;-0.07711861;0.9836097,-0.1900092;0.1200391;1.038167,-0.02502067;0.1552039;1.07548,-0.01384851;-0.3554938;1.215908,2
13000,0.1574266;-0.2629045;0.8345835,0.08104649;-0.2241957;0.8825285,-0.09579865;-0.08003411;0.9841561,-0.1899958;0.120021;1.038177,-0.02536814;0.1552289;1.075532,-0.01396666;-0.3554707;1.216017,2
13032,0.1257807;-0.2553275;0.8603768,0.05235622;-0.2109764;0.9091966,-0.07704463;-0.1003861;0.982449,-0.1899811;0.1199847;1.038184,-0.02588883;0.1552405;1.075525,-0.01400259;-0.3555014;1.216018,2
13068,0.1221345;-0.2610554;0.8681751,0.05192478;-0.2115977;0.9100933,-0.08126248;-0.09669457;0.9846524,-0.1899659;0.1199493;1.038205,-0.026076;0.1552764;1.075626,-0.01395609;-0.3554951;1.216201,2
13102,0.1203265;-0.2689282;0.8720704,0.05254873;-0.2155506;0.9111648,-0.09732501;-0.07385425;0.9915238,-0.1899365;0.1199003;1.038196,-0.026261;0.1553256;1.075571,-0.01386628;-0.3555231;1.216237,2
13134,0.1397535;-0.2910671;0.8650361,0.0646676;-0.240638;0.9083302,-0.09473743;-0.08058602;0.9905592,-0.18987;0.1198163;1.038161,-0.02630418;0.1553299;1.07557,-0.01381557;-0.3555801;1.216508,2
13166,0.1508011;-0.3102074;0.865673,0.08863803;-0.2705687;0.897803,-0.07498958;-0.1054626;0.986627,-0.1903282;0.1146295;1.03675,-0.02636497;0.1553398;1.075579,-0.01333519;-0.3562111;1.216401,2
