Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
1800,-6728;-13792;-8004,142;-1030;-1118,-0.06998515;0.0309726;1.238037,-0.2898789;-0.5664386;1.07266,-0.2856418;-0.5656211;1.097283,-0.304649;-0.4174614;1.218103,-0.2260526;-0.2279528;1.267792,-0.06206181;-0.1880912;1.284842,-0.06803217;-0.6139197;1.298115,0
1828,-6648;-13244;-8044,1080;-1105;-872,-0.07054962;0.03084901;1.237732,-0.2940104;-0.567436;1.072609,-0.2858844;-0.5670018;1.098579,-0.3049319;-0.4184355;1.21884,-0.2263497;-0.2282847;1.267888,-0.06235363;-0.1881689;1.28467,-0.06806714;-0.6140068;1.298098,0
1861,-6728;-13092;-7968,682;-941;-969,-0.07131168;0.03059639;1.236939,-0.2636381;-0.5921234;1.088048,-0.2864853;-0.5681511;1.099536,-0.305057;-0.418899;1.218938,-0.2264562;-0.2284032;1.26783,-0.06266701;-0.1881704;1.284133,-0.06807421;-0.6139072;1.297877,0
1896,-6580;-12768;-8388,895;-882;-1012,-0.07170032;0.03059203;1.236636,-0.2637906;-0.5928426;1.087493,-0.2865227;-0.5683487;1.099711,-0.3051325;-0.4191523;1.21918,-0.2265931;-0.2285213;1.267772,-0.06305468;-0.1881313;1.283682,-0.06824462;-0.6139444;1.297754,0
1929,-6552;-12728;-8576,919;-544;-797,-0.07212919;0.03053859;1.236601,-0.265752;-0.5933604;1.088695,-0.2866502;-0.5686706;1.100065,-0.3053598;-0.4196534;1.219756,-0.2268302;-0.2287662;1.267948,-0.06328266;-0.1881512;1.283685,-0.06830937;-0.614022;1.297804,0
1963,-6760;-12888;-8096,807;-371;-963,-0.07252715;0.03059841;1.236656,-0.2937875;-0.5659775;1.070774,-0.2869525;-0.5688171;1.10061,-0.3056033;-0.4199839;1.220555,-0.227006;-0.228976;1.268012,-0.0635591;-0.1881294;1.28363,-0.06839147;-0.614091;1.297881,0
1995,-6488;-12812;-8152,556;-617;-1051,-0.07289267;0.03056918;1.236445,-0.2883592;-0.5773494;1.080976,-0.2870308;-0.5688096;1.100651,-0.305661;-0.420032;1.220673,-0.2271535;-0.2291351;1.267935,-0.06380884;-0.188135;1.283405,-0.06843679;-0.6141503;1.297809,0
2028,-6524;-12948;-8304,1140;-294;-624,-0.07348509;0.03067897;1.237137,-0.2924409;-0.570208;1.074036,-0.2875609;-0.5687445;1.101344,-0.3061612;-0.4207953;1.222469,-0.2274977;-0.2294837;1.268527,-0.06420071;-0.1881138;1.283869,-0.06868949;-0.6143919;1.298388,0
2061,-6800;-13308;-7908,766;-469;-1024,-0.07369496;0.03066792;1.23692,-0.2871232;-0.5769039;1.081231,-0.2875901;-0.5688145;1.101309,-0.306153;-0.4208389;1.222404,-0.2277036;-0.2296692;1.268193,-0.0644365;-0.1881183;1.283469,-0.06876932;-0.6143773;1.297966,0
2097,-6884;-13436;-8056,715;-371;-1159,-0.07399412;0.03060593;1.237107,-0.2895574;-0.5740429;1.081078,-0.2876552;-0.5692858;1.10194,-0.3062633;-0.4210579;1.222691,-0.2279645;-0.2298271;1.268531,-0.06464686;-0.1881418;1.28356,-0.0688772;-0.6144508;1.298157,0
2129,-6752;-13436;-8268,908;-427;-1278,-0.07419547;0.03060893;1.237294,-0.2885915;-0.5705414;1.069607,-0.2876815;-0.5693256;1.102029,-0.306328;-0.4213328;1.223083,-0.228265;-0.2299846;1.268972,-0.06485859;-0.1882037;1.283588,-0.06892105;-0.6145126;1.298328,0
2163,-6844;-13976;-8308,1253;-387;-1668,-0.07431486;0.03057185;1.237314,-0.2908907;-0.5710337;1.075113,-0.2877296;-0.5693926;1.102027,-0.3062911;-0.4214638;1.223178,-0.2283008;-0.2300305;1.268967,-0.0649666;-0.1881883;1.283552,-0.0689752;-0.6145499;1.298332,1
2195,-6552;-14232;-8340,1292;-382;-1940,-0.07452556;0.03046473;1.237597,-0.29621;-0.5646329;1.077089,-0.2880221;-0.569813;1.102556,-0.3063614;-0.4218449;1.223683,-0.2284304;-0.2301523;1.269289,-0.06517034;-0.1882652;1.283796,-0.06902334;-0.6146501;1.298527,1
2228,-6604;-14756;-8772,1612;-266;-2530,-0.0746182;0.03037265;1.237493,-0.2856518;-0.5717031;1.07712,-0.2880026;-0.5697875;1.102511,-0.3063212;-0.4218532;1.223686,-0.2284711;-0.2301897;1.269232,-0.06520905;-0.1882706;1.283702,-0.06904262;-0.6146749;1.298422,1
2262,-6504;-15944;-8856,1880;265;-3465,-0.0747389;0.03040976;1.237622,-0.2859409;-0.579381;1.090173,-0.2879899;-0.5697759;1.102427,-0.306248;-0.4219982;1.223816,-0.2285906;-0.230247;1.269395,-0.06523131;-0.1882758;1.283703,-0.06906829;-0.6146938;1.29843,1
2295,-6428;-16256;-9292,3075;904;-4125,-0.07482279;0.03037279;1.237388,-0.2620104;-0.5934785;1.089369,-0.2879685;-0.5697274;1.101782,-0.3060309;-0.4221319;1.223438,-0.2285995;-0.2302814;1.269148,-0.06523009;-0.1881779;1.283244,-0.06910571;-0.6146859;1.298165,1
2328,-5952;-16508;-9088,2563;1509;-5630,-0.07489698;0.03041731;1.237512,-0.2892568;-0.5718701;1.076631,-0.2879721;-0.5698077;1.101644,-0.3059712;-0.4222426;1.223348,-0.2286759;-0.2303556;1.269232,-0.06523985;-0.1881715;1.283255,-0.06915118;-0.6147252;1.298245,1
2362,-5776;-17432;-8320,5235;1088;-6339,-0.07494339;0.03040813;1.237579,-0.2898265;-0.5740773;1.079751,-0.287933;-0.5696452;1.101359,-0.3058892;-0.4222382;1.223276,-0.2286923;-0.2303658;1.269244,-0.06525403;-0.1881648;1.283261,-0.0691798;-0.6147316;1.298233,1
