Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
1231,48;14544;-8020,1416;-432;-1004,-0.1759489;0.1376533;1.29499,-0.1809048;-0.0801708;1.33308,-0.01599574;-0.09809034;1.358898,0.05546651;-0.3325131;1.272024,0.1211949;-0.3206609;1.077086,0.1370654;-0.3149358;1.006992,-0.1597718;-0.5445536;1.39247,0
1266,140;14772;-8540,1837;-584;-601,-0.1759491;0.1376436;1.294987,-0.1809119;-0.08017284;1.333076,-0.01606293;-0.09818696;1.358477,0.0549551;-0.3330106;1.272465,0.1224808;-0.3305478;1.068593,0.1371977;-0.3277105;1.005746,-0.1597695;-0.5445511;1.392481,0
1299,4;14632;-8704,1063;-331;-583,-0.1759311;0.1376382;1.294925,-0.1809072;-0.08015992;1.332992,-0.01605706;-0.09829092;1.358129,0.05441426;-0.3335039;1.272857,0.1228827;-0.3365935;1.069119,0.1374058;-0.339674;1.009652,-0.1597672;-0.5445478;1.392483,0
1334,-148;14520;-8384,1006;-133;-546,-0.1759254;0.1376297;1.294896,-0.1809061;-0.08015461;1.332989,-0.01604488;-0.09840265;1.357895,0.05392271;-0.334071;1.273645,0.1232769;-0.345393;1.071172,0.1372796;-0.3523746;1.007994,-0.1597663;-0.544542;1.39249,0
1368,0;14164;-8312,1426;-239;-492,-0.1759085;0.137624;1.294883,-0.1808966;-0.08015835;1.332961,-0.01599746;-0.0984597;1.358022,0.05339911;-0.3350215;1.276268,0.1256222;-0.3613199;1.056584,0.1378948;-0.3651697;1.009395,-0.1597699;-0.5445302;1.392488,0
1399,-168;14056;-8240,956;-98;-542,-0.1756724;0.1374955;1.294121,-0.1808321;-0.08013303;1.332237,-0.01591266;-0.09853312;1.357933,0.05306689;-0.335559;1.277395,0.124671;-0.3656247;1.066101,0.1370469;-0.3777537;1.009361,-0.1597366;-0.5444511;1.391972,0
1430,-20;14192;-8312,971;-187;-600,-0.175629;0.1374764;1.294094,-0.1807788;-0.08015548;1.332224,-0.0159004;-0.09859737;1.357737,0.05176376;-0.3367684;1.280022,0.1258751;-0.381888;1.072969,0.1384919;-0.3902425;1.015748,-0.1597366;-0.5444509;1.391974,0
1469,32;14188;-8364,1289;-159;-875,-0.1755487;0.1374877;1.294142,-0.1807475;-0.0801812;1.332282,-0.01556576;-0.09897579;1.358453,0.05133531;-0.3379755;1.283134,0.1225142;-0.3970713;1.08845,0.1377044;-0.4021543;1.020079,-0.1597473;-0.5445359;1.392092,0
1498,-80;14156;-8264,699;-236;-759,-0.1754719;0.1374612;1.294107,-0.1807014;-0.0801791;1.33227,-0.01550935;-0.09909376;1.358172,0.04963031;-0.3395637;1.286893,0.1227087;-0.4001496;1.092222,0.1371874;-0.4120657;1.022995,-0.1597437;-0.5445417;1.392099,0
1534,52;14464;-8528,1256;-58;-794,-0.1754241;0.1374803;1.294111,-0.1806619;-0.08017319;1.332217,-0.01546728;-0.09923824;1.357856,0.04832533;-0.341125;1.291303,0.1234013;-0.4090561;1.09849,0.1374583;-0.4216205;1.030219,-0.1597208;-0.5445414;1.392063,0
1569,368;14132;-8608,1009;-61;-1024,-0.1752928;0.137478;1.294042,-0.1805673;-0.0801838;1.3322,-0.01542246;-0.09938324;1.357583,0.04832611;-0.3415229;1.292178,0.1288839;-0.4245806;1.075461,0.1371071;-0.4252097;1.031332,-0.1596925;-0.5445055;1.392064,0
1599,308;15812;-9524,749;498;-882,-0.1749316;0.1373508;1.293426,-0.180401;-0.08019866;1.331824,-0.01533017;-0.0996085;1.357099,0.04707627;-0.3424487;1.293432,0.1215311;-0.428381;1.105021,0.137414;-0.4324043;1.034562,-0.1596468;-0.5444814;1.391904,0
1632,700;16440;-9792,902;1248;131,-0.1748051;0.1373256;1.293444,-0.1802927;-0.08027624;1.331786,-0.01492626;-0.1000934;1.357792,0.04515289;-0.3443021;1.298301,0.1139474;-0.4280075;1.136312,0.1379524;-0.4378842;1.038336,-0.1595243;-0.5445533;1.391962,0
1666,1124;17308;-9960,487;2137;1314,-0.1746193;0.137273;1.293436,-0.1801171;-0.08033545;1.331738,-0.01489612;-0.1002211;1.357638,0.04443413;-0.3450103;1.300417,0.1147047;-0.4295833;1.13355,0.1371139;-0.4432161;1.045313,-0.1594868;-0.5445695;1.391971,0
1698,1940;17252;-9520,1103;2951;3180,-0.1744822;0.1372335;1.293454,-0.1799872;-0.08041517;1.331697,-0.0146077;-0.1006215;1.358037,0.04433719;-0.3455159;1.300932,0.1152991;-0.4312344;1.132021,0.1375485;-0.4457371;1.044526,-0.159402;-0.5446078;1.391988,0
1731,2248;17372;-9104,781;3572;4890,-0.1743187;0.1372466;1.293702,-0.1798189;-0.08047342;1.331832,-0.01422151;-0.1011858;1.358957,0.04360841;-0.3466339;1.303658,0.115525;-0.4329859;1.132159,0.137946;-0.4474853;1.047418,-0.1593034;-0.5446852;1.392083,0
1768,2760;16748;-9160,1067;4086;6005,-0.1741385;0.1372492;1.293766,-0.1797649;-0.08048633;1.331872,-0.01427616;-0.1011808;1.358757,0.04333173;-0.3470476;1.305781,0.1157135;-0.4339871;1.13182,0.137382;-0.4489784;1.051253,-0.1592222;-0.5446939;1.39219,0
1799,3340;15880;-8756,991;4716;6981,-0.1739661;0.1371789;1.293676,-0.179675;-0.08058534;1.331876,-0.01427098;-0.1012691;1.358444,0.0429453;-0.3473266;1.30613,0.1157762;-0.4345803;1.131256,0.1370695;-0.4509704;1.051042,-0.1591569;-0.5447218;1.392232,0
1832,3940;15112;-8268,1038;4795;7338,-0.1738288;0.1371192;1.293657,-0.1794846;-0.08062178;1.33182,-0.01426775;-0.1013209;1.35811,0.04235512;-0.3478368;1.30802,0.1161125;-0.4357091;1.130797,0.1370144;-0.4506617;1.052138,-0.1590928;-0.5447208;1.392226,0
1867,4316;15140;-7836,764;4518;7630,-0.1735906;0.1369712;1.293366,-0.1792637;-0.08068114;1.331486,-0.0142647;-0.1013567;1.357753,0.04230169;-0.3479453;1.308087,0.1162452;-0.4360079;1.129686,0.1357759;-0.4492421;1.051432,-0.1590083;-0.5447204;1.392064,0
1898,5284;14580;-7852,466;4473;8115,-0.1734542;0.137015;1.293153,-0.1790876;-0.08072185;1.331199,-0.0142677;-0.1014445;1.357278,0.04210848;-0.3480792;1.307628,0.1162647;-0.436294;1.129174,0.1354855;-0.4498487;1.052405,-0.1589054;-0.5447159;1.391824,0
1933,5892;13836;-8188,2223;4684;8284,-0.173335;0.1370006;1.293273,-0.179065;-0.08074648;1.331358,-0.01426291;-0.1014549;1.35727,0.04207895;-0.3481556;1.308046,0.11634;-0.4365409;1.129186,0.1367908;-0.4497644;1.051654,-0.1588996;-0.5448149;1.392154,0
1966,6568;14336;-7896,-35;4912;8686,-0.1732409;0.1369648;1.293204,-0.1790091;-0.08076159;1.33131,-0.01413886;-0.101764;1.35744,0.04212097;-0.3484492;1.308001,0.1163629;-0.4366818;1.129141,0.1358014;-0.4478569;1.050918,-0.1588401;-0.5448174;1.39215,0
2001,7628;12844;-7352,240;5236;8675,-0.1731527;0.1369007;1.293137,-0.178949;-0.08083086;1.331257,-0.01412924;-0.1018293;1.357181,0.04181982;-0.3487172;1.308723,0.1163284;-0.4370922;1.129401,0.1353332;-0.4503434;1.054273,-0.1587603;-0.5448004;1.392161,0
2035,8140;13336;-6724,-453;5217;8532,-0.1730933;0.1368724;1.293161,-0.1789188;-0.0808484;1.331277,-0.01414089;-0.1018271;1.357113,0.04170619;-0.3487392;1.308663,0.1164161;-0.4373377;1.129198,0.1354593;-0.4478699;1.05096,-0.1587171;-0.5447917;1.392203,1
2067,9392;12040;-6200,639;4960;8937,-0.1729724;0.1368738;1.293247,-0.1789138;-0.08085591;1.331331,-0.01394034;-0.1022176;1.357737,0.04167853;-0.3490973;1.308717,0.1164334;-0.437492;1.129206,0.1361527;-0.4500213;1.053444,-0.158708;-0.5448354;1.392274,1
2098,10860;11760;-6064,567;4738;8613,-0.1727955;0.1368971;1.293594,-0.1788686;-0.08087269;1.331603,-0.01394037;-0.1022162;1.357738,0.04130204;-0.3492973;1.3096,0.116489;-0.4376955;1.129246,0.1358172;-0.4519605;1.055846,-0.1586837;-0.5448806;1.39272,1
2132,11276;11216;-6136,61;4763;8308,-0.1726227;0.136833;1.293343,-0.1787888;-0.08094562;1.33144,-0.01396439;-0.1021889;1.35736,0.0414411;-0.3492393;1.309252,0.1164686;-0.4378034;1.129106,0.1341625;-0.4463531;1.054296,-0.158563;-0.5448288;1.392531,1
2166,11960;10500;-5284,1152;4911;8269,-0.1725585;0.136831;1.293248,-0.1787156;-0.08100599;1.331305,-0.0139668;-0.1021843;1.35712,0.04138844;-0.3491873;1.308562,0.1164178;-0.4377326;1.128666,0.1350552;-0.4487969;1.050969,-0.158425;-0.5448722;1.392417,1
2199,12564;9716;-4452,-123;4549;7907,-0.1725179;0.136828;1.293336,-0.1786844;-0.08101011;1.331367,-0.01377659;-0.1024353;1.357905,0.04151206;-0.3493772;1.308827,0.1164323;-0.4375431;1.128463,0.1349977;-0.4495663;1.055514,-0.1583881;-0.5448603;1.392505,1
2234,12804;9116;-4692,1091;4605;7910,-0.1724123;0.1367863;1.293137,-0.1786985;-0.08101436;1.331326,-0.01379516;-0.1024152;1.357655,0.04137169;-0.3494232;1.308859,0.11608;-0.4374992;1.128928,0.1334629;-0.4464655;1.053723,-0.158338;-0.5448542;1.392451,1
2266,13684;8772;-3964,794;4521;7957,-0.172405;0.136782;1.293139,-0.1786762;-0.08102361;1.331321,-0.01367497;-0.1024332;1.358082,0.04124697;-0.3494639;1.309067,0.1160203;-0.4376105;1.128873,0.1332332;-0.4454127;1.055185,-0.1583251;-0.5448419;1.392464,1
2298,14548;7032;-3260,-585;4003;7466,-0.1723716;0.1367511;1.293065,-0.1785761;-0.08103317;1.331113,-0.01371679;-0.1023575;1.357721,0.04102523;-0.3494598;1.308927,0.1160683;-0.4375234;1.128284,0.1324563;-0.4455889;1.054212,-0.1582862;-0.5448101;1.392399,1
2332,14572;6604;-2956,2048;3895;6961,-0.1723372;0.1367485;1.293045,-0.1785665;-0.0810347;1.331112,-0.01362418;-0.1024911;1.357893,0.04121495;-0.3494148;1.307964,0.1158861;-0.4369814;1.127663,0.1321142;-0.44159;1.052767,-0.1582671;-0.5448325;1.39241,1
2366,14628;6116;-2848,406;3784;6402,-0.172314;0.136752;1.293145,-0.1785797;-0.08102918;1.331183,-0.01341165;-0.1027252;1.358979,0.04134454;-0.349508;1.307972,0.1274697;-0.4349965;1.077658,0.1348886;-0.4373311;1.046042,-0.1582497;-0.5448354;1.392502,1
2399,14804;4976;-2364,-794;3651;5421,-0.1722437;0.1367555;1.292923,-0.1785136;-0.0809978;1.331006,-0.01355168;-0.1025702;1.358328,0.04171961;-0.348752;1.304059,0.114806;-0.4089412;1.061304,0.1410996;-0.4255731;1.015113,-0.1582455;-0.5448273;1.392477,1
2433,14624;4136;-2264,985;3712;5029,-0.1721357;0.1367094;1.292654,-0.1785087;-0.08099168;1.33082,-0.01365674;-0.1024241;1.357718,0.05069515;-0.3384665;1.340896,0.1201584;-0.4121498;1.100921,0.1341293;-0.4208631;1.031258,-0.1581765;-0.5447674;1.392159,1
2468,14520;4440;-1580,1425;3293;4724,-0.1720455;0.1366843;1.292284,-0.1783826;-0.08097322;1.330362,-0.01362368;-0.1025105;1.3577,0.0462072;-0.3459259;1.293893,0.1259665;-0.418086;1.081579,0.1333409;-0.4113776;1.032534,-0.1582772;-0.5447019;1.391707,1
2499,14720;3472;-1616,-307;3187;4564,-0.1720353;0.1366916;1.292294,-0.1783736;-0.08096386;1.33036,-0.0137217;-0.1023789;1.357544,0.04616849;-0.3458399;1.294026,0.1242127;-0.413662;1.088606,0.1348136;-0.4037074;1.02885,-0.1582911;-0.5446914;1.391738,1
2532,14700;2180;-552,196;3296;3625,-0.1720213;0.1366944;1.292303,-0.1785388;-0.08097544;1.330491,-0.01373705;-0.1023758;1.358177,0.04630262;-0.3456656;1.293999,0.1241585;-0.4037438;1.083475,0.1339067;-0.3928621;1.026315,-0.1583652;-0.5447313;1.391814,1
2567,14996;1568;384,-538;2683;2635,-0.1720068;0.1367098;1.292328,-0.1786188;-0.08090373;1.330514,-0.01375103;-0.1022259;1.358527,0.04667843;-0.345179;1.293169,0.1214982;-0.3946191;1.087934,0.1338125;-0.3796775;1.022469,-0.1584253;-0.5446733;1.39184,1
2598,15580;1116;496,524;1633;2008,-0.1720036;0.1367362;1.292502,-0.178648;-0.08090714;1.330748,-0.0138103;-0.1021443;1.358439,0.04679548;-0.3449937;1.292786,0.1214999;-0.3788258;1.083874,0.1332661;-0.3687579;1.025728,-0.1586221;-0.5446596;1.392122,1
2633,15432;2056;744,974;1186;1401,-0.1719673;0.1367572;1.292404,-0.1785672;-0.08098541;1.330474,-0.01388905;-0.1019468;1.357985,0.04759478;-0.3441909;1.2905,0.1186813;-0.3693531;1.073485,0.1321569;-0.3523748;1.019456,-0.1586277;-0.5446419;1.391943,1
2667,16032;1264;900,247;304;1074,-0.1721279;0.1370536;1.293244,-0.1787627;-0.08079507;1.33131,-0.01380527;-0.1016154;1.360039,0.04755211;-0.3435338;1.290951,0.1202711;-0.3614166;1.078794,0.1332556;-0.3408255;1.021193,-0.1586788;-0.5446506;1.392606,1
2698,16068;976;1204,173;-242;359,-0.1721327;0.1370611;1.293172,-0.1787072;-0.080835;1.33117,-0.01391397;-0.101371;1.359244,0.04830658;-0.3424237;1.287329,0.1187123;-0.3546326;1.081219,0.1307219;-0.3266016;1.017173,-0.1588147;-0.5446732;1.392223,1
2732,16372;1152;1224,1240;-524;-431,-0.1721409;0.137065;1.293197,-0.1787023;-0.08084738;1.331229,-0.01386392;-0.1011331;1.359611,0.04844025;-0.3418887;1.286543,0.1179437;-0.3431344;1.082012,0.1311042;-0.3133648;1.016168,-0.1588113;-0.5446759;1.392262,1
2767,16132;900;664,718;-1441;-1099,-0.1722113;0.1371547;1.293311,-0.1787234;-0.08084344;1.331292,-0.01384344;-0.1009984;1.359781,0.04957177;-0.3411019;1.285232,0.1167169;-0.3302968;1.082958,0.1304228;-0.2988246;1.018113,-0.1588679;-0.5446825;1.392367,1
2799,15936;1520;260,1054;-1080;-2169,-0.1722539;0.1371519;1.293395,-0.1787691;-0.08080864;1.331353,-0.01394773;-0.1008431;1.359432,0.05024893;-0.3407069;1.284737,0.1163139;-0.321323;1.082259,0.1307662;-0.2865958;1.015347,-0.1590503;-0.5447334;1.392411,1
2832,15960;900;432,641;-1475;-2979,-0.172339;0.1372814;1.293874,-0.1790101;-0.0807616;1.331944,-0.01405412;-0.1006945;1.359245,0.05047015;-0.3406346;1.285196,0.1154989;-0.312198;1.082188,0.1299897;-0.274184;1.017118,-0.1592712;-0.5447848;1.392735,1
2866,15416;1504;736,641;-1750;-3481,-0.172419;0.137311;1.293935,-0.1790598;-0.08072061;1.332022,-0.01410542;-0.1005144;1.359378,0.05991986;-0.3351951;1.276076,0.1152425;-0.3029702;1.080906,0.1285258;-0.2645268;1.016155,-0.1593643;-0.5447947;1.392767,1
2901,15936;1848;420,1541;-2623;-3994,-0.1726027;0.1373764;1.29414,-0.1791988;-0.0806664;1.332063,-0.01419272;-0.100352;1.359145,0.06173808;-0.334248;1.275231,0.1137906;-0.2938616;1.080957,0.127929;-0.2554077;1.015163,-0.159401;-0.5447885;1.392773,1
2933,15592;2428;224,135;-3400;-4348,-0.1726445;0.1373976;1.294129,-0.179212;-0.08065975;1.332025,-0.01427414;-0.09999602;1.359331,0.06222162;-0.3332029;1.273733,0.1134248;-0.2893896;1.08062,0.1269087;-0.2460022;1.013993,-0.1594489;-0.5447845;1.392623,1
2966,15280;2176;-344,2067;-3507;-5161,-0.1726979;0.1374325;1.294133,-0.1792353;-0.08063453;1.332016,-0.01448168;-0.09977096;1.358777,0.06188511;-0.3323995;1.27117,0.1136197;-0.2851284;1.079628,0.1266255;-0.2420162;1.015844,-0.1594831;-0.544749;1.392554,1
2999,15144;2396;-1180,1792;-4327;-5985,-0.172851;0.1374904;1.294166,-0.1793092;-0.08060644;1.33209,-0.01458013;-0.09949796;1.358981,0.0626456;-0.3313793;1.269915,0.1136325;-0.281231;1.079803,0.1278186;-0.2357187;1.013718,-0.1594951;-0.5447158;1.392567,1
