Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
1401,-684;-12968;9644,866;-243;-957,0.09742752;0.5287016;1.30101,0.05909696;0.8073186;1.081091,0.04572001;0.7595598;1.116492,-0.005420951;0.6199202;1.234449,0.01156219;0.4099735;1.3794,0.1305745;0.3742386;1.351503,0.107725;-0.02104516;1.511823,0
1433,-556;-12616;9664,832;-219;-898,0.09422386;0.5325627;1.30551,0.05191861;0.8011599;1.068747,0.04206797;0.7569973;1.109552,0.004110676;0.6330181;1.249679,0.01226698;0.4115936;1.383562,0.113556;0.3694031;1.372823,0.1083002;-0.0194145;1.512247,0
1463,-764;-13080;9824,290;-128;-887,0.09420394;0.5327308;1.305739,0.05643046;0.8071992;1.076302,0.04589619;0.7618918;1.115655,0.005465851;0.6333178;1.250452,0.01277031;0.4123909;1.385286,0.1133446;0.3690703;1.373226,0.1096337;-0.01787944;1.512034,0
1498,-628;-12852;9840,-154;-409;-1123,0.09413729;0.5329209;1.306547,0.04497208;0.8120379;1.076532,0.03805755;0.7659653;1.115799,0.01203512;0.6338183;1.250585,0.01331459;0.413615;1.386911,0.1131024;0.368623;1.373639,0.1104699;-0.01692133;1.51216,0
1530,-512;-10944;8732,-8198;1002;-1400,0.09414843;0.533175;1.307088,0.04619302;0.8114756;1.077234,0.03903545;0.7653869;1.116438,0.01194356;0.6331037;1.250861,0.01420307;0.4133424;1.387971,0.1128371;0.3681619;1.37446,0.1107797;-0.01687001;1.512285,0
1564,-1220;-14724;8296,-11893;1326;-2271,0.09433299;0.5329948;1.307622,0.05022268;0.8117995;1.077249,0.04210911;0.7654768;1.115991,0.01116506;0.6320143;1.248253,0.01500487;0.4138674;1.388156,0.1129808;0.3679211;1.374701,0.1108016;-0.01657676;1.512037,0
1599,-560;-15284;4936,-29479;5096;-4361,0.09509192;0.5326369;1.307945,0.05430512;0.8072446;1.073285,0.04512084;0.761524;1.112502,0.009869246;0.6302057;1.245966,0.01571735;0.4136755;1.388561,0.1126035;0.3676212;1.375556,0.1108261;-0.01662817;1.512113,0
1633,-144;-17508;2984,-31418;4808;-6209,0.09761281;0.5307056;1.308622,0.05769596;0.8171403;1.10153,0.04673972;0.7657372;1.13233,0.006879244;0.6108116;1.232544,0.01596507;0.4143392;1.389203,0.1126631;0.3669894;1.376682,0.1105906;-0.01712698;1.512829,0
1714,-188;-18900;1000,-23112;1416;-5764,0.1161792;0.5197122;1.302014,0.04043849;0.7865128;1.082021,0.03264127;0.7349842;1.113608,0.006906719;0.5788221;1.217071,0.01643808;0.414652;1.38911,0.1129638;0.3657966;1.3773,0.1105349;-0.01864633;1.51266,0
1733,540;-16080;-2184,-17055;-389;-4632,0.1249264;0.5168056;1.301565,0.03472978;0.7537721;1.086335,0.02726663;0.7023956;1.121472,0.004910173;0.5518875;1.234971,0.01674804;0.4145672;1.389251,0.1157004;0.3648238;1.378175,0.1106397;-0.01873524;1.513182,0
1764,296;-16300;-3788,-14270;-510;-3649,0.129771;0.5152429;1.299621,0.03339671;0.7478412;1.059764,0.02573602;0.6988094;1.095178,0.003103025;0.5518118;1.213542,0.01750358;0.4132909;1.388762,0.1170717;0.3641477;1.378103,0.1106547;-0.01933013;1.513151,0
1799,744;-15364;-5180,-9200;-962;-2574,0.1339952;0.514769;1.298711,0.02690496;0.7424537;1.042835,0.02060318;0.6928368;1.080669,0.001712179;0.5476782;1.202211,0.01845036;0.4116912;1.388319,0.120453;0.3621763;1.379401,0.110607;-0.02005092;1.513831,0
1834,464;-14760;-6604,-10204;-720;-1719,0.1416025;0.5122941;1.298041,0.01156199;0.7223822;1.009731,0.009194613;0.6772657;1.050697,6.186065E-06;0.5394363;1.182369,0.01927845;0.4089164;1.387767,0.1284203;0.357769;1.380658,0.1103183;-0.02155998;1.514103,0
1865,752;-14264;-7360,-9948;-940;-1444,0.1475199;0.5112009;1.297168,0.007116528;0.7170651;0.9976488,0.005444182;0.6718657;1.038573,-0.003165462;0.5309554;1.166766,0.02023767;0.4062077;1.387117,0.130524;0.356728;1.38091,0.1102471;-0.02292593;1.514173,0
1899,1156;-14332;-8452,-7356;-1604;-1134,0.1608031;0.5088925;1.300041,-0.03384517;0.5574358;0.9304258,-0.02746621;0.5428323;0.9906799,-0.008441461;0.5027974;1.179549,0.02074237;0.4042198;1.386703,0.1313162;0.3564163;1.380857,0.1099548;-0.02402377;1.514166,0
1931,768;-14324;-9592,-8719;-1423;-836,0.1667288;0.5093875;1.303111,-0.03357519;0.5901384;0.941568,-0.0272256;0.5638712;0.9979494,-0.008273895;0.4887296;1.175184,0.02119067;0.402536;1.386492,0.1324254;0.3558899;1.3814,0.1097141;-0.02562642;1.515288,0
1963,760;-14860;-10584,-4672;-2134;-984,0.1690387;0.5094247;1.303652,-0.0285824;0.5463617;1.027534,-0.03257872;0.5574741;0.9960755,-0.009125366;0.4676393;1.165441,0.0244348;0.3895297;1.382755,0.1332892;0.3554819;1.381394,0.1091286;-0.0283544;1.515802,0
1999,960;-14412;-11316,1832;-2297;-725,0.1704088;0.5091894;1.304073,-0.01857004;0.4922572;1.045836,-0.01338623;0.4643013;1.100724,-0.007512805;0.4432105;1.156641,0.02524403;0.3857808;1.381946,0.1339593;0.3551259;1.381431,0.1087849;-0.03064412;1.516019,0
2032,896;-13232;-12428,-82;-616;-478,0.1710421;0.50893;1.304775,-0.02292688;0.4720654;1.028877,-0.01555486;0.451293;1.085185,-0.007457694;0.4258347;1.14788,0.02692222;0.3795251;1.381387,0.1343797;0.3549458;1.381516,0.1084271;-0.03307852;1.516557,0
2065,744;-14956;-11468,-2931;-68;-1443,0.1713969;0.5088177;1.304899,-0.04256336;0.4640644;0.8943185,-0.02866115;0.4686175;0.9622788,-0.007399607;0.3989695;1.141913,0.03097117;0.3638158;1.378236,0.1350152;0.3545289;1.381437,0.1084305;-0.03768844;1.516668,0
2098,940;-14056;-11324,4456;-282;-1910,0.1717286;0.5088829;1.304608,-0.05706009;0.4208412;0.843432,-0.02902007;0.4116097;0.9449219,-0.006459109;0.3737024;1.134131,0.03219303;0.3580296;1.37743,0.1356605;0.3539236;1.381214,0.1083794;-0.0415353;1.515193,0
2131,748;-14332;-10372,8165;-600;-1034,0.1717978;0.5086137;1.304937,-0.05851476;0.365017;0.8329276,-0.03670134;0.3673907;0.9417554,-0.007237859;0.355227;1.133588,0.03291616;0.3537478;1.377839,0.1359105;0.3537399;1.381205,0.1074714;-0.0438915;1.51599,0
2163,480;-15608;-9296,18329;-2351;-701,0.1721105;0.5082766;1.305421,-0.05878179;0.305965;0.8181815,-0.03429018;0.3233784;0.94758,-0.005991984;0.3274323;1.140013,0.03307681;0.3502533;1.379167,0.1363147;0.3532801;1.381109,0.1073263;-0.04761282;1.51688,0
2198,536;-15240;-7880,22967;-2814;-227,0.1723099;0.5077694;1.306019,-0.05723607;0.2491033;0.8021032,-0.04391194;0.2995932;0.8967613,-0.005096029;0.2929886;1.143563,0.0411507;0.3065777;1.382957,0.1440407;0.3478758;1.381201,0.1083959;-0.05763669;1.518335,0
2232,436;-15900;-6048,26319;-3118;-139,0.1723866;0.5073046;1.306244,-0.06517788;0.1972667;0.8083245,-0.03677332;0.2224282;0.9265354,0.002624434;0.2819186;1.149241,0.04043721;0.31646;1.379655,0.1437399;0.3476792;1.381239,0.1079585;-0.05819295;1.518453,0
2265,852;-15068;-3800,23827;-1810;500,0.1724066;0.5067336;1.306307,-0.07180595;0.1425494;0.8211157,-0.05283396;0.2014468;0.8895282,-0.01027791;0.2558007;1.12572,0.03804078;0.3244683;1.376534,0.143079;0.3474401;1.381174,0.107379;-0.05887043;1.518451,0
2298,364;-15456;-796,19311;-216;700,0.1720198;0.5055541;1.305149,-0.0754106;0.08826772;0.8405283,-0.04233025;0.1650942;0.9731607,-0.01884148;0.2576746;1.147886,0.03043978;0.330005;1.357155,0.1442263;0.3425546;1.377569,0.1065373;-0.06006932;1.516935,0
2330,60;-15700;888,16938;327;1104,0.17166;0.5050737;1.304901,-0.08013335;0.034583;0.8732704,-0.06610414;0.06610414;0.9142538,-0.00894644;0.1975249;1.127142,0.02561366;0.3304476;1.352303,0.144372;0.3412939;1.377221,0.1063922;-0.06039254;1.516565,0
2363,-204;-15800;2636,14558;387;1167,0.1708613;0.5043989;1.304017,-0.08236033;-0.01534125;0.9061087,-0.05813251;0.07010471;0.9846505,-0.02154115;0.1809257;1.140078,0.02245544;0.3284829;1.350181,0.1443178;0.3392843;1.37596,0.1071848;-0.06146936;1.51488,0
2398,-544;-15812;3956,12592;576;1582,0.1700094;0.5040875;1.303434,-0.08491527;-0.06511682;0.9425424,-0.07186954;-0.01968556;0.982411,-0.02944235;0.1617496;1.163927,0.02128316;0.3265642;1.350533,0.1443584;0.3383616;1.375334,0.1079379;-0.06212331;1.51434,0
2431,-396;-13236;4304,1253;3082;1462,0.1685758;0.5035357;1.302182,-0.08589023;-0.1003148;0.9785019,-0.06792576;-0.03760838;1.017588,-0.03370243;0.1516517;1.19255,0.02027814;0.3243884;1.351039,0.1441864;0.3370905;1.374268,0.1077699;-0.06355197;1.512765,0
2463,-1828;-18140;5468,-2018;2626;734,0.1663522;0.5024262;1.299685,-0.08644324;-0.1385471;1.010969,-0.06977029;-0.07506165;1.049363,-0.03271688;0.1156771;1.197238,0.01977671;0.323362;1.351312,0.1436772;0.3353409;1.371589,0.108788;-0.06583674;1.509686,0
2498,-1808;-17324;5348,6104;-1113;101,0.1641877;0.5012415;1.297392,-0.08139667;-0.1661295;1.046521,-0.06428376;-0.0972662;1.07598,-0.03116651;0.1120729;1.213634,0.0215712;0.3258881;1.358683,0.1419959;0.3364791;1.37153,0.1103834;-0.06668898;1.507744,0
2531,-1160;-15548;4948,8419;-1637;662,0.1614503;0.4995963;1.293873,-0.07826935;-0.1924807;1.081491,-0.06043017;-0.1282115;1.10912,-0.02975404;0.09729789;1.232713,0.01955361;0.3237132;1.357726,0.1411553;0.3322355;1.365839,0.1125119;-0.06908542;1.504877,0
2563,-1424;-15064;5296,6194;-529;683,0.1581496;0.4974223;1.28901,-0.06939328;-0.2066228;1.111041,-0.05725936;-0.1394852;1.122395,-0.02926689;0.087566;1.243523,0.01687088;0.3207601;1.356027,0.1403602;0.3296154;1.360768,0.1142402;-0.07091989;1.502043,0
2598,-1796;-15084;5616,5109;-920;-403,0.1556015;0.4958855;1.285821,-0.05838029;-0.1734233;1.146549,-0.04374661;-0.09680556;1.185627,-0.02853003;0.0800363;1.258211,0.01557523;0.3197904;1.355812,0.1393861;0.3271714;1.357462,0.1158652;-0.07158596;1.500723,0
2630,-1556;-14744;5912,4360;-1212;-412,0.1542239;0.4954969;1.285167,-0.05602691;-0.1790837;1.173702,-0.04241718;-0.1039618;1.196117,-0.02695445;0.07592764;1.277228,0.0138732;0.3192336;1.357535,0.139171;0.327011;1.357194,0.1172102;-0.07145129;1.500869,0
2664,-1576;-14680;6048,4850;-1027;-132,0.1513495;0.4939855;1.282271,-0.05265269;-0.1794861;1.188045,-0.04058151;-0.1099515;1.21056,-0.02595767;0.07490282;1.284019,0.01272906;0.3187771;1.35772,0.1378967;0.3256024;1.354583,0.1185725;-0.07157105;1.500081,0
2699,-1576;-14636;6552,4023;-585;-319,0.1474724;0.4913187;1.277647,-0.0513428;-0.1783416;1.194364,-0.04020872;-0.1101938;1.213616,-0.02560566;0.07417947;1.286747,0.01128753;0.3179144;1.35737,0.1362049;0.3226485;1.350204,0.1193447;-0.07219097;1.49887,0
2731,-1864;-14536;6972,3255;-429;-483,0.1461798;0.490881;1.277264,-0.0523796;-0.1782014;1.205429,-0.04130112;-0.1108942;1.225103,-0.02658443;0.07357918;1.296838,0.009942973;0.3174762;1.358335,0.1359388;0.3225185;1.350114,0.1199163;-0.07220199;1.498951,0
2762,-1776;-14616;7176,2576;-407;-671,0.1439226;0.4898656;1.275483,-0.05453783;-0.179037;1.198841,-0.04143254;-0.1111464;1.225442,-0.02729207;0.07361744;1.298383,0.008390564;0.3169299;1.358953,0.1350969;0.3218544;1.348988,0.1201219;-0.07224544;1.498883,0
2826,-1752;-14516;7516,1956;-367;-848,0.1414132;0.4885681;1.273246,-0.05556291;-0.1781505;1.195003,-0.04186374;-0.1112491;1.225181,-0.02821983;0.07265306;1.298707,0.006863079;0.316465;1.358915,0.134052;0.3210213;1.347485,0.1201915;-0.07228266;1.498325,0
2841,-1836;-14684;7648,2072;-485;-874,0.1397037;0.4880678;1.272529,-0.05604969;-0.1793359;1.200065,-0.04205752;-0.1114755;1.225399,-0.0301488;0.07332925;1.302235,0.0050149;0.3162582;1.360344,0.1336132;0.3206888;1.347267,0.1201989;-0.07228049;1.498324,0
2864,-1964;-14560;7912,1768;-399;-936,0.1381557;0.4874602;1.271784,-0.0561057;-0.1787726;1.199825,-0.0422581;-0.1117055;1.225707,-0.03073891;0.0734478;1.302893,0.00371073;0.3161343;1.360889,0.1330088;0.3202039;1.34693,0.1202003;-0.07226562;1.498326,0
2898,-1824;-14280;7612,1588;-684;-1126,0.1368644;0.4870662;1.271332,-0.0558371;-0.1807693;1.203898,-0.04257584;-0.1119059;1.22768,-0.03121644;0.07359404;1.304642,0.002546913;0.3158293;1.361492,0.1326022;0.3200183;1.346894,0.1201909;-0.07223788;1.498391,0
2931,-1664;-14120;7568,1323;-664;-1142,0.1356954;0.4867175;1.271057,-0.05595427;-0.1786322;1.206677,-0.04271787;-0.1119051;1.228927,-0.03170863;0.07396206;1.306492,0.00159998;0.3155915;1.362107,0.132291;0.3196599;1.346772,0.1201839;-0.07224031;1.498419,0
2963,-1776;-14360;7388,1007;-511;-1073,0.1341974;0.4861316;1.27023,-0.0558571;-0.17829;1.205492,-0.04300674;-0.112035;1.229626,-0.03192599;0.07426684;1.307679,0.0007544897;0.3152421;1.362314,0.1317886;0.3191392;1.346236,0.1200856;-0.07249247;1.498303,0
2997,-1932;-14452;7424,1395;-620;-1068,0.1320221;0.4846651;1.267521,-0.05600789;-0.1780436;1.201255,-0.04305302;-0.1120274;1.229628,-0.03203005;0.07413947;1.307651,-0.0001485491;0.3147164;1.361773,0.1306307;0.3179325;1.343824,0.1200117;-0.07253712;1.497685,0
3030,-1688;-14204;7528,1674;-587;-1067,0.1312249;0.4843612;1.267347,-0.05689861;-0.1783368;1.204943,-0.04325219;-0.1121247;1.229995,-0.03228521;0.07439248;1.30831,-0.0008049539;0.3145134;1.361994,0.1303505;0.3176622;1.343657,0.1200115;-0.07254235;1.497684,0
3063,-1696;-14356;7760,1640;-576;-1056,0.1304234;0.4840642;1.267197,-0.05729628;-0.1784342;1.205477,-0.04337372;-0.1123751;1.23033,-0.03257669;0.07418384;1.308693,-0.001389113;0.3142865;1.36218,0.1297423;0.3172743;1.343437,0.1199751;-0.07258191;1.497632,0
3098,-1744;-14332;7708,1416;-527;-1083,0.1294267;0.4838179;1.266984,-0.05596996;-0.1778277;1.204318,-0.04342872;-0.1124509;1.23056,-0.0326485;0.0741462;1.308933,-0.001826767;0.3141878;1.362319,0.1292467;0.3169243;1.343278,0.1198108;-0.07290269;1.497622,0
