Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
2363,-100;7432;14108,1094;-788;-579,0.06554805;0.2029131;1.218121,0.06546476;0.02940536;1.248677,0.1912019;0.03058362;1.237663,0.2196272;0.1115523;0.9965502,0.2339089;0.2239863;0.7824687,0.2338444;0.2620997;0.7144171,0.07448356;-0.3962245;1.314405,0
2398,-80;7624;13988,903;-977;-588,0.06517994;0.2028648;1.218466,0.06519305;0.02918663;1.248845,0.1901314;0.02582507;1.237008,0.2119474;0.07870951;0.987544,0.2213525;0.1737861;0.7785416,0.2227972;0.2118494;0.700834,0.07502563;-0.3990389;1.313705,0
2431,-36;7416;13612,1339;-674;-638,0.06379143;0.203224;1.220429,0.06505498;0.02902898;1.249225,0.189156;0.02301554;1.237362,0.2102276;0.05401462;0.9841928,0.2127642;0.1339316;0.7632507,0.213312;0.1684887;0.6927736,0.07577129;-0.4015578;1.314301,0
2465,-220;7388;13704,837;-651;-649,0.06346098;0.2035654;1.221262,0.05930727;0.0257757;1.257325,0.1882229;0.02102258;1.237291,0.20431;0.03101544;0.9820778,0.2036262;0.08963596;0.7497705,0.2011937;0.1138868;0.6767047,0.07759599;-0.4053251;1.314689,0
2498,136;7340;13896,1069;-586;-670,0.06335301;0.2036969;1.221414,0.05851476;0.02501304;1.258307,0.1851387;0.01605065;1.234703,0.1993205;0.0007734469;0.9796404,0.1933237;0.04081064;0.7401738,0.189408;0.05911791;0.6592014,0.07831548;-0.4076604;1.315395,0
2531,76;7264;13772,1364;-602;-762,0.06322565;0.2039027;1.221619,0.05858794;0.02479536;1.258963,0.1845235;0.01474504;1.231727,0.1918912;-0.02243548;0.978631,0.1879287;-0.009931567;0.7275357,0.1865022;-0.003297598;0.6480299,0.07888975;-0.4088607;1.315701,0
2563,260;7884;14028,969;-428;-889,0.06316727;0.2040206;1.222021,0.05896924;0.02438609;1.259635,0.1846248;0.01415927;1.230142,0.1879305;-0.07276349;1.010158,0.1798804;-0.06624795;0.7589588,0.1832258;-0.05657421;0.6508908,0.07864873;-0.4117394;1.314823,0
2596,-12;7460;13700,1358;-704;-688,0.06307222;0.2042123;1.222644,0.05921008;0.02394981;1.260396,0.1859162;0.01374417;1.227262,0.1832148;-0.07609087;0.9876064,0.1837267;-0.09523267;0.7512841,0.1831847;-0.1047742;0.6713254,0.07872436;-0.4126086;1.314842,0
2630,48;8224;13808,1285;-861;-246,0.06296735;0.2042848;1.222894,0.05953761;0.02367334;1.260727,0.1872939;0.01284288;1.224466,0.1818896;-0.08874118;0.9895959,0.1794439;-0.1345264;0.7422456,0.1862836;-0.1534699;0.6662123,0.07907376;-0.413071;1.314875,0
2664,196;7432;13516,1409;-755;-230,0.06288895;0.2044025;1.22325,0.06037315;0.02307522;1.261232,0.1885991;0.01128328;1.222375,0.1882869;-0.1002416;0.992008,0.184276;-0.1881059;0.7561721,0.1886409;-0.2001562;0.6845261,0.08594654;-0.4140973;1.311257,0
