Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
24645,1023,-2272;-15856;-5024,1152;-478;-841,-0.6257752;0.3020233;0.9700428,-0.4913763;0.2595502;1.050017,-0.293214;0.1720104;1.179442,-0.1578995;0.2493027;1.295848,-0.002202378;0.2815331;1.312231,-0.0006507704;-0.2544671;1.284398,2
24692,1020,-2368;-15972;-5536,1145;-742;-1144,-0.6240651;0.3007629;0.9677292,-0.4914549;0.2596181;1.049966,-0.2932304;0.1720688;1.179277,-0.1579196;0.2492319;1.29578,-0.002220026;0.2812999;1.311908,-0.0007134382;-0.2546384;1.284157,2
24740,1023,-2220;-15960;-5440,1398;-269;-1143,-0.6269399;0.3013661;0.9717863,-0.4917822;0.2597689;1.050407,-0.293433;0.1723273;1.17958,-0.1579166;0.2492771;1.295963,-0.002272057;0.2811225;1.311939,-0.0006835551;-0.2547517;1.284424,2
24788,1023,-2336;-15612;-5120,1367;-352;-1126,-0.6258157;0.3003224;0.9703749,-0.491801;0.2597835;1.050472,-0.2934423;0.1723543;1.179637,-0.1578995;0.2492839;1.295998,-0.002282511;0.281097;1.31194,-0.0006797182;-0.254767;1.284439,2
24836,1023,-2360;-15508;-4968,1231;-433;-1095,-0.6256316;0.2999292;0.9696482,-0.4918079;0.2597839;1.050486,-0.2934306;0.1723541;1.179619,-0.1578824;0.2492722;1.29598,-0.002263652;0.2810102;1.311903,-0.0006880072;-0.2547695;1.284435,2
24883,1023,-2324;-15604;-5244,995;-418;-1010,-0.6267048;0.2995296;0.9706783,-0.491744;0.2596297;1.050628,-0.2934633;0.172053;1.179814,-0.1578621;0.2492298;1.295919,-0.002197338;0.2807942;1.311778,-0.0006497322;-0.255096;1.2845,2
24931,1022,-2432;-15544;-5120,1219;-198;-1021,-0.6248693;0.2987017;0.9682909,-0.4917464;0.2595652;1.050613,-0.2934262;0.1720467;1.179777,-0.1578531;0.2492268;1.295915,-0.002148086;0.280653;1.311689,-0.0006523521;-0.2551253;1.284494,2
24979,1023,-2652;-15300;-4824,902;-268;-846,-0.6227901;0.2959051;0.963976,-0.4909822;0.2584839;1.049739,-0.2927651;0.1712672;1.179322,-0.1578125;0.2491967;1.295735,-0.001997154;0.2801899;1.310983,-0.0008397091;-0.255143;1.283964,2
25027,1023,-2488;-15324;-4660,1157;-728;-570,-0.6239845;0.2957011;0.9663627,-0.4909101;0.2581732;1.049644,-0.2926548;0.1711033;1.179275,-0.1578059;0.2491841;1.295711,-0.001935287;0.2800156;1.310811,-0.0008675122;-0.2551479;1.283971,2
25059,1019,-2624;-15768;-5112,715;-726;-626,-0.6245036;0.2936864;0.9663239,-0.4908101;0.2571555;1.049177,-0.2924579;0.1708236;1.179196,-0.1577826;0.2490997;1.295715,-0.001866895;0.2797107;1.310404,-0.0009850363;-0.2552077;1.283875,2
