Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,KneeLeft,SpineBase,HipRight,TrimmingId
1102,-0.01579772;0.04883407;1.286891,0.1549289;0.02337626;1.314065,0.2781319;-0.1841632;1.302982,0.1906656;-0.1590972;1.072752,0.150426;-0.1315764;1.022165,-0.2260821;-0.5327572;1.071462,-0.01402146;-0.4591012;1.432006,0.06321452;-0.4468095;1.408569,0
1133,-0.01572584;0.04888552;1.286932,0.1549105;0.02348784;1.31425,0.2730645;-0.1863692;1.277381,0.1763039;-0.1464576;1.053039,0.1507151;-0.1080214;1.021418,-0.2259543;-0.532856;1.071532,-0.01398272;-0.4590248;1.432062,0.0632358;-0.4466867;1.408625,0
1166,-0.01569358;0.04893467;1.286962,0.1547278;0.02391374;1.314362,0.2723327;-0.1861323;1.276081,0.1834604;-0.1147024;1.056347,0.1518111;-0.0835787;1.025881,-0.2259189;-0.532825;1.071547,-0.01396626;-0.4589594;1.432081,0.06324525;-0.4465419;1.408629,0
1198,-0.01556694;0.04902954;1.287147,0.1541755;0.02513683;1.314455,0.269751;-0.1858117;1.273617,0.1757655;-0.09424387;1.063718,0.1486916;-0.05877173;1.030342,-0.22576;-0.532934;1.071663,-0.01386014;-0.4588612;1.432193,0.06336297;-0.4463128;1.40877,0
1236,-0.01549971;0.04912328;1.287419,0.1507423;0.03283092;1.310969,0.263926;-0.1825273;1.223373,0.1518057;-0.05493822;1.043403,0.1498376;-0.03932748;1.04139,-0.2254957;-0.5333527;1.072044,-0.01370812;-0.4584587;1.432544,0.0634831;-0.4454792;1.409248,0
1268,-0.01542751;0.04924987;1.28744,0.1480612;0.0372704;1.309417,0.264825;-0.1820165;1.224703,0.1736474;-0.02650773;1.055332,0.1551705;-0.02539007;1.055398,-0.2254182;-0.5335784;1.072111,-0.0136464;-0.4582042;1.432575,0.06349206;-0.4448725;1.409361,0
1300,-0.01534673;0.04929772;1.287362,0.1479493;0.03664711;1.310298,0.2666101;-0.179804;1.225996,0.1645513;-0.01997262;1.067346,0.1558494;-0.009589986;1.064376,-0.2253088;-0.5336534;1.071967,-0.0136506;-0.4581808;1.432517,0.06348326;-0.4448454;1.409334,0
1332,-0.01518813;0.04932961;1.287513,0.1471125;0.03409582;1.311936,0.2678767;-0.1782019;1.228345,0.1648912;-0.01314697;1.075893,0.1574486;0.003294227;1.07612,-0.2252845;-0.5337096;1.071994,-0.01362327;-0.4582792;1.43259,0.0634822;-0.4449576;1.40947,0
1366,-0.01488573;0.04940801;1.287684,0.1460966;0.02983059;1.313126,0.2692334;-0.176191;1.231552,0.1663134;-0.005555778;1.085499,0.1569299;0.01691454;1.085527,-0.2252997;-0.5336986;1.071944,-0.0136407;-0.4584035;1.43263,0.06346628;-0.4451681;1.409609,0
1421,-0.01431941;0.04951501;1.288154,0.1450776;0.02444322;1.314055,0.2702346;-0.174678;1.232653,0.1683018;0.002837625;1.094551,0.1576084;0.02896977;1.094128,-0.2252244;-0.5337049;1.072015,-0.01359908;-0.4586128;1.432896,0.06353813;-0.4455325;1.410057,0
