Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
1390,-0.03630301;0.2420174;1.333031,0.09602273;0.211319;1.2967,0.01407715;0.01509884;1.245368,-0.08762728;-0.1316313;1.160207,-0.1245579;-0.1910566;1.157374,-0.03028039;-0.1630133;1.431795,0
1424,-0.03637914;0.2419672;1.333078,0.09598149;0.2112458;1.296739,0.01576388;0.01757287;1.24763,-0.08738185;-0.1292112;1.164464,-0.1251052;-0.1903267;1.159507,-0.03100459;-0.1632236;1.432407,0
1458,-0.036392;0.2419588;1.333069,0.09595238;0.2111571;1.296691,0.01227969;0.01408396;1.247084,-0.08988696;-0.1327347;1.162733,-0.1251103;-0.189716;1.159346,-0.0306536;-0.1629564;1.432619,0
1491,-0.03639385;0.2418929;1.332952,0.09590386;0.2110985;1.296551,0.01366105;0.0171116;1.246263,-0.08894067;-0.1307389;1.164456,-0.1217021;-0.1857699;1.160375,-0.03033359;-0.1626917;1.432433,0
1525,-0.03638783;0.2418768;1.33281,0.0958565;0.2110934;1.296433,0.01439036;0.01858607;1.245834,-0.08843454;-0.1296915;1.165168,-0.1210107;-0.1848857;1.160898,-0.03006476;-0.1624454;1.4322,0
1556,-0.03638687;0.2418793;1.332818,0.09584302;0.2110906;1.296429,0.0163956;0.02270726;1.246431,-0.08663207;-0.1262103;1.167284,-0.12248;-0.1843839;1.16051,-0.02988773;-0.1622912;1.432362,0
1589,-0.03638517;0.2418789;1.332814,0.09583455;0.2110826;1.296414,0.01662115;0.02319437;1.246473,-0.08688467;-0.1255224;1.167573,-0.1221725;-0.182638;1.160493,-0.02984958;-0.1622243;1.432401,0
1624,-0.03638395;0.2418757;1.332814,0.09583369;0.211086;1.296402,0.01737055;0.02460224;1.246712,-0.08632348;-0.1241963;1.168218,-0.1221958;-0.1812513;1.16091,-0.02985388;-0.162174;1.432426,0
1657,-0.03636707;0.2418806;1.332829,0.09583046;0.2110863;1.296404,0.01761416;0.02507952;1.246934,-0.08609728;-0.1237231;1.168453,-0.124505;-0.180567;1.160676,-0.02976159;-0.1620241;1.432616,0
1692,-0.03629411;0.2419006;1.332803,0.09583002;0.2110833;1.296402,0.01200262;0.01678205;1.244709,-0.09135934;-0.1310608;1.16389,-0.1273348;-0.1823304;1.158367,-0.02623753;-0.1614102;1.43132,0
