Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
1663,-528;6676;14132,1166;-259;-1178,-0.07116374;0.01818869;1.203072,0.09375998;-0.00447372;1.199687,0.1603932;-0.2119615;1.223636,0.1468864;-0.2544993;0.9813729,-0.05549427;-0.4506849;1.275613,0
1698,-484;6716;14188,1523;-227;-1299,-0.07118618;0.01820976;1.203134,0.09375153;-0.004460188;1.199693,0.1608345;-0.2113028;1.223434,0.1470731;-0.2540708;0.9825684,-0.0554995;-0.4507056;1.275596,0
1733,-572;6992;14404,1055;-189;-1379,-0.07119315;0.01820213;1.203111,0.0937316;-0.004442012;1.199689,0.1607432;-0.2111905;1.223854,0.1471197;-0.2539997;0.9823111,-0.0555207;-0.4506896;1.275556,0
1764,-676;6956;14320,1348;-261;-1236,-0.07095505;0.01808113;1.202566,0.09371327;-0.004415187;1.199629,0.1607481;-0.2111929;1.223787,0.1470537;-0.2536665;0.980951,-0.05525368;-0.4507955;1.274872,0
1799,-488;6700;14532,1239;-686;-1241,-0.07096399;0.01807888;1.202559,0.09370611;-0.004403658;1.199617,0.1605252;-0.2112442;1.224552,0.147496;-0.2533627;0.9820181,-0.05530483;-0.4507574;1.274861,0
1832,-728;7012;14452,1378;-451;-1157,-0.07091993;0.01809315;1.202328,0.09368006;-0.0043609;1.199523,0.1604946;-0.2112315;1.224599,0.1475757;-0.2532797;0.9816922,-0.05533283;-0.4506761;1.274618,1
1864,-656;6848;14300,1244;-503;-1242,-0.07098856;0.01808396;1.20248,0.09423506;-0.00477663;1.200776,0.1605063;-0.211257;1.225151,0.1379891;-0.3607997;1.022874,-0.05543082;-0.4506913;1.274729,1
1899,-676;7084;14080,1280;-471;-1088,-0.07099289;0.01810212;1.202526,0.09457293;-0.004949235;1.201403,0.1604868;-0.2113426;1.225238,0.1487049;-0.2543539;0.9775949,-0.05545252;-0.4506882;1.274743,1
1932,-620;6836;14088,1332;-386;-1018,-0.07098715;0.01810212;1.202531,0.09451191;-0.004888772;1.201309,0.1605509;-0.2113841;1.225316,0.1487611;-0.2536289;0.9808986,-0.0554776;-0.4506857;1.274736,1
1964,-840;7192;13816,1284;-235;-1189,-0.07101297;0.01810651;1.202523,0.09444208;-0.004828413;1.201248,0.1606124;-0.2112961;1.225587,0.1487268;-0.2536243;0.9808739,-0.05550238;-0.450689;1.274736,1
1999,-872;6744;13832,1236;-120;-1093,-0.0710116;0.01810736;1.202528,0.09433212;-0.004755938;1.20115,0.160573;-0.2111869;1.225503,0.1383578;-0.3578851;1.021067,-0.05550035;-0.4506857;1.274735,1
2034,-664;6772;14096,1563;-168;-1062,-0.07102412;0.01811581;1.202572,0.0942631;-0.004700374;1.201099,0.1605399;-0.2111441;1.225442,0.1383445;-0.3578946;1.021042,-0.0555523;-0.4506641;1.274766,1
2066,-720;6832;13956,1405;-13;-1247,-0.07108079;0.01815837;1.203131,0.09420792;-0.004614155;1.201138,0.160528;-0.2112382;1.226828,0.1473233;-0.2547051;0.9824874,-0.05554071;-0.4507508;1.275169,1
2099,-964;6756;14152,1396;55;-1336,-0.07112759;0.01818555;1.203163,0.09416025;-0.004579611;1.201096,0.1605373;-0.2112111;1.226804,0.1474516;-0.2545104;0.9827837,-0.05551639;-0.4507329;1.275195,1
2132,-984;7124;13964,1572;142;-1275,-0.07111909;0.0181812;1.203177,0.09409556;-0.004552776;1.201026,0.1604975;-0.21118;1.226725,0.1378821;-0.3561956;1.021108,-0.05546817;-0.4507525;1.275195,1
2164,-864;6720;14252,1419;141;-1288,-0.07105453;0.01816377;1.203084,0.09401388;-0.004476038;1.200874,0.1604065;-0.2111611;1.226733,0.1484507;-0.2526027;0.9800487,-0.05545091;-0.4507501;1.275168,1
2198,-1032;7164;14180,1462;79;-1479,-0.07102001;0.0181687;1.203115,0.0939401;-0.00442004;1.200811,0.1602458;-0.2113259;1.226516,0.1485521;-0.2528543;0.9792022,-0.05542539;-0.4507565;1.27521,1
2232,-1168;6912;14256,1604;30;-1475,-0.07100904;0.01817746;1.203113,0.09391929;-0.004378594;1.200785,0.1610725;-0.2101512;1.22527,0.1490279;-0.2528283;0.9793838,-0.055501;-0.4507364;1.275199,1
2265,-1240;7384;14088,1481;-238;-1301,-0.0710286;0.01817902;1.202787,0.09387496;-0.00429649;1.200616,0.1610806;-0.2102274;1.224506,0.1490896;-0.2527701;0.9775386,-0.05536668;-0.4507902;1.274755,1
2300,-1088;7180;14092,1721;128;-1317,-0.07099974;0.01819447;1.202801,0.09387213;-0.004286982;1.200614,0.1613245;-0.2100937;1.224191,0.1496791;-0.2525544;0.9777111,-0.05536129;-0.450778;1.274871,1
2330,-1140;7184;14108,1143;50;-1342,-0.071001;0.01824885;1.202899,0.09384838;-0.004249159;1.200577,0.1613988;-0.2103358;1.224245,0.1510474;-0.252144;0.9790315,-0.05535615;-0.4507694;1.274899,1
2367,-1444;7432;14076,1580;-31;-1265,-0.07100499;0.01825706;1.202923,0.09384468;-0.004229286;1.200549,0.1610189;-0.2111257;1.224209,0.1528327;-0.2515699;0.9803982,-0.05535726;-0.4507718;1.274907,1
2399,-1492;7348;14044,1294;-192;-1117,-0.07095844;0.01830455;1.203015,0.09384018;-0.004231394;1.200549,0.159861;-0.2135665;1.225073,0.1666514;-0.2492549;1.004533,-0.05541906;-0.4507682;1.274945,1
2431,-1520;7380;14024,1431;-309;-1052,-0.07097067;0.01831629;1.203035,0.09381987;-0.004209226;1.200519,0.1589888;-0.215498;1.225445,0.1669775;-0.2488111;1.005983,-0.0554179;-0.4507614;1.274945,1
2467,-1468;7196;13880,1262;-266;-1015,-0.07094874;0.0183098;1.202863,0.09379643;-0.004207425;1.200343,0.1584494;-0.2169328;1.224185,0.1737958;-0.2455825;1.021379,-0.05531385;-0.4507288;1.274758,1
2499,-1684;7492;13904,1051;-158;-1071,-0.07096951;0.0183237;1.202869,0.0937904;-0.00420354;1.200338,0.1581661;-0.2175444;1.224271,0.1766427;-0.2453115;1.031173,-0.05530277;-0.4507158;1.274776,1
2531,-1508;7252;13912,1262;-143;-973,-0.07097583;0.01835397;1.202904,0.09378389;-0.004195389;1.200333,0.1575727;-0.2186076;1.224526,0.1772724;-0.2445622;1.036261,-0.05527579;-0.4506819;1.274822,1
2564,-1612;7492;14076,1145;-415;-902,-0.07087141;0.01837926;1.203408,0.09428926;-0.004420696;1.201589,0.1567508;-0.220844;1.22526,0.1624438;-0.2667437;0.9763754,-0.05530186;-0.4506599;1.275255,1
2598,-1660;7456;13816,1284;-309;-929,-0.07087237;0.01838117;1.203407,0.09426588;-0.004418433;1.201535,0.1563995;-0.2209696;1.224803,0.148289;-0.2829652;0.9795115,-0.05530418;-0.4506495;1.275277,1
2631,-1640;7296;13796,1174;-373;-756,-0.07098332;0.01852844;1.203844,0.09424639;-0.004402357;1.201533,0.1559068;-0.2214474;1.224586,0.1468857;-0.2815652;0.9788567,-0.055192;-0.4505413;1.275702,1
2666,-1532;7252;13764,1049;-352;-880,-0.07101773;0.018559;1.203851,0.09420078;-0.004402452;1.201443,0.1548375;-0.2235931;1.222763,0.1490884;-0.2759738;0.9751626,-0.05518937;-0.4505419;1.275716,1
2701,-1656;7320;14056,1200;-283;-986,-0.07101246;0.0185631;1.203852,0.09416982;-0.004372541;1.20139,0.1546522;-0.2233204;1.221833,0.1569524;-0.261035;0.9889675,-0.05506831;-0.4505515;1.275709,1
2730,-1608;7320;13880,1278;-429;-817,-0.0710685;0.01854056;1.203781,0.09413895;-0.004347842;1.201272,0.1541823;-0.223558;1.220832,0.158796;-0.25887;0.989395,-0.05522568;-0.4505319;1.275673,1
2763,-1368;7248;13820,1036;-377;-921,-0.07123758;0.01859079;1.203922,0.09410301;-0.004375654;1.201248,0.1541013;-0.2222244;1.219306,0.1615632;-0.2567143;0.9897539,-0.05520989;-0.4505247;1.275739,1
2799,-1604;7348;13972,1092;-299;-1023,-0.07123607;0.01859041;1.203923,0.09407234;-0.004352451;1.201179,0.1540449;-0.2223036;1.21959,0.1624106;-0.2567179;0.9913237,-0.05514156;-0.4505324;1.275763,1
2830,-1664;7240;13948,949;-274;-918,-0.07124105;0.01857724;1.203986,0.09402848;-0.004314417;1.201135,0.154437;-0.2194916;1.21852,0.1631726;-0.2569802;0.9901608,-0.05516337;-0.4505402;1.275759,1
2864,-1504;7240;13924,1208;-406;-919,-0.07123124;0.01857484;1.203985,0.09398269;-0.004345831;1.201093,0.1547513;-0.2172119;1.216176,0.1659693;-0.256768;0.9855431,-0.05458155;-0.4507186;1.275684,1
2899,-1592;7312;13808,996;-413;-1055,-0.07124835;0.01858103;1.20393,0.09433109;-0.004436724;1.201497,0.1476768;-0.2413984;1.131724,0.1732898;-0.2616206;0.9450823,-0.05460327;-0.4506924;1.275705,1
2932,-1812;7420;13736,1204;-276;-977,-0.07128866;0.01859292;1.204029,0.09431961;-0.00443169;1.201488,0.1560286;-0.2114137;1.214223,0.1682374;-0.2571531;0.9828758,-0.05459451;-0.4507021;1.275892,1
2965,-1616;7248;13864,1124;-403;-870,-0.07126494;0.01859262;1.204017,0.09429447;-0.004397396;1.201433,0.1560173;-0.211472;1.214132,0.1689204;-0.2569604;0.9830544,-0.05450859;-0.4506126;1.276071,1
2998,-1600;7400;13792,1269;-269;-1036,-0.0712355;0.01858108;1.204021,0.09426949;-0.004392576;1.201355,0.1560043;-0.2114162;1.2141,0.1696946;-0.25673;0.9835713,-0.05448735;-0.4506171;1.276101,1
3031,-1668;7116;14080,1114;-441;-989,-0.07125837;0.01860021;1.204028,0.09426422;-0.004387931;1.201339,0.15603;-0.211583;1.213983,0.1708822;-0.2563336;0.9869161,-0.05448664;-0.4505756;1.276202,1
3064,-1520;7400;13996,1361;-417;-1042,-0.07124034;0.01859355;1.204012,0.0942416;-0.004393274;1.201269,0.1561377;-0.2115021;1.213885,0.1708745;-0.2564799;0.9849609,-0.05448633;-0.4505595;1.27622,1
3102,-1780;7348;13800,1007;-356;-1032,-0.07121504;0.01858336;1.203995,0.09423149;-0.004392218;1.201255,0.1561816;-0.211446;1.21386,0.1707905;-0.2564417;0.9845463,-0.05448732;-0.4505535;1.276242,1
3133,-1640;7312;13748,1280;-190;-1070,-0.07113584;0.01856683;1.204008,0.09422371;-0.004396167;1.201241,0.1562112;-0.211345;1.213703,0.1700718;-0.2572398;0.9819657,-0.0544443;-0.4505253;1.276343,1
3163,-1732;7332;13884,1039;-159;-1135,-0.07103789;0.01855236;1.203913,0.09421261;-0.004369998;1.201176,0.1485808;-0.2422038;1.136348,0.1556967;-0.3534063;0.9248416,-0.05443744;-0.450465;1.276283,1
3199,-1804;7252;13864,1264;-276;-1003,-0.07101894;0.01854436;1.203898,0.09421167;-0.004367388;1.201167,0.156287;-0.2120501;1.211286,0.1678688;-0.2593113;0.9788193,-0.05438601;-0.4504582;1.276293,1
3231,-1800;7324;13880,1197;-205;-1174,-0.07092614;0.01858453;1.20375,0.09419583;-0.004372425;1.201136,0.1562777;-0.2119379;1.210964,0.1677945;-0.2592812;0.9789727,-0.05442034;-0.450435;1.276273,1
3264,-1872;7272;13752,1211;-211;-1041,-0.0708529;0.01858544;1.203875,0.09419295;-0.004390905;1.201143,0.1562264;-0.2122277;1.211394,0.1682451;-0.2575661;0.9817212,-0.05464201;-0.4504733;1.276463,1
3299,-1816;7348;13776,1111;-159;-1091,-0.0708434;0.0185881;1.2039,0.09419017;-0.004403534;1.20114,0.1559764;-0.2126641;1.211697,0.1678399;-0.2575414;0.9818772,-0.05464782;-0.4504966;1.276464,1
3332,-1828;7276;14196,1216;-403;-1128,-0.07083354;0.01857056;1.203904,0.09419307;-0.004405522;1.201143,0.1552049;-0.2166767;1.213598,0.1619733;-0.2610728;1.029624,-0.05465154;-0.4504972;1.276466,1
3365,-1952;7516;14012,1144;-442;-1039,-0.07074784;0.01853783;1.203804,0.09419421;-0.004405677;1.201117,0.1547308;-0.2186337;1.215291,0.1569282;-0.2834344;0.9705983,-0.0541373;-0.4506096;1.276113,1
3398,-1800;7300;13896,1251;-574;-884,-0.07067824;0.01851544;1.20365,0.09467504;-0.004635023;1.201436,0.1539538;-0.2255454;1.218651,0.1565562;-0.2848118;0.9725616,-0.05444404;-0.4505732;1.275887,1
3430,-1820;7288;13728,1072;-407;-1031,-0.0706592;0.01850329;1.203662,0.09466549;-0.004604504;1.201425,0.153583;-0.22978;1.222368,0.1592148;-0.2755647;0.97346,-0.05442931;-0.450561;1.275938,1
3464,-1928;7320;13964,1097;-451;-932,-0.07060702;0.01849664;1.203714,0.09530286;-0.004754399;1.202426,0.1486381;-0.2469474;1.165182,0.1518425;-0.349185;0.9487232,-0.05447374;-0.4505229;1.275988,1
3499,-1800;7176;13844,1244;-491;-915,-0.07059439;0.01847509;1.203818,0.09526943;-0.004721017;1.202394,0.1486266;-0.2469151;1.165211,0.1510364;-0.349446;0.9489082,-0.05454864;-0.4504563;1.276086,1
3531,-1836;7236;13780,1182;-538;-949,-0.07059481;0.01852467;1.204166,0.09522336;-0.004658683;1.202396,0.153709;-0.2385613;1.233671,0.1780958;-0.2509608;0.98325,-0.05458106;-0.4503659;1.276442,1
3567,-1848;7404;13744,1153;-421;-903,-0.07056011;0.0184778;1.203955,0.09510665;-0.004598456;1.202142,0.1540773;-0.2365325;1.232862,0.1774487;-0.2478018;0.9810494,-0.05470763;-0.4504378;1.276039,1
3603,-1792;7092;13768,1224;-375;-911,-0.07054419;0.01845259;1.204147,0.09506696;-0.004574375;1.202151,0.1583138;-0.2184593;1.226127,0.1717268;-0.242983;0.9884038,-0.05464661;-0.4504538;1.276296,1
3631,-1776;7280;13804,1004;-475;-1058,-0.07053889;0.01844904;1.204202,0.09504441;-0.004562336;1.202134,0.1589338;-0.2170489;1.225924,0.1683284;-0.2426732;0.9860071,-0.05464498;-0.4504468;1.276299,1
3663,-1828;7344;13760,1171;-608;-1074,-0.07052115;0.01842778;1.204335,0.09501734;-0.004536873;1.202142,0.1588495;-0.2171127;1.226619,0.1614965;-0.2444752;0.977811,-0.05464936;-0.4504381;1.276324,1
3698,-1856;7460;13716,1341;-422;-999,-0.07051988;0.01846487;1.204354,0.09493852;-0.00444545;1.202109,0.160135;-0.2137883;1.225652,0.1584674;-0.2451033;0.9765057,-0.05470432;-0.4504055;1.276354,1
3732,-1924;7288;13832,1152;-472;-869,-0.07050163;0.01849464;1.204347,0.0948801;-0.004376482;1.202059,0.1601616;-0.2137323;1.225627,0.1556199;-0.2462531;0.9750198,-0.05473228;-0.4503884;1.276351,1
3811,-1900;7264;13796,1178;-411;-926,-0.07049733;0.01850798;1.204305,0.0947408;-0.004268189;1.201932,0.1622532;-0.2106649;1.2235,0.1531332;-0.2472021;0.975726,-0.05488548;-0.4504308;1.27608,1
3830,-1828;7268;13848,1235;-369;-1106,-0.07049371;0.01851176;1.204312,0.09469455;-0.004277544;1.2019,0.1619643;-0.2107737;1.224354,0.152079;-0.2479226;0.975715,-0.05496218;-0.4504634;1.276059,1
3863,-1848;7224;13920,1071;-412;-1094,-0.07048638;0.01850975;1.204304,0.09486995;-0.00434752;1.20244,0.1614732;-0.2104951;1.225105,0.151248;-0.2483314;0.9781562,-0.05495957;-0.4505125;1.275969,1
3898,-1816;7328;13860,1096;-431;-1048,-0.07048469;0.01852713;1.204318,0.09479394;-0.004332854;1.202375,0.161212;-0.2107056;1.225481,0.1506097;-0.2486699;0.9779726,-0.05495436;-0.4505115;1.275983,1
3930,-1968;7296;13956,918;-332;-1077,-0.07039519;0.01859622;1.204709,0.09472918;-0.004289248;1.202397,0.1612137;-0.2105751;1.225738,0.1495894;-0.2490572;0.9816705,-0.05474733;-0.4505671;1.27621,1
3963,-1992;7412;14120,986;-601;-1002,-0.07041404;0.01858045;1.204742,0.09466563;-0.004237962;1.202399,0.161033;-0.2108641;1.226166,0.1494043;-0.2490715;0.9819961,-0.05488134;-0.4506137;1.27625,1
4001,-2036;7428;13904,1157;-646;-924,-0.07041017;0.0185838;1.204758,0.0946022;-0.004197292;1.202362,0.1610432;-0.2107478;1.226203,0.14938;-0.249078;0.9820777,-0.05499832;-0.4506624;1.276194,1
4032,-1856;7436;13764,1096;-610;-912,-0.07043406;0.01857182;1.204757,0.09450581;-0.004144696;1.202292,0.1605173;-0.2114314;1.22755,0.1493667;-0.2490281;0.982309,-0.05505981;-0.4506745;1.276129,1
