Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
2255,1816;-604;-17432,1105;-538;-956,-0.2537264;-0.05877806;0.9929994,-0.2032786;-0.01572872;1.205957,-0.164065;0.1940058;1.167336,0.005588027;0.2094679;1.136445,0.01533238;-0.259809;1.30666,0
2288,1732;-740;-17208,1165;-496;-1015,-0.2540506;-0.05559774;0.9917129,-0.2035646;-0.01589578;1.205319,-0.1640648;0.1939416;1.167286,0.005582348;0.2094346;1.136398,0.01537488;-0.2598575;1.306592,0
2319,1844;-692;-17300,1148;-487;-988,-0.2545794;-0.06492481;0.9913603,-0.2050678;-0.01609641;1.203282,-0.1640812;0.1939251;1.167085,0.005543769;0.20939;1.136268,0.01490221;-0.2600936;1.306186,0
2352,1812;-612;-17316,1160;-471;-1003,-0.2413339;-0.04857825;1.007831,-0.2174132;-0.02244766;1.151248,-0.1640752;0.1939334;1.167062,0.005516067;0.2093794;1.136225,0.01474344;-0.2602106;1.306035,0
2386,1760;-448;-17276,1152;-474;-1002,-0.25434;-0.04635226;0.9554028,-0.2169324;-0.01868667;1.173628,-0.1640582;0.1940231;1.167062,0.005516006;0.2093907;1.136225,0.01476748;-0.2602062;1.306076,0
2419,1752;-532;-17228,1161;-493;-998,-0.2571663;-0.04021684;0.9576443,-0.2165836;-0.01849289;1.175972,-0.1641042;0.1940704;1.167243,0.005533284;0.2094931;1.1364,0.0148794;-0.2602076;1.306284,0
2454,1796;-636;-17272,1162;-474;-1018,-0.2591093;-0.04066462;0.9493081,-0.2194082;-0.01855787;1.167766,-0.1641092;0.194076;1.167215,0.005541632;0.2095152;1.136314,0.01488269;-0.2601967;1.306286,0
2531,1708;-604;-17244,1148;-496;-999,-0.2562081;-0.04363358;0.9535705,-0.2207136;-0.01769947;1.172332,-0.1641235;0.1941291;1.16697,0.00548417;0.2095601;1.135993,0.01472675;-0.2601974;1.306051,0
2617,1736;-596;-17328,1155;-477;-988,-0.2511851;-0.04587671;0.9658704,-0.2220495;-0.01525962;1.184962,-0.1642204;0.1945363;1.167328,0.005415799;0.2098911;1.136621,0.01494591;-0.2600226;1.306603,0
2632,1764;-620;-17340,1155;-458;-996,-0.2483789;-0.04863876;0.9638005,-0.2234209;-0.01512131;1.182986,-0.1642436;0.194591;1.167279,0.005408978;0.2098925;1.136608,0.01481721;-0.2600077;1.306476,0
