Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
1689,-4132;-2280;-16428,1133;-482;-952,-0.06852444;0.01061992;1.187322,0.09909349;-0.002442282;1.20063,0.1568804;-0.2159791;1.222684,0.1934116;-0.2603366;0.9761629,-0.04029814;-0.4547995;1.273905,0
1724,-4108;-2264;-16444,1151;-445;-977,-0.06847594;0.01066655;1.187334,0.09907538;-0.002261108;1.200755,0.1569694;-0.2157677;1.222567,0.1921427;-0.2615305;0.9761057,-0.0404072;-0.4547333;1.273952,0
1755,-4000;-2232;-16488,1165;-461;-965,-0.06844719;0.01074294;1.187351,0.09909104;-0.002092896;1.200867,0.1569519;-0.2157296;1.22251,0.1878345;-0.2644665;0.9785227,-0.04040244;-0.4547212;1.274024,0
1794,-4076;-2408;-16516,1141;-490;-958,-0.06843511;0.01078363;1.1874,0.09909584;-0.001924553;1.201008,0.1571309;-0.2155192;1.222473,0.1879949;-0.2644109;0.9785438,-0.04048541;-0.4547124;1.274179,0
1822,-4088;-2268;-16436,1133;-462;-956,-0.06837604;0.01081508;1.187411,0.09912665;-0.00168927;1.201157,0.1570332;-0.2154202;1.222741,0.1863113;-0.262919;0.9875221,-0.0402925;-0.4546494;1.274247,0
1855,-4036;-2416;-16612,1136;-466;-938,-0.06832337;0.01084794;1.187418,0.09915516;-0.001550742;1.201267,0.1570221;-0.2154738;1.222949,0.1862105;-0.2624121;0.9895678,-0.03960646;-0.4546528;1.274306,0
1889,-3948;-2340;-16328,1167;-420;-963,-0.06831047;0.01085062;1.187421,0.09915705;-0.001462014;1.201301,0.1569166;-0.2155798;1.222897,0.1865622;-0.2620657;0.9897265,-0.03972444;-0.454595;1.274297,0
1923,-4096;-2284;-16344,1132;-465;-954,-0.06831264;0.01085333;1.187421,0.0991759;-0.001358859;1.20136,0.1564821;-0.2175337;1.223941,0.1857141;-0.2620306;0.9925671,-0.03972315;-0.4545996;1.274287,0
1956,-4044;-2288;-16304,1183;-482;-950,-0.0682945;0.01089768;1.187462,0.09919002;-0.001285601;1.201409,0.1564072;-0.217468;1.223988,0.1854837;-0.2622557;0.9924054,-0.03988586;-0.4545392;1.274362,0
1989,-4028;-2268;-16656,1136;-485;-953,-0.06826761;0.01097949;1.18751,0.09919623;-0.001188641;1.201461,0.1564532;-0.2184409;1.224116,0.1849711;-0.2617357;0.9943283,-0.03975194;-0.4544981;1.274416,0
