Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
1365,-0.1173445;-0.08699708;1.456356,0.03971016;-0.1220335;1.406528,-0.02393655;-0.3050492;1.311159,-0.1524331;-0.416964;1.182045,-0.1993311;-0.4433939;1.164573,-0.09584977;-0.5259334;1.39319,0
1400,-0.1176191;-0.08706263;1.456413,0.04015581;-0.1218805;1.408131,-0.02347004;-0.3043685;1.31159,-0.1571467;-0.4103202;1.182633,-0.2025642;-0.4162741;1.17376,-0.0980236;-0.5257496;1.394518,0
1434,-0.1177464;-0.08713289;1.456287,0.04059412;-0.121812;1.408991,-0.02320074;-0.3040009;1.311928,-0.1620973;-0.4032713;1.183092,-0.1391819;-0.3870258;1.245468,-0.09825046;-0.5259202;1.394788,0
1465,-0.1183146;-0.08738293;1.45713,0.04128689;-0.1212644;1.413072,-0.01767386;-0.3071596;1.320779,-0.1743447;-0.3839004;1.197053,-0.2513574;-0.3514719;1.16817,-0.09936258;-0.5266677;1.395387,0
1500,-0.1188745;-0.08749348;1.457273,0.04158429;-0.1212704;1.413874,-0.0370588;-0.3006942;1.310025,-0.2531874;-0.2933601;1.176416,-0.3029855;-0.2897748;1.139887,-0.1080431;-0.5283268;1.395746,0
1531,-0.1190187;-0.08755949;1.457622,0.0417209;-0.1213075;1.414684,-0.04128266;-0.3012134;1.308386,-0.2676233;-0.2549908;1.190983,-0.3053027;-0.237192;1.169793,-0.1078689;-0.5277814;1.397532,0
1565,-0.1191128;-0.08761919;1.457532,0.04238527;-0.1218174;1.415337,-0.04664217;-0.2995355;1.304025,-0.2470715;-0.2592386;1.185667,-0.302911;-0.189643;1.197254,-0.1081421;-0.5277425;1.397455,0
1601,-0.1194171;-0.08773776;1.457727,0.04290819;-0.122141;1.416172,-0.04955169;-0.2958826;1.30361,-0.2402676;-0.179674;1.254001,-0.2961038;-0.1382926;1.23915,-0.1083971;-0.5277742;1.397671,0
1633,-0.1196533;-0.08789212;1.458226,0.04340079;-0.1222065;1.41711,-0.05106995;-0.2918467;1.303624,-0.2386658;-0.174266;1.253588,-0.279424;-0.1058613;1.275129,-0.1085997;-0.5279781;1.397905,0
1665,-0.1198688;-0.0878747;1.458395,0.04335;-0.1210099;1.417776,-0.03845681;-0.2867529;1.303928,-0.2094578;-0.1493285;1.264209,-0.2546348;-0.08950353;1.307538,-0.1086343;-0.5280219;1.397952,0
1700,-0.1201115;-0.08779936;1.458572,0.04321581;-0.1198733;1.418488,-0.03650754;-0.2865582;1.30453,-0.2080341;-0.1485836;1.26502,-0.2252845;-0.09590576;1.337848,-0.1087597;-0.5278973;1.398114,0
1732,-0.1203979;-0.08756076;1.458681,0.04346061;-0.1199991;1.418767,-0.03645898;-0.2862449;1.304247,-0.2080031;-0.1484149;1.264857,-0.1887938;-0.1288284;1.346716,-0.1094837;-0.5272645;1.398438,0
1766,-0.1207753;-0.08724412;1.459632,0.04375112;-0.120162;1.419405,-0.03668566;-0.2858458;1.304381,-0.2081589;-0.1482026;1.264985,-0.2129507;-0.1026631;1.335168,-0.1100365;-0.5268199;1.398952,0
1800,-0.1209041;-0.08716559;1.459741,0.04394005;-0.1202104;1.419663,-0.03681689;-0.285357;1.304028,-0.2083156;-0.1479097;1.264667,-0.1577841;-0.1646349;1.33875,-0.1101095;-0.5267565;1.39898,0
1833,-0.1209799;-0.08727757;1.45981,0.04363247;-0.118964;1.42024,-0.03738077;-0.2831965;1.303347,-0.2090591;-0.146378;1.263902,-0.157216;-0.1690427;1.33723,-0.11015;-0.5266583;1.399013,0
1868,-0.1210413;-0.08742292;1.459936,0.04348071;-0.1178477;1.421038,-0.03740332;-0.2811559;1.302609,-0.2094164;-0.1450868;1.262973,-0.1583953;-0.1677808;1.336896,-0.1101842;-0.5265677;1.399022,0
1900,-0.1210124;-0.08738662;1.460456,0.04360157;-0.1163499;1.42302,-0.03614178;-0.2790444;1.302809,-0.2088146;-0.1440634;1.262773,-0.2161677;-0.09991689;1.331502,-0.1101786;-0.5264372;1.399133,0
1931,-0.1209862;-0.08737467;1.460519,0.04360888;-0.1154873;1.423771,-0.0338328;-0.2773063;1.300637,-0.2064782;-0.1416749;1.261443,-0.2144988;-0.09809717;1.330085,-0.1101491;-0.526347;1.399107,0
1965,-0.1209187;-0.08734162;1.461528,0.04414676;-0.1136396;1.426311,-0.03053384;-0.2736626;1.298804,-0.2037159;-0.1386309;1.259786,-0.212175;-0.09540994;1.328259,-0.1100918;-0.5259842;1.39929,0
2000,-0.1208688;-0.0873346;1.462243,0.04469238;-0.1139165;1.426621,-0.02654646;-0.2711015;1.293263,-0.1528324;-0.1051091;1.317296,-0.1837046;-0.09792705;1.370446,-0.1100757;-0.5259733;1.399313,0
2032,-0.120913;-0.08749551;1.462374,0.04533641;-0.1139088;1.427104,-0.01814063;-0.2681278;1.286005,-0.1517083;-0.1183923;1.341551,-0.1872167;-0.07744055;1.397388,-0.1100732;-0.5259348;1.399286,0
2066,-0.1209978;-0.08770332;1.462771,0.04619671;-0.1137548;1.427823,-0.005054963;-0.2677943;1.281317,-0.1504019;-0.1305683;1.338933,-0.1928237;-0.0959841;1.388091,-0.1100189;-0.525959;1.399292,0
2102,-0.1211431;-0.08788656;1.46317,0.04687934;-0.1135521;1.42829,0.02119121;-0.2688844;1.276246,-0.1401314;-0.1494645;1.331415,-0.1930287;-0.1061468;1.377464,-0.1099005;-0.5260262;1.399285,0
2132,-0.1212096;-0.08801642;1.463404,0.04758449;-0.1131746;1.428784,0.04279507;-0.2680531;1.274083,-0.1292108;-0.1614037;1.324043,-0.18796;-0.1158526;1.366893,-0.1097998;-0.5260617;1.399209,0
2166,-0.1212504;-0.08805541;1.463494,0.04817629;-0.112893;1.429167,0.0655089;-0.2675561;1.275238,-0.1130954;-0.1663692;1.31506,-0.1713938;-0.1284441;1.35238,-0.1096457;-0.5260511;1.399056,0
2200,-0.1212988;-0.08809455;1.463587,0.04872412;-0.1125915;1.429629,0.09854044;-0.2668012;1.283018,-0.09336667;-0.1832413;1.302284,-0.1593967;-0.1500429;1.332092,-0.1093013;-0.5261937;1.398491,0
2231,-0.1211374;-0.08713751;1.467117,0.05200538;-0.1043107;1.440685,0.1112689;-0.25933;1.298844,-0.08797681;-0.1897887;1.298432,-0.1558986;-0.1694452;1.3238,-0.108867;-0.5259084;1.398472,0
2266,-0.1212191;-0.08656695;1.468631,0.05329685;-0.1033639;1.444722,0.1271895;-0.2609493;1.313862,-0.07396662;-0.1973961;1.293699,-0.1397059;-0.1756072;1.291246,-0.1086565;-0.5257105;1.398291,0
2300,-0.1214532;-0.08584166;1.471087,0.05489716;-0.1041382;1.450428,0.1461266;-0.2606772;1.33075,-0.05108403;-0.2107406;1.265593,-0.1056106;-0.1979586;1.275423,-0.1082979;-0.5254287;1.398494,0
2333,-0.1217786;-0.08540438;1.472029,0.05630623;-0.1054726;1.454577,0.1531194;-0.2608649;1.338205,-0.05499;-0.2185969;1.263995,-0.1227364;-0.2100692;1.257736,-0.1079915;-0.5252087;1.398473,0
2365,-0.1220725;-0.08515753;1.472533,0.05740036;-0.1069807;1.458576,0.1656623;-0.2658404;1.349638,-0.05207558;-0.2286654;1.258809,-0.1168166;-0.2327399;1.242243,-0.1077195;-0.5249687;1.39838,0
2399,-0.1222351;-0.0854199;1.472067,0.05868531;-0.1086547;1.462137,0.1717296;-0.2682621;1.358797,-0.03824345;-0.2499832;1.245761,-0.09180468;-0.2551083;1.220261,-0.1075726;-0.5246742;1.398372,0
2431,-0.1224005;-0.08569522;1.471473,0.05956309;-0.1099677;1.46412,0.1995658;-0.2929528;1.362039,-0.03437995;-0.2568187;1.246565,-0.06989023;-0.2805091;1.198696,-0.1074524;-0.524508;1.398175,0
2465,-0.1225557;-0.08587208;1.471221,0.05975951;-0.11213;1.468325,0.187935;-0.2853615;1.3837,-0.01275553;-0.2871892;1.234239,-0.03981397;-0.3089927;1.186833,-0.1073012;-0.524663;1.397753,0
2500,-0.1229264;-0.08557511;1.471905,0.06016197;-0.1137177;1.469927,0.2276348;-0.3036607;1.406663,0.02567585;-0.3220588;1.223614,-0.01193458;-0.3388491;1.171789,-0.1065029;-0.5265118;1.393447,0
2533,-0.1230258;-0.08551915;1.472103,0.06041314;-0.1155876;1.47171,0.2182313;-0.3088914;1.401764,0.07363053;-0.4026582;1.208956,0.01061144;-0.3760183;1.15749,-0.1063769;-0.5294707;1.387295,0
