Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
1734,-0.01270208;-0.4132959;1.298781,-0.009688652;-0.3657165;1.323181,0.1294444;-0.1623491;1.390764,0.05811545;-0.01738969;1.501522,0.2199528;0.01568989;1.534055,0.2239404;-0.4394051;1.48809,0
1768,-0.01291175;-0.4130322;1.298041,-0.01035111;-0.3660171;1.321833,0.1286531;-0.16315;1.391427,0.05807264;-0.01739899;1.501557,0.2199485;0.01575961;1.534162,0.2238644;-0.4393696;1.488304,0
1799,-0.01331693;-0.4139708;1.297792,-0.01120616;-0.3671008;1.321631,0.1273464;-0.16424;1.392227,0.05797999;-0.01744452;1.501666,0.2199091;0.01581756;1.534271,0.2238581;-0.4393584;1.488314,0
1831,-0.01356009;-0.4137364;1.296507,-0.01168418;-0.3675227;1.321205,0.1265641;-0.1646373;1.392383,0.05788312;-0.01745996;1.501734,0.2198907;0.01585313;1.53432,0.2239091;-0.439362;1.488274,0
1865,-0.0129567;-0.4150029;1.299319,-0.01175113;-0.3674711;1.321172,0.1262692;-0.1644365;1.392364,0.0577086;-0.01747784;1.502131,0.2198926;0.01591811;1.534578,0.224116;-0.4392574;1.488227,0
1897,-0.01361777;-0.4128788;1.295,-0.01179466;-0.3664523;1.319831,0.1252098;-0.161799;1.38792,0.057615;-0.01745383;1.502174,0.2198703;0.01595154;1.534595,0.2241131;-0.439217;1.488172,0
1930,-0.01603199;-0.4152242;1.300364,-0.0138154;-0.3687466;1.324947,0.1221865;-0.1618073;1.386819,0.05743856;-0.01729969;1.502681,0.2198511;0.0160953;1.534902,0.2240077;-0.4389863;1.488446,0
1966,-0.01242896;-0.4121128;1.300758,-0.01146983;-0.3647962;1.323432,0.1249251;-0.1576506;1.383579,0.05734789;-0.01705266;1.502917,0.2198459;0.01616348;1.535,0.2240216;-0.4384578;1.488651,0
2000,-0.00844578;-0.4103101;1.303502,-0.009455978;-0.3613802;1.322359,0.1270746;-0.1538224;1.380577,0.05731488;-0.0167996;1.50308,0.2198128;0.01632202;1.53522,0.2238552;-0.4377711;1.489108,0
2036,-0.007890869;-0.4096813;1.303846,-0.002749381;-0.3572777;1.322766,0.1310825;-0.1466986;1.375326,0.05733401;-0.01644475;1.50325,0.2198048;0.01641034;1.535332,0.223754;-0.4372806;1.489647,0
2069,0.01409219;-0.4037131;1.312626,0.01430719;-0.3459003;1.317909,0.1701586;-0.147585;1.352549,0.0577502;-0.01525224;1.504754,0.2197152;0.01649558;1.535429,0.2189614;-0.4372374;1.488216,0
2097,0.01861679;-0.4009051;1.31136,0.01405296;-0.340655;1.312553,0.1645125;-0.1397348;1.357436,0.05797406;-0.01480865;1.505171,0.2196275;0.0165763;1.5354,0.2137025;-0.4365363;1.486864,0
2132,0.02085658;-0.3995345;1.316885,0.01381219;-0.3379703;1.315045,0.1615406;-0.1354345;1.362103,0.05821154;-0.01430147;1.505865,0.2195782;0.01671258;1.53539,0.2119867;-0.4366433;1.486267,0
2165,0.0215652;-0.3972489;1.316433,0.01539554;-0.3360821;1.315521,0.1635827;-0.1338929;1.362781,0.05841826;-0.01393553;1.506309,0.2193666;0.01683594;1.535261,0.2085223;-0.4367502;1.484936,0
2200,0.02177919;-0.3963272;1.322801,0.01530051;-0.3352923;1.321815,0.1634987;-0.1325016;1.365531,0.05863544;-0.01362829;1.506909,0.2192697;0.01695902;1.535238,0.2076885;-0.43689;1.484821,0
2232,0.0218621;-0.3960756;1.320533,0.01472321;-0.334973;1.318983,0.1620322;-0.1324206;1.367639,0.05868046;-0.01362839;1.506897,0.2191873;0.0170314;1.535172,0.2070476;-0.4371058;1.484203,0
2266,0.02214336;-0.3966919;1.321762,0.01406377;-0.335301;1.319556,0.1606075;-0.1324965;1.369682,0.05877057;-0.01346351;1.506963,0.2191326;0.01714266;1.535192,0.2066573;-0.4371462;1.484107,0
2299,0.0203024;-0.3965345;1.324686,0.01303038;-0.3366795;1.326559,0.1598724;-0.1331161;1.371225,0.05892774;-0.01343543;1.507378,0.2191036;0.0172303;1.535183,0.2065493;-0.4372381;1.484168,0
2332,0.01970636;-0.3960989;1.323495,0.01262097;-0.33715;1.32726,0.1591751;-0.1333805;1.37187,0.0590151;-0.01336371;1.507714,0.219095;0.01725779;1.535172,0.2064163;-0.4372535;1.484115,0
2365,0.01979257;-0.3963884;1.323231,0.01253001;-0.3367105;1.325652,0.1593134;-0.133368;1.371821,0.05914145;-0.01333419;1.50781,0.2190888;0.01730467;1.535154,0.2060793;-0.4373586;1.484246,0
2398,0.02120136;-0.3967021;1.323023,0.01256714;-0.336421;1.323112,0.1590433;-0.133292;1.371677,0.0594658;-0.01315791;1.508602,0.219062;0.01738926;1.535137,0.2054475;-0.4373682;1.484527,0
2434,0.02092066;-0.3965669;1.32129,0.01081423;-0.3367008;1.321294,0.1551014;-0.1317353;1.368246,0.05971373;-0.01292796;1.508911,0.2190191;0.01757963;1.534995,0.2051826;-0.437347;1.484461,0
2463,-0.01955628;-0.4122988;1.315989,0.006220466;-0.3387489;1.320376,0.1442597;-0.1288685;1.362862,0.0601416;-0.01191947;1.510414,0.2189775;0.01778416;1.534999,0.2050962;-0.437434;1.48453,0
2496,0.01119118;-0.3980625;1.31505,-0.0004027382;-0.3416628;1.316612,0.1285372;-0.1249331;1.3492,0.06044444;-0.009975331;1.511425,0.2186376;0.01749956;1.532648,0.2046054;-0.4375474;1.48357,0
2533,0.006922005;-0.3993641;1.317263,-0.006421505;-0.3412385;1.313838,0.1099069;-0.1173443;1.343867,0.06075373;-0.008400341;1.512041,0.2186094;0.01771566;1.53277,0.204252;-0.437809;1.483268,0
2564,-0.21369;-0.2139747;1.314481,-0.1493553;-0.1881137;1.345602,0.09013305;-0.1048424;1.344101,0.0607927;-0.005437761;1.514065,0.2186429;0.01802228;1.533236,0.203949;-0.4385206;1.483589,0
2597,-0.237809;-0.2008757;1.309918,-0.158374;-0.1888252;1.329432,0.07542064;-0.09048763;1.332023,0.06107708;-0.002486025;1.514239,0.2185855;0.01817729;1.533198,0.2012119;-0.4409727;1.481455,0
2632,-0.2486824;-0.1999065;1.300599,-0.1771948;-0.1945613;1.329519,0.04984198;-0.0821183;1.330726,0.06375274;0.01281981;1.520147,0.2184786;0.01846213;1.533434,0.2004095;-0.4416917;1.481084,0
2665,-0.2473177;-0.2001761;1.307505,-0.1910468;-0.2008045;1.337852,0.02520722;-0.07020763;1.330388,0.06509291;0.01765373;1.521899,0.2184271;0.01891255;1.53381,0.1995527;-0.4419076;1.480983,0
2699,-0.250507;-0.2009993;1.307472,-0.1999024;-0.2051343;1.338905,0.006020586;-0.05840526;1.336929,0.06733021;0.02260003;1.525078,0.218703;0.01964825;1.534827,0.1982432;-0.442053;1.481849,0
2731,-0.2490346;-0.2016825;1.305822,-0.205075;-0.2095036;1.341131,-0.01705979;-0.04059826;1.339291,0.07368286;0.03128788;1.529392,0.2191118;0.02000683;1.535109,0.1976472;-0.4417997;1.48175,0
2764,-0.2417458;-0.200482;1.319443,-0.2046982;-0.212368;1.357642,-0.03835044;-0.02319071;1.345659,0.07516603;0.03200774;1.529545,0.2195162;0.02023872;1.53539,0.1970774;-0.4416654;1.481665,0
2797,-0.2485177;-0.2000014;1.310547,-0.2062158;-0.2103254;1.348609,-0.05427913;-0.008039642;1.35376,0.07580782;0.03046111;1.530229,0.2199406;0.02043432;1.535692,0.1961697;-0.4412967;1.481598,0
2833,-0.3518016;-0.1753069;1.177288,-0.2051825;-0.207437;1.34959,-0.06774528;0.005084427;1.364557,0.07581203;0.03021093;1.53096,0.2203423;0.0205589;1.536009,0.1958921;-0.4405833;1.481652,0
2868,-0.3476038;-0.1740958;1.179503,-0.2034489;-0.202303;1.345847,-0.0756903;0.01580798;1.371373,0.07540336;0.02817881;1.532441,0.2206003;0.02058485;1.536284,0.1957648;-0.439952;1.481649,0
2899,-0.3483874;-0.1757079;1.175947,-0.2006715;-0.1944062;1.348237,-0.08881312;0.03071828;1.38988,0.07519166;0.02720212;1.532991,0.2207862;0.02061426;1.536525,0.1948155;-0.439421;1.481866,0
2931,-0.3489265;-0.1764233;1.177619,-0.1996455;-0.1882723;1.348155,-0.09668887;0.03905116;1.402238,0.07453023;0.02612342;1.535252,0.2210264;0.02063173;1.536771,0.1946916;-0.4391395;1.481779,0
2964,-0.3552714;-0.1773463;1.166165,-0.2263864;-0.16171;1.308595,-0.1041202;0.002146307;1.40867,0.07398512;0.0255548;1.53613,0.221076;0.02066848;1.536875,0.1939573;-0.4385783;1.481886,0
