Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
1296,-4868;-9892;11732,1567;-619;-893,-0.1066713;-0.2572838;1.397974,-0.06091976;-0.2411223;1.603818,0.04014667;-0.01656408;1.568795,0.2223867;-8.156686E-05;1.522623,0.194735;-0.4479644;1.452448,0
1329,-4832;-9524;11656,1004;-449;-964,-0.1130034;-0.2572434;1.362352,-0.06060621;-0.2414213;1.603024,0.04015378;-0.01654212;1.568779,0.2223406;-0.0002970308;1.522467,0.1947266;-0.4479577;1.452461,0
1362,-4904;-10236;11608,932;-391;-1109,-0.1133737;-0.2555671;1.362827,-0.06376547;-0.2405341;1.600094,0.04021825;-0.01649271;1.568576,0.2222297;-0.0005965636;1.521904,0.1947202;-0.4479407;1.452319,0
1394,-5028;-9660;11664,1286;-487;-1132,-0.1076247;-0.2579101;1.405577,-0.05467884;-0.2423262;1.609124,0.04023989;-0.01648099;1.568604,0.2222151;-0.000684422;1.521958,0.1947208;-0.4479561;1.452363,0
1429,-4904;-9600;11736,983;-407;-1244,-0.1120621;-0.2512215;1.371569,-0.0645506;-0.239502;1.602826,0.04024871;-0.01646922;1.56856,0.2226992;0.001217771;1.522336,0.1948069;-0.447961;1.452207,0
1461,-5040;-9680;11820,889;-445;-1161,-0.1118515;-0.2544254;1.37261,-0.06625802;-0.2387049;1.602907,0.04024922;-0.01647848;1.568642,0.2226598;0.0009263618;1.522463,0.194824;-0.4479674;1.45225,0
1495,-5040;-9696;11836,1640;-634;-879,-0.1174853;-0.2571165;1.408548,-0.0669085;-0.2386545;1.60159,0.04025523;-0.01644512;1.568591,0.2225901;0.0005087054;1.522028,0.1948167;-0.4479538;1.452208,0
1530,-4940;-9544;11936,801;-484;-1124,-0.1158143;-0.2576708;1.405097,-0.07000326;-0.2369771;1.60216,0.04027645;-0.01640959;1.568646,0.2225437;0.000217824;1.522102,0.1948279;-0.4479631;1.452221,0
1563,-4980;-9464;11764,-515;-285;-1476,-0.1167402;-0.2589937;1.387644,-0.07222259;-0.2363158;1.600109,0.04027768;-0.01639407;1.568637,0.2228592;0.00191725;1.522721,0.1948333;-0.447961;1.452209,0
1594,-5080;-10104;11372,-3283;519;-1981,-0.1097449;-0.2588009;1.360233,-0.07389984;-0.2356437;1.599174,0.04030063;-0.01637391;1.568686,0.2228682;0.00158058;1.522908,0.1948523;-0.4479574;1.452294,0
1630,-5008;-10856;11140,-5543;1099;-2661,-0.105999;-0.2590468;1.3607,-0.07544149;-0.2351858;1.597581,0.040298;-0.01636693;1.568704,0.2229709;0.002655942;1.523359,0.1948567;-0.4479668;1.452293,0
1662,-5024;-11176;10836,-3725;395;-2661,-0.1034177;-0.2542944;1.389714,-0.06092858;-0.2037795;1.638198,0.04030328;-0.01637533;1.568681,0.2229931;0.002110113;1.523001,0.1948598;-0.448002;1.452242,0
1694,-4984;-12000;10524,-668;-566;-1887,-0.1121235;-0.2615641;1.372372,-0.08070454;-0.2327088;1.595762,0.0403197;-0.01630689;1.568985,0.2231232;0.001739878;1.523268,0.1948579;-0.4479777;1.452359,0
1729,-4680;-10940;10204,2138;-1084;-841,-0.1118044;-0.2615173;1.37528,-0.0805995;-0.2328786;1.595233,0.04031631;-0.01630804;1.568981,0.2230616;0.001346984;1.523159,0.1948538;-0.4479766;1.452355,0
1763,-4644;-11088;9944,-440;-161;-1315,-0.1119829;-0.2620935;1.376433,-0.08061235;-0.2329425;1.594752,0.04033376;-0.01629456;1.568961,0.2229486;0.001095315;1.523022,0.1946992;-0.4479791;1.452429,0
