Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
3233,-1440;11028;11288,1369;-386;-832,-0.1062246;-0.1015855;1.427474,0.07717979;-0.1394262;1.445564,0.1678172;-0.3426988;1.463648,0.1263131;-0.3654278;1.223712,-0.08959005;-0.5386553;1.373107,1
3267,-1472;11076;11292,1624;-265;-892,-0.1062236;-0.101583;1.427469,0.07720047;-0.1394148;1.445628,0.1678115;-0.3426736;1.463658,0.1201707;-0.3814313;1.180795,-0.08937347;-0.5386537;1.372789,1
3299,-1500;11208;11256,1535;-372;-946,-0.1062058;-0.1015788;1.42744,0.07717423;-0.1393624;1.445516,0.1676614;-0.3425987;1.463684,0.1259033;-0.3627702;1.208077,-0.08914737;-0.5381397;1.373517,1
3335,-1420;11104;11224,969;-583;-969,-0.1062187;-0.1015882;1.427459,0.0771718;-0.1393918;1.445585,0.1675592;-0.3426439;1.463825,0.1261389;-0.3627455;1.20844,-0.0894294;-0.5382367;1.373501,1
3367,-1384;11016;10936,1390;-387;-1057,-0.1062651;-0.1015905;1.427374,0.07715465;-0.1392921;1.445462,0.167555;-0.3426345;1.463812,0.1263177;-0.3626864;1.208418,-0.08958138;-0.5382562;1.373367,1
4010,-1600;11436;11168,1401;-319;-1013,-0.1057004;-0.1014192;1.42729,0.07774273;-0.1396276;1.44522,0.1648727;-0.3478397;1.460815,0.2652005;-0.4145131;1.265213,-0.08455258;-0.5373043;1.377434,1
4037,-1256;11248;11072,1029;-468;-889,-0.1057052;-0.1014129;1.427294,0.07780205;-0.1396701;1.445224,0.1649803;-0.3479224;1.460886,0.2652217;-0.4145366;1.265218,-0.08535802;-0.5375199;1.377033,1
4067,-1424;11084;11144,1478;-409;-820,-0.1055574;-0.1013696;1.427169,0.07785472;-0.1396903;1.445058,0.1652592;-0.3478177;1.46075,0.2653199;-0.4144343;1.264985,-0.08459343;-0.537321;1.376972,1
4100,-1532;11304;11232,965;-520;-918,-0.105524;-0.1013467;1.427202,0.07788374;-0.1397264;1.445066,0.1652778;-0.3478812;1.460806,0.265193;-0.414686;1.26503,-0.0842636;-0.5370947;1.377174,1
4134,-1340;11000;11020,1247;-373;-916,-0.1054514;-0.1013322;1.427162,0.07791118;-0.1397367;1.445004,0.1652729;-0.3478481;1.460815,0.2642946;-0.4127914;1.263915,-0.08374702;-0.5369204;1.377171,1
4166,-1472;11336;11056,1209;-320;-985,-0.1054253;-0.1013213;1.427193,0.07792075;-0.1397552;1.445011,0.1640221;-0.3474627;1.461547,0.2668449;-0.4145422;1.267431,-0.08324094;-0.5367237;1.37744,1
4201,-1480;11320;11188,1032;-463;-935,-0.1053885;-0.1012503;1.427254,0.07793253;-0.1397781;1.445019,0.1641529;-0.3474337;1.46182,0.2666031;-0.4146461;1.267549,-0.08331529;-0.536633;1.377904,1
4234,-1432;11184;11160,1363;-452;-898,-0.1053802;-0.1012626;1.427233,0.07794508;-0.1397819;1.445024,0.164944;-0.3472987;1.461734,0.2699748;-0.4166059;1.269678,-0.08346894;-0.5371525;1.376846,1
4266,-1528;11308;10908,1167;-450;-951,-0.1052859;-0.101219;1.427116,0.07795857;-0.1398453;1.44476,0.1660289;-0.3469561;1.461177,0.271085;-0.417489;1.269608,-0.08325231;-0.5369971;1.376726,1
4299,-1424;11308;10972,1261;-273;-973,-0.1053018;-0.1012153;1.427148,0.07795458;-0.1398295;1.444752,0.1663991;-0.3460342;1.461602,0.2708496;-0.4169149;1.269824,-0.08348207;-0.5369585;1.377013,1
4333,-1588;11336;11136,1181;-342;-975,-0.1052809;-0.1011834;1.426839,0.07794792;-0.1398894;1.444379,0.1656439;-0.3449609;1.461376,0.2694498;-0.4162938;1.269403,-0.08408246;-0.5367301;1.376624,1
4365,-1500;11328;11120,1140;-273;-895,-0.1053153;-0.101167;1.426911,0.07797608;-0.139873;1.44446,0.1648738;-0.3441833;1.462337,0.2675409;-0.4158328;1.26985,-0.0841779;-0.5366977;1.376591,1
4399,-1528;11168;11212,1235;-385;-771,-0.1053082;-0.1011774;1.426897,0.07803725;-0.1399152;1.444549,0.1656459;-0.3438898;1.462311,0.2655913;-0.4148809;1.268092,-0.08589914;-0.5371491;1.37516,1
4436,-1356;11212;11132,1005;-412;-865,-0.1053549;-0.1011997;1.426878,0.07798276;-0.139883;1.444543,0.1663367;-0.3435144;1.462411,0.1136899;-0.3664858;1.209056,-0.08690145;-0.5373957;1.374548,1
4467,-1592;11136;10992,1247;-413;-850,-0.1053566;-0.1012118;1.426863,0.07798291;-0.1398881;1.444541,0.1666132;-0.3433036;1.462213,0.1173902;-0.3773684;1.179011,-0.0878486;-0.5377383;1.373673,1
4499,-1596;11156;11068,1156;-474;-985,-0.1053777;-0.1012347;1.42687,0.07796738;-0.1398834;1.444538,0.1667975;-0.3431448;1.461963,0.1211716;-0.3669238;1.221757,-0.08847781;-0.5379395;1.373339,1
4533,-1568;11372;11048,1091;-551;-900,-0.1053773;-0.1013025;1.426947,0.07794706;-0.1399388;1.444532,0.1668347;-0.3430902;1.461969,0.126189;-0.3662192;1.234569,-0.09000057;-0.5396699;1.375575,1
