Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
896,-13672,-7784,2771,153.196137429733,117.64500423323,40.0701895264375,0
928,-13544,-6852,6183,154.721804997488,117.513866754972,39.2779658418863,0
961,-12576,-6392,4618,159.692810149136,116.360686974257,37.5370635788585,0
995,-12696,-5520,4574,160.93791215185,115.056156061863,34.8733700081481,0
1027,-11828,-4452,5101,164.494193752418,111.545019571923,29.2526452916423,0
1063,-10492,-3660,5506,150.364679620599,116.190396813819,13.7753221252764,0
1096,-9292,-2004,1992,153.796509955534,115.966792721483,12.8530246818304,0
1127,-7888,-388,1493,153.142914267005,113.383325349054,9.67888653213124,0
1160,-7524,2476,-1548,151.436255904211,112.613926843231,7.93377542519982,0
1194,-5284,904,-1803,150.706507222507,112.174592566184,7.30482426469345,0
1227,-1180,1448,2550,150.43529859612,111.991553826639,7.4547078635463,0
1262,20,1708,-2701,149.756070709624,111.757207398407,7.55911906897343,0
1295,-68,1500,2924,149.36816835868,112.077137665332,7.62473540517534,0
1326,2048,1296,2918,149.089808287202,112.220900423251,7.6153224921621,0
1360,2208,3652,2901,148.653291971176,112.221014006173,7.1578268359079,0
1394,2808,3128,2996,148.395733105706,112.229772922071,6.78959503409488,0
1427,1632,4444,-114,148.056704165881,112.142781651916,6.32897099145375,0
1461,1296,2780,2403,147.886647625835,112.037701356062,5.99568977098022,0
1496,-392,2828,-57,147.661376997658,111.853639807739,5.68425412472802,0
1527,-1236,2156,-1794,147.665603799986,111.940483375162,5.84007928360048,0
1563,-2324,1064,-4054,147.558038477623,111.846876714524,5.81101451858955,0
1595,-1600,216,-3505,147.318377591058,111.799744238034,5.53291205739628,0
1626,-2556,-856,-3856,146.997354410629,111.793528285979,5.26671645325955,0
1661,-3504,-972,-4437,146.776223147549,111.732243469069,5.08894879338297,0
1698,-4140,-2652,-2515,146.800929337813,111.804426939328,5.24109455105469,0
1731,-6868,-2996,20,146.869935276821,111.764260454236,5.38270476536993,0
1764,-9216,-3996,-2218,146.930895681535,111.824005634551,5.50391004763303,1
1798,-13912,-3812,-1505,146.592241804789,111.737645522814,5.09899028669281,1
1829,-15252,-5156,-1733,146.430673158982,111.6812116329,4.92304145713695,1
1860,-16660,-5512,-3959,146.211351292874,111.587904690871,4.68331906460203,1
1895,-18948,-6636,-9786,146.091860204549,111.486200239478,4.56399491956358,1
1928,-16156,-8304,-8774,146.338105427457,111.590972820636,4.86166896615972,1
1961,-16380,-9928,-16590,146.545111367414,111.67768826318,5.09226060630883,1
1993,-16096,-9028,-8966,146.528175198723,111.62580628315,4.96483775234669,1
2026,-14404,-10568,-4264,146.435240894483,111.52715790011,4.77563833662456,1
2059,-9812,-8608,8065,146.456077299872,111.534068064716,4.72889504446796,1
2093,-32767,-22088,-14997,146.807987683796,111.599816047868,5.11052357329033,1
2128,-13464,-8496,-4567,147.018134458447,111.701431183477,5.34133607800918,1
2159,-4956,-3960,6761,147.232020379903,111.841407454102,5.53910290842107,1
2194,-3376,-4604,12098,147.126400928135,111.742845555357,5.37146619780531,1
2226,-9828,-4008,4306,147.380523058257,111.772294632558,5.65881760178592,1
2260,-7632,-2892,-786,147.400188864922,111.727240299224,5.62006774021734,1
2293,-7556,-2580,-1147,147.688688862178,111.790848244073,5.84231109295,1
2328,-8824,-3840,-3352,147.89005634011,111.941338086238,5.99816046969637,1
2360,-8476,-4232,-2909,147.976635627408,112.014802594909,6.09442966153454,1
2393,-8168,-4104,-950,147.768886026921,111.917453544121,5.78892301899169,1
2426,-8288,-3924,-1888,147.909530825873,112.026716021953,5.95985572018243,1
2459,-8100,-4060,-1039,148.293561370694,112.223065739295,6.31825196034735,1
2493,-8088,-3596,-33,150.666721854422,113.053241709943,8.41228609111724,1
2526,-7720,-3580,-1091,151.801137077557,113.649417521176,9.4809265387696,1
2559,-8168,-3692,-1866,156.735571455492,114.317217769318,14.5401591460567,1
2594,-8144,-3864,-1852,158.639152281446,115.030057951769,17.4334582275112,1
2626,-8248,-3848,-1398,156.957216169858,115.773597506771,20.2126973525538,1
2659,-7912,-3576,-1498,159.293307762059,116.919036647426,24.2752636429316,1
2693,-8032,-3624,-2199,157.019175254379,117.964581214031,27.3056251675892,1
2726,-8468,-4168,-2209,156.48544945412,120.398741720615,30.6661297511075,1
2759,-8496,-4152,-875,152.928200462093,121.144301234966,31.8880787203663,1
2796,-8040,-3924,2,152.221078991707,122.769372517517,33.963403083199,1
2826,-7988,-3672,-875,149.070014857009,123.992469223653,34.8020023577845,1
2860,-8108,-4032,-1150,148.17990823255,125.507611768521,36.0173333724742,1
2894,-8072,-4140,-316,146.013048721654,126.532676405696,37.0789938614991,1
2927,-8196,-3936,735,144.641579784083,127.046711949895,37.6355280791911,1
2959,-7872,-3532,583,144.559446150351,124.550763999106,38.7412376444996,1
2996,-7688,-3492,-1604,144.932404001607,126.517472444279,39.4559776090723,1
3029,-8104,-3624,-2328,143.744441434823,126.185554566716,38.9945617381544,1
3061,-8188,-4092,-1636,142.929342346698,126.043956942004,38.6031555283297,1
3093,-7848,-3520,-928,143.220132225241,125.900642844762,38.8602765831169,1
3127,-7736,-3568,-1479,143.327235794002,126.58241477075,37.582531353075,1
3158,-7856,-3932,-2328,157.229285354959,118.218508580912,43.5375999396557,1
3194,-8076,-4188,-2120,159.924757833215,118.033037366302,42.7862743489157,1
3231,-8064,-4152,-1647,163.98971637056,116.193298690419,37.8060445134942,1
3262,-7728,-4064,-1273,166.243725176398,113.553725434762,31.9233695005799,1
3293,-7740,-3996,-1271,151.079721884791,117.460925658646,15.860656775935,1
3326,-7624,-3832,-1708,155.343905709763,116.620920948311,13.8019460064124,1
3359,-7896,-4108,-1445,154.518959696547,113.44211934875,9.97397373721982,1
3393,-7596,-4108,-1576,152.679147523561,111.089716045076,7.63622056943242,1
3427,-7600,-3968,-2299,151.593100819499,110.191179659739,6.73294536601521,1
3462,-7744,-4288,-1595,151.568401282813,110.078073259587,6.87661328811832,1
3495,-8592,-4464,-1577,151.186237447954,110.554390838385,7.00587013715635,1
3526,-9084,-4608,991,151.054371500424,110.388881186673,7.09544267764733,1
3560,-11344,-5040,4488,151.003938732482,110.367595630134,7.30287766535473,1
3593,-12536,-6904,2142,151.004102018931,110.138342068571,7.36742312903229,1
3630,-18652,-7572,-2358,151.007196986217,109.998925831624,7.41980065671572,1
3661,-16608,-8792,785,150.941641555463,109.777090858952,7.41541149304872,1
3693,-15820,-8424,58,151.090126314091,109.422863654292,7.54253629994824,1
3727,-13472,-8344,-1670,151.201348353969,109.324846411062,7.59272014401305,1
3760,-11604,-7792,5194,151.215376729939,109.365397995152,7.67985352035038,1
3794,-11712,-5716,5938,151.213163441325,109.407425545279,7.70624411526383,1
3828,-12112,-4564,5295,150.864073678829,109.349443054137,7.13011276782359,1
3862,-11388,-4564,4316,150.833307925775,109.061695853332,7.19461862419193,1
3895,-11512,-4988,903,150.483676815353,109.083539961011,6.86771415535169,1
3926,-10776,-5336,-815,150.187884722343,108.967356239447,6.41694017800494,1
3961,-9128,-5176,-3542,150.162366730358,109.125918179463,6.50962678437825,2
3994,-9464,-4784,-2640,149.997522221574,109.115856016975,6.27570228427345,2
4027,-8984,-4348,2079,150.063694918618,109.057478484799,6.4609361015958,2
4062,-8380,-2584,10678,149.926018169205,108.949981578433,6.24073021214036,2
4097,-5232,908,9501,149.869318782511,108.959085654685,6.13419471104431,2
4128,-3616,2132,3291,149.989819299327,109.159870408638,6.37581583799154,2
4162,-3052,2704,-1327,150.035576972923,109.186460911088,6.50800057019316,2
4197,-2420,2740,-1432,149.972986065302,109.083791561443,6.40125153814474,2
4227,-516,1532,-1269,149.875068034683,109.005992510229,6.23542738146405,2
4263,1112,820,-4147,149.931602252785,109.105662961491,6.40210983009846,2
4298,1968,1232,-4038,149.993504048566,109.239068326511,6.53447170250517,2
4329,2432,2040,-3291,150.017163160164,109.508620496819,6.66302952827843,2
4361,2868,3068,926,150.077185206793,109.613509970781,6.74515769400721,2
4394,2676,2948,-2076,150.089244407576,109.753691135126,6.8149829208955,2
4427,1372,3244,-2346,150.10297865376,109.682914455103,6.70642331557465,2
4460,1308,2128,-1716,150.128670426731,109.792110262888,6.78465752203899,2
4495,1220,1468,-3009,150.088365514801,109.886448936122,6.81441598486319,2
4531,1560,268,678,150.014134602756,109.769189758218,6.63340768848977,2
4560,2532,1356,-7766,150.068404570157,109.834288546614,6.71423527746924,2
4594,1888,1380,-6696,149.989623782059,109.743606618487,6.57286561286676,2
4629,-524,-304,-1860,149.835957024835,109.62459632662,6.33896267876947,2
4660,-2804,-2928,-4697,149.884671787844,109.73814468822,6.47121222730236,2
4694,-13500,-4860,-6020,149.95040684154,109.77004420091,6.57021566257646,2
4728,-15528,-5620,-5423,149.93679498032,109.632922113468,6.38503100302416,2
4760,-21948,-7444,-11150,149.931650536003,109.516317291975,6.33313578698307,2
4794,-20560,-9044,-7137,149.953251901453,109.683741903812,6.45388051224779,2
4828,-23360,-7448,-1860,149.881855690692,109.775664998843,6.50929324670284,2
4862,-18680,-8536,332,149.887981170012,109.915242717882,6.5880093553168,2
4896,-15320,-6740,-474,149.592411280262,110.204932961426,6.51113750297624,2
4930,-18896,-4252,3263,149.734676380369,110.384953556014,6.74794188445644,2
4961,-9640,-5072,4090,149.793079519566,110.651752145839,6.87335396910365,2
4995,1468,-7144,32768,149.947152496836,110.969687038331,7.07759737548851,2
5026,-7964,-5336,-2136,150.708021063961,111.329464664773,7.7502047571398,2
5061,-4840,888,3456,151.955475852524,111.849628484558,8.82410067377952,2
5094,-9480,-1420,-359,153.724070398504,112.546929266321,10.5286105063764,2
5129,-10664,-1544,-3288,154.845184192836,112.943929629965,11.4664577987426,2
5160,-8380,-1176,-1805,156.326451640082,113.336152151204,12.8575630833125,2
5196,-8536,-1216,-3393,157.551232864436,113.858136903142,14.2328055200769,2
5229,-9264,-2692,-5369,158.835918912481,114.369455164605,15.9557809498457,2
5261,-9072,-3264,-3006,159.430970307547,115.102612945195,17.4194765927198,2
5294,-8768,-2848,-138,158.002669601332,115.80546484314,19.1094065787693,2
5328,-8724,-2604,-1207,157.662906956032,116.570491588937,23.0584509477496,2
5361,-8688,-2296,-983,158.926718372208,117.022558662908,24.830410284501,2
5395,-8984,-2516,-826,157.07578495526,118.09128215965,26.1590990127979,2
5429,-8956,-2584,-655,153.546071761165,119.398149761221,28.0772927096899,2
5460,-8596,-2568,-279,152.991569210898,120.419921077688,29.8079217520938,2
5494,-8904,-2712,-216,149.885643019544,121.203216508984,30.6103187652202,2
5527,-9132,-2896,58,148.084888053223,121.832174301172,31.2386340404364,2
5560,-8608,-2256,1453,146.383644497299,122.417433660782,33.3021973863917,2
5594,-8520,-1552,223,144.438782974731,124.184914175417,34.402920799155,2
5631,-8600,-1860,-1545,142.417375683297,125.059440908213,34.5533378942849,2
5661,-8628,-2056,-2345,159.115083181979,117.536528572757,51.2490768855117,2
5694,-8844,-2488,-1798,153.224017742411,120.401586153984,50.0691029071306,2
5728,-8856,-2492,-729,152.600438587481,120.519969907849,50.2448699537793,2
5761,-8688,-2416,199,152.509434960673,120.459504052747,50.2897101258976,2
5795,-8616,-2236,747,153.646325942182,119.533755617725,49.7582283564071,2
5828,-8384,-1768,-946,154.201692506417,118.238988139814,47.3648490658797,2
5863,-8528,-1960,-1832,155.020222985928,117.702710368379,45.2773455699946,2
5893,-8620,-2088,-2291,154.515864455311,117.48846720805,41.1270401977499,2
5928,-8592,-2080,-2913,157.05518296213,117.387657992884,38.7793315277143,2
5960,-8824,-2296,-3514,158.856490658861,115.920259619545,35.5130959510804,2
5994,-8300,-2584,-4986,161.338887082044,114.267962223301,32.0037021897536,2
6030,-9616,-3828,-3015,146.92312922995,116.664350450358,15.2636303651005,2
6061,-12680,-5040,2865,150.095796317526,115.612657159389,13.2885562038167,2
6095,-15952,-6084,112,150.883967032851,113.634996819693,10.2009004742,2
6128,-21824,-5020,-4073,147.70920278384,110.941308449919,5.99954946377724,2
6161,-21864,-6012,-4346,146.67510327529,109.433463142229,5.10918140536723,2
6193,-19996,-5932,-3201,145.990886932987,111.468351335446,4.67170260725051,2
6228,-18776,-8808,-227,145.509862163673,111.639712807716,4.36890699476172,2
6261,-16828,-7060,1559,144.632167695232,111.951913754764,3.92969479987871,2
6296,-12392,-6112,2328,144.425072090899,106.465791380817,3.84531449885817,2
6328,-9788,-4256,871,143.880661227323,110.894106323647,3.60680242648165,2
6360,-8584,-3356,237,143.682110267884,111.432154166127,3.5080172311853,2
6394,-7592,-2452,3296,143.180448521838,108.914197377912,3.30180369438841,2
6427,-6180,-1816,2247,143.221248285209,112.672748942652,3.53286518697213,2
6462,-5756,-520,3217,143.49161249757,109.839537720316,3.72267277927431,2
6496,-5164,-900,5652,143.510485266639,108.483205012954,3.71126712382429,2
6528,-4596,-1112,5212,143.491563997068,107.92694757796,3.66641708028446,2
6559,-2884,-1932,4977,143.576759449183,107.606907864807,3.63992615154419,2
